category,title,credits,prerequisites,description
ENGLISH/COMMUNICATIONS,ENGL 328 Issues in Journalism ,3 cr,Prerequisite: None,"Discusses issues and problems central to the practice of journalism and the role of the media in a democratic society. Issues may include environmental journalism; media, law and ethics; investigative reporting; government, politics and the press; covering popular culture and others. Students may be required to produce journalism articles and/or commentaries based on those or related issues."
ENGLISH/COMMUNICATIONS,ENGL 331 The Story of English ,3 cr,Prerequisite: ENGL 250 or department approval,"Explores the history and development of the English language from the Anglo Saxon to its current evolution as a world language. Traces the growth of the language in historical, cultural and literary contexts, using diverse texts and films, with special emphasis on varieties of English spoken and written in the New World. Students research special topics."
ENGLISH/COMMUNICATIONS,ENGL 337 Advanced Photography ,3 cr,Prerequisite: ENGL 205,"Builds upon skills learned in Introduction to Black and White Photography, to include sophisticated camera techniques and advanced darkroom developing and procedures. Students are encouraged to develop various forms of composition such as photography for science, art or publication. Some consideration will be given to digital photography and related procedures."
ENGLISH/COMMUNICATIONS,ENGL 338 Photojournalism ,3 cr,Prerequisite: ENGL 205,"Concentrates on photojournalism as a form of composition. Designed to help students to understand and master a number of techniques such as story-telling and photo editing. The subject of ethics will also be covered, as will digital camera applications. Students will be encouraged to submit work to The Beacon for consideration."
ENGLISH/COMMUNICATIONS,ENGL 339 Writing and Reporting News II ,3 cr,Prerequisite: ENGL 239 or permission of instructor,"Offers writing and reporting experience through the writing of advanced news stories and features. These include covering campus community meetings, reporting on police, fire and safety news and concerns, dealing with local courts and investigative level-two reporting. Students expand their knowledge of ethics, libel, privacy and freedom of information laws. Students may submit stories to The Beacon."
ENGLISH/COMMUNICATIONS,ENGL 340 Literature and Society ,3 cr,Prerequisite: ENGL 250,Discusses and analyzes a variety of literary works that illuminate social issues. Integrates literature with other disciplines by focusing on several contemporary themes of social relevance.
ENGLISH/COMMUNICATIONS,ENGL 341 Hybrid Poetics ,3 cr,Prerequisite: Junior/senior status or instructor approval,"Investigates a range of experimental literary texts that cross, blur, or recombine different modes and genres of writing, in order to invent new forms of expression. Students explore the porous borders between poetry and prose, the creative and the critical, the visual and the verbal, the oral and the written, the factual and the imaginative. In their own writing, students are invited to move between two types of writing, creative and analytical, that are ordinarily kept separate."
ENGLISH/COMMUNICATIONS,ENGL 349 Critical Reading ,3 cr,Prerequisite: ENGL 250 or department approval,"Explores different ways of reading a text. Students use diverse critical methods to consider the distinct understandings of a text produced by different reading methods. Examines connections between developments in critical theory and parallel developments in philosophy, art and film criticism and social theory. A variety of critical methods will be examined."
ENGLISH/COMMUNICATIONS,ENGL 351 William Shakespeare ,3 cr,Prerequisite: ENGL 250 or department approval,"Considers such works as the Sonnets, Midsummer Night's Dream, Measure for Measure and The Tempest."
ENGLISH/COMMUNICATIONS,ENGL 353 Hawthorne and Melville ,3 cr,Prerequisite: ENGL 250 or department approval,"Studies the chief works of Nathaniel Hawthorne and Herman Melville with particular attention to their innovations in American letters. Includes such works as Typee, Moby-Dick, Billy Budd, The Scarlet Letter, and The Tanglewood Tales."
ENGLISH/COMMUNICATIONS,ENGL 356 James Joyce ,3 cr,Prerequisite: ENGL 250 or department approval,"Considers works such as Ulysses, Finnegan's Wake and Dubliners."
ENGLISH/COMMUNICATIONS,ENGL 357 Virginia Woolf ,3 cr,Prerequisite: ENGL 250 or department approval,Studies novels and essays through which Woolf experimented with ways that writing creates different types of meanings and experiences. Course attributes: WMST.
ENGLISH/COMMUNICATIONS,ENGL 359 Toni Morrison ,3 cr,Prerequisite: ENGL 250 or department approval,"Considers works by Toni Morrison, the Nobel-Prize winning novelist. Readings from such works as Sula, Beloved, etc. Course attributes: WMST."
ENGLISH/COMMUNICATIONS,ENGL 361 John Steinbeck ,3 cr,Prerequisite: ENGL 250 or department approval,"Considers the vision of the Nobel Prize-winning author of The Red Pony, Of Mice and Men and Travels with Charley. Examines texts drawn from throughout Steinbeck's career, with special attention to the common themes, preoccupations and narrative devices which characterize his works. Readings will be drawn from such works as Cannery Row, The Grapes of Wrath and The Winter of Our Discontent."
ENGLISH/COMMUNICATIONS,ENGL 362 Marianne Moore and Elizabeth Bishop ,3 cr,Prerequisite: ENGL250 or department approval,"Studies the poems of the eminent American poets, Marianne Moore and Elizabeth Bishop, exploring the means of production of American poetry; cross influences among poets in the modern age; poetic spirituality and established religion; and, most importantly, what it has meant to be a woman and a poet in this century. Course attributes: WMST."
ENGLISH/COMMUNICATIONS,ENGL 365 Reading the Graphic Novel ,3 cr,Prerequisite: ENGL 250 or department approval,Explores the graphic novel and related forms. Examines the meaning of the proliferation of this literary form as well as the perceptual mechanisms and processes involved in reading image.
ENGLISH/COMMUNICATIONS,ENGL 366 The Age of Chaucer ,3 cr,Prerequisite: ENGL 250 or department approval,"Studies the works of the late middle ages in England. It will include such issues as courtly love, the practice of allegory, the role of dream visions in literature, and the relation of medieval religious-social order and literature. Includes such writers as Chaucer, Malory, the Pearl Poet. The course may at times also include selections from Old English texts, notably Beowulf or Dream of the Rood and from later Arthurian legends."
ENGLISH/COMMUNICATIONS,ENGL 368 The Age of Milton ,3 cr,Prerequisite: ENGL 250 or department approval,"Studies Milton's major works, emphasizing the relation between his development as a poet and the intellectual and social currents of the Puritan Revolution and of the restoration of the monarchy. Includes such works as ""On the Morning of Christ's Nativity,"" ""L'Allegro,"" ""II Penseroso,"" ""Lycidas,"" ""Samson Agonistes,"" and ""Paradise Lost""."
ENGLISH/COMMUNICATIONS,ENGL 368H Honors: The Age of Milton ,3 cr,Prerequisite: ENGL 250 or department approval,"Studies Milton's major works, emphasizing the relation between his development as a poet and the intellectual and social currents of the Puritan Revolution and of the restoration of the monarchy. Includes such works as ""On the Morning of Christ's Nativity,"" ""L'Allegro,"" ""II Penseroso,"" ""Lycidas,"" ""Sampson Agonistes,"" and ""Paradise Lost"". Course attributes: HONR."
ENGLISH/COMMUNICATIONS,ENGL 370 The Romantic Movement ,3 cr,Prerequisite: Instructor approval,"Surveys one of the most pervasive and important social, intellectual and literary movements of the modern age. The course will examine the varied roots of Romanticism and then follow various threads of the movement as they develop, diverge and are revived. The course will also consider the relation between important terms such as ""enlightenment,"" ""romance,"" ""reality"" and ""imagination."" Students will pursue the links between the romantic impulse and both modernism and postmodernism."
ENGLISH/COMMUNICATIONS,ENGL 371 The American Renaissance ,3 cr,Prerequisite: ENGL 250 or department approval,"Surveys texts from such authors as Emerson, Dickinson, Thoreau, Alcott, Fuller, Melville, Hawthorne, Whitman, Douglas. Course attributes: ENVI."
ENGLISH/COMMUNICATIONS,ENGL 372 Arts of Medieval and Renaissance Britain ,3 cr,"Prerequisite: ENGL 250, sophomore status, instructor approval (Students pay travel fee)","Explores medieval and Renaissance British literature, history and culture. The course includes a spring break travel component. During travel students contextualize literature with the cultural heritage experienced via visual arts architecture, music, theatre, dance, fashion, food, and landscapes and cityscapes of Britain."
ENGLISH/COMMUNICATIONS,ENGL 372H Honors: Arts of Medieval and Renaissance Britain ,3 cr,"Prerequisite: ENGL 250, sophomore status, instructor approval (Students pay travel fee)","Explores medieval and Renaissance British literature, history and culture. The course includes a spring break travel component. During travel, students contextualize literature with the cultural heritage experienced via the visual arts, architecture, music, theatre, dance, fashion, food, and landscapes and cityscapes of Britain. Course attributes: HONR."
ENGLISH/COMMUNICATIONS,ENGL 374 Literature and the Environment ,3 cr,Prerequisite: ENGL 250 or department approval,"Studies particular texts in their historical, philosophical and social contexts. Students will practice using evidence from those various contexts to sharpen their sense of how literary works steer the reader toward conclusions about the value of the world each text presumes for itself. Readings will be drawn from more than one genre within a particular historical period. Course attributes: ENVI."
ENGLISH/COMMUNICATIONS,ENGL 375 Civil War in Literature and Film ,3 cr,Prerequisite: ENGL 250 or department approval,Considers texts which focus on the American Civil War for thematic and generic purposes.
ENGLISH/COMMUNICATIONS,ENGL 377 Novel in Context ,3 cr,Prerequisite: ENGL 250,"Examines the genre of the novel written in English, setting it in historical and cultural context. Traces the development of the novel, locating in even its earliest examples characteristic methods and concerns. Explores the prose narratives and epistolary writing of the 17th century as influential predecessors of the novel genre, progressing from that base to studying key examples of novels from the 18th century through the present."
ENGLISH/COMMUNICATIONS,ENGL 378 Sports Literature ,3 cr,Prerequisite: ENGL 250 or department approval,"Studies how works of fiction, poetry, journalism, biography and cinema are set in the context of sports and the sporting experience. Explores how these texts define, comment on and shape the sports context."
ENGLISH/COMMUNICATIONS,"ENGL 379 Science, Literature, Gender ",3 cr,Prerequisite: ENGL 250 or department approval,"Studies particular texts in their historical, philosophical and social contexts. Students will practice using evidence from those various contexts to sharpen their sense of how literary works steer the reader toward conclusions about the value of the world each text presumes for itself. Readings will be drawn from more than one genre within a particular historical period."
ENGLISH/COMMUNICATIONS,ENGL 381 African American Literature ,3 cr,Prerequisite: ENGL 250 or department approval,"Surveys texts drawn from such writers as Hughes, Dubois, Wright, Morrison, Giovanni, Reed, Douglas, etc. Course attributes: CRCU."
ENGLISH/COMMUNICATIONS,ENGL 383 Whitman and the New World Poets ,3 cr,Prerequisite: ENGL 250 or department approval,"Explores the ground-breaking work of Walt Whitman and other New World poets (Williams, Hughes, Sandburg, Roethke, Ginsberg, Brooks, and Neruda). Analysis will focus on what makes these poets essential and definably American - expressive in form and content of the New World experience. Students will read widely in collected works. Course attributes: CRCU."
ENGLISH/COMMUNICATIONS,ENGL 384 Native American Literature ,3 cr,Prerequisite: ENGL 250 or department approval,"Surveys a range of texts drawn from such writers as Silko, Erdrich, Momaday, Black Elk, Vizenor, Welch and Apes. Course attributes: CRCU."
ENGLISH/COMMUNICATIONS,ENGL 385 Irish American Literature ,3 cr,Prerequisite: ENGL 250 or department approval,Surveys a range of texts drawn from Irish-American authors. Course attributes: CRCU.
ENGLISH/COMMUNICATIONS,ENGL 386 Jewish American Literature ,3 cr,Prerequisite: ENGL 250 or department approval,"Surveys a range of texts drawn from such authors as Bellow, Roth, Ozick, Gluck, Malamud, Ginsberg and Elkins. Course attributes: CRCU."
ENGLISH/COMMUNICATIONS,ENGL 387 Latino/a American Literature ,3 cr,Prerequisite: ENGL 250 or department approval,"Studies texts focusing on the Latino/a experience in the United States. Considers the history of immigration, assimilation, resistance and bi-lingualism which have marked writers placing their vision within the frame of Latino/a history; it will pay particular attention to how such texts set forth a Latino/a experience as both part of and as also distinct from other cultural strands in the United States. Includes such writers as Villareal, Rodriguez, Perez-Firmat, Zamora, Alvares Islas, and Pena. Course attributes: CRCU."
ENGLISH/COMMUNICATIONS,ENGL 389 Contemporary American Literature: ,3 cr,Prerequisite: ENGL250 or department approval,"Survyes representative literary texts from the margins and boundaries of the American experience. Concentrates on familiarizing students with issues, questions and motifs that recur in works which diagnose ongoing conflicts in the American temper. Readings are drawn from both the margins and mainstream of American literary traditions and all eras. Content identified by subtitle."
ENGLISH/COMMUNICATIONS,ENGL 390 Asian American Literature ,3 cr,Prerequisite: ENGL 250 or department approval,"Examines the literature of some of the diverse groups that make up Asian America, from early immigrant to contemporary times. The course will address how Asian American writers find resources for identity and where they see identity questioned or undermined. Students will also explore the lines of continuity among texts and writers as well as examine the various styles and visions used by this varied group of writers. Includes such writers as Chin, Hagedorn, Hwang, Kingston, Law-Yone, Lee, Mukherjee, Okada, Santos, Song, Tan and Yamamoto. Course attributes: CRCU."
ENGLISH/COMMUNICATIONS,ENGL 391 Italian American Literature ,3 cr,Prerequisite: ENGL 250 or department approval,"Follows a course of readings from novels and stories by and about Italian Americans, especially those dealing with the immigrant experience. Explores the cross-cultural dilemmas faced by those who found themselves in a new world where old identities were challenged. Students will be invited to discover the many ways in which our nation has been enriched by the values and initiatives of people whose roots were Italian. Literary strategies illuminating this process will be analyzed along with the psychological history of resistance and assimilation that made up the drama of Americanization. Course attributes: CRCU."
ENGLISH/COMMUNICATIONS,ENGL 392 Queer Identity in Contemporary Literature ,3 cr,Prerequisite: ENGL 250 or department approval,"Explores representations of queer identity by contemporary writers working in a variety of literary genres including short and novel-length fiction, the graphic novel, poetry, and memoir. Authors may include David Leavitt, Jeanette Winterson, Olga Broumas, Colm Toibin, Raphael Campo, Alan Hollinghurst, Leslie Fienberg, Mark Wunderlich, Alison Bechdel, or Michelle Tea. Course attributes: WMST."
ENGLISH/COMMUNICATIONS,ENGL 395 Experiential Credit Portfolio Preparation and Writing ,3 cr,Prerequisite: Approval of the Advising Center in consultation with the appropriate department(s),Provides students with help in completing a portfolio for experiential credit. Includes a rigorous essay-writing component.
ENGLISH/COMMUNICATIONS,ENGL 396 Public Relations ,3 cr,Prerequisite: ENGL 239 or ENGL 211 or department approval,"Introduces students to the broad career area of public relations. Principles, cases and problems of public relations will be studied through contact with local organizations. Topic areas include internal communications systems, applications of mass communications, researching public opinions and social responsibilites. Course attributes: LDRS."
ENGLISH/COMMUNICATIONS,ENGL 397 Special Topics in Film ,3 cr,Prerequisite: ENGL 210 or instructor approval,"Studies in-depth a specific issue in film and filmmaking linked by one or more common contexts, such as genre and subject matter, or historical, social, economic, philosophical or aesthetic concerns. Students will practice using evidence from those contexts to produce close, critical readings of films that reflect both an understanding of the context and an understanding of the visual and auditory languages of film. Content identified by subtitle."
ENGLISH/COMMUNICATIONS,ENGL 400 Intercultural Communication ,3 cr,Prerequisite: Junior/senior status,"Studies in depth the role culture plays in the communication process in various world cultures including African, Asian and Central American. Examines the cultural differences in language, thought patterns and non-verbal communication behaviors. Course attributes: CRCU."
ENGLISH/COMMUNICATIONS,ENGL 412 Filmmakers and Filmmaking ,3 cr,Prerequisite: ENGL 210 or instructor approval,"Studies in depth a number of films by one or a cluster of filmmaking professionals. The professionals may include directors, screenwriters, editors, cinematographers, producers or others. Guides students in understanding the aesthetic, technical, economic and other concerns of various film professionals, leading students to analyze and appreciate a filmmaker's body of work."
ENGLISH/COMMUNICATIONS,ENGL 427 Senior News Editing Practicum,3 to 12 cr,"Prerequisite: ENGL 321, instructor approval","Focuses on the daily functions of the campus newspaper, including editorial writing, news editing, page design/ layout, photography, newsroom and advertising management, and budgeting. Fills editoral board and other senior staff positions on the campus newspaper for the purpose of refining writing, editing, design and other communication skills."
ENGLISH/COMMUNICATIONS,ENGL 430 Advanced Poetry Workshop ,3 cr,Prerequisite: ENGL 301 or department approval,Focuses on the work of the individuals in the workshop. The work of established poets is analyzed for method and craft. Weekly writing assignments are critiqued by the class and the instructor for rewriting. There is a final portfolio of 12 to15 poems.
ENGLISH/COMMUNICATIONS,ENGL 435 Advanced Fiction Workshop ,3 cr,Prerequisite: ENGL 300 or department approval,"Focuses on creating finished short stories. As in ENGL 300, the major emphasis is on constructive criticism of student work by peers and by the instructor."
ENGLISH/COMMUNICATIONS,ENGL 441 Special Topics in Literature ,3 cr,Prerequisite: Junior/senior status or department approval,"Studies in depth a specific aspect of literature. Designed to provide advanced work in literary analysis, interpretation and research. Primarily for majors in the junior and senior year. Content identified by subtitle."
ENGLISH/COMMUNICATIONS,ENGL 451 British Literary Survey ,3 cr,Prerequisite: ENGL 250 or department approval,"Explores the landmark texts in British literature. Readings may include Beowulf and works by Chaucer, Shakespeare, Milton, Johnson, Wordsworth, Austen, Dickens, Woolf or Joyce."
ENGLISH/COMMUNICATIONS,ENGL 461 American Literary Survey ,3 cr,Prerequisite: ENGL 250 or department approval,"Explores the landmark texts in the traditions of American literature. Readings may be drawn from the Puritan and Colonial periods and from such writers as Emerson, Thoreau, Poe, Melville, Dickinson, Twain, James, Pound, Hughes, Eliot, Faulkner, Porter, Ellison and Walker."
ENGLISH/COMMUNICATIONS,ENGL 471 World Literary Survey ,3 cr,Prerequisite: ENGL 250 or department approval,"Explores myths, epics and other important texts from around the world that have served as repositories of the values of their respective cultures. Also examines more recent texts that stand as efforts to shift those cultural values. Texts studied may include such Greek, Hebrew, Western African, Japanesse, Mayan and Islamic texts such as The Odyssey, The Bible, The Epic of Son Jara, The Tale of Genji, Popul Vuh and The Koran. Course attributes: CRCU."
ENGLISH/COMMUNICATIONS,ENGL 481 Special Topics in Mass Communication ,3 cr,Prerequisite: Junior/senior status or instructor approval,"Studies in depth a specific aspect of mass communications. Designed to provide advanced work in media analysis, interpretation and research. Primarily for majors in the junior and senior year. Content identified by subtitle."
ENGLISH/COMMUNICATIONS,ENGL 490 Senior Seminar ,3 cr,Prerequisite: ENGL majors only or department approval,"Provides a capstone course in which majors meet in their final undergraduate year to explore a significant theme or topic. Students integrate what they have learned about language, literature and media, and together the students, pooling their special knowledge in these areas, respond to the specific theme, concept or topic."
ENGLISH/COMMUNICATIONS,ENGL 493 Teaching Assistantship in English/ Communications,1 to 6 cr,Prerequisite: Department approval,"Assists the instructor with the organization, implementation and assessment of individual English/Communications courses."
ENGLISH/COMMUNICATIONS,ENGL 500 Independent Study,1 to 3 cr,"Prerequisite: Junior/senior status, department approval",Open to juniors and seniors who wish to read in a given area or to study a topic in depth. Written reports and frequent conferences with the advisor are required.
ENGLISH/COMMUNICATIONS,ENGL 540 Internship in English,1 to 15 cr,"Prerequisite: Junior/senior standing, department approval","Provides a practical, hands-on field experience to supplement classroom courses. The student works with an oncampus faculty advisor and usually with an on-site supervisor, and the two jointly evaluate the student's work."
ENVIRONMENTAL STUDIES,ENVI 150 Introduction to Environmental Systems ,4 cr,Prerequisite: None,"Provides a foundation in the physical, chemical and biological principles of environmental science in order to explore Earth's terrestrial, aquatic and atmospheric systems. Directly investigates freshwater and forest environments of the northeast in the context of the scientific method. Required laboratory. Course attributes: CSTL, ENVI."
ENVIRONMENTAL STUDIES,ENVI 150H Honors: Introduction to Environmental Systems ,4 cr,Prerequisite: None,"Provides an interdisciplinary foundation in the physical, chemical and biological principles of environmental science in order to explore earth's terrestrial, aquatic and atmospheric systems. Historical case studies illustrate political and ethical dimensions of environmental issues. Lab exercises familiarize you with the forest and freshwater environments of the northeast and how the scientific method is used to analyze and understand the relation between humans and the natural environment. Required laboratory. Course attributes: CSTL, ENVI, HONR."
ENVIRONMENTAL STUDIES,ENVI 152 Environmental Resources: Science and Management ,4 cr,Prerequisite: None,"Provides a foundation in the nature and properties of natural resources in the context of sustainable environmental management. Students directly investigate and assess alternative energy options, watershed water-quality management and wastewater management using the scientific method. Required laboratory. Course attributes: CSTL, ENVI."
ENVIRONMENTAL STUDIES,ENVI 152H Honors: Environmental Resources: Science and Management ,4 cr,Prerequisite: None,"Provides a foundation in the nature and properties of natural resources in the context of sustainable environmental management. Students directly investigate and assess alternative energy options, watershed water-quality management and wastewater management using the scientific method. Required laboratory. Course attributes: CSTL, ENVI, HONR."
ENVIRONMENTAL STUDIES,ENVI 225 Nature of New England ,4 cr,Prerequisite: None,"Surveys the nature of New England and focuses on the natural history and identification of representative vertebrate animals of the region. It will introduce the physical setting of New England, investigate various communities and ecosystems of the region, and discuss nature in winter and how animals cope with the extremes of winter. The class format includes lecture, student presentations, and class discussions of assigned readings. Required lab component that includes field based activities. Course attributes: CSTL, ENVI."
ENVIRONMENTAL STUDIES,ENVI 226 Nature of New England ,3 cr,Prerequisite: None,"Surveys the nature of New England and focuses on the natural history and identification of representative vertebrate animals of the region. The first part of the course will introduce the physical setting of New England. Subsequently, it will cover various communities and ecosystems of the region, identify the distinguishing vegetation for selected ecosystems, describe the natural history of those ecosystems, and emphasize the identity, biology, and ecology of representative vertebrate animals. Course attributes: CST, ENVI."
ENVIRONMENTAL STUDIES,ENVI 250 Special Topics in Environmental Studies ,3 cr,Prerequisite: Sophomore status or instructor approval,Focuses attention on a special environmental topic or issue at an introductory level of investigation. Course attributes: ENVI.
ENVIRONMENTAL STUDIES,ENVI 260 Green Living Seminars ,2 cr,Prerequisite: None,"Utilizes the format of individual reports and/or group discussions of current papers, topics or problems in environmental studies. May also be organized around a seminar series with invited speakers. This course will be graded on a pass/fail basis. Course attributes: ENVI."
ENVIRONMENTAL STUDIES,ENVI 299 Environmental Studies Practicum,1 to 2 cr,Prerequisite: Department approval.,Offers environmental studies students an opportunity to gain practical experience in an appropriate professional situation. The student will work with a faculty sponsor and an off-campus supervisor in gaining experience significant to the major. Course can be repeated up to a maximun of  4 credits. Course attributes: ENVI.
ENVIRONMENTAL STUDIES,ENVI 310 Politics and Environmental Policy ,3 cr,Prerequisite: Junior/senior status,"Focuses on political science and government in national, regional and international organizations throughout the world. Topics include: United Nations, state and local government, politics and economics of the Pacific Rim. Course attributes: ENVI."
ENVIRONMENTAL STUDIES,ENVI 315 Environmental Economics ,3 cr,Prerequisite: ENVI 150 or ENVI 152 or ECON 141 or ECON 142 and junior status,"Introduces students to the economic analysis of the conflict between our lifestyle of unlimited wants and the scarce resources of our biological environment. Examines economic theory and applications to explain the dynamics of conflict. Uses an economic approach to solving environmental problems; students will research, analyze, and report on environmental public policy issues. Course attributes: ENVI."
ENVIRONMENTAL STUDIES,ENVI 320 Methods in Environmental Research ,4 cr,"Prerequisite: ENVI 150, ENVI 152, Tier I Quantitative Reasoning, junior status","Investigates the methods used by environmental researchers to formulate research problems, collect and analyze data and present results professionally; examines sampling techniques, field procedures, and limitations of equipment and research design. Required laboratory. Course attributes: ENVI."
ENVIRONMENTAL STUDIES,ENVI 325 Geographic Information Systems ,4 cr,Prerequisite: None,"Geographic Information Systems/Science is rapidly becoming the optimum approach for displaying and analyzing both spatial and temporal data in virtually every field. Through a series of ""on the job"" projects, students will learn the concepts, terminology and computer skills necessary to apply these skills to a variety of subject and occupational areas. Students will complete a final project, report and presentation using GIS in their area of interest. Required laboratory. Course attributes: ENVI."
ENVIRONMENTAL STUDIES,ENVI 340 Environmental Law ,3 cr,Prerequisite: Junior status,"Studies the development of an American consciousness toward the environment throughout our nation's history, emphasizing the political, economic and social forces at work in the consequent creation of United States environmental law. This law will then be considered in detail through the examination of federal, state and local environmental protection legislation, regulations and related court decisions. Course attributes: ENVI."
ENVIRONMENTAL STUDIES,ENVI 340H Honors: Environmental Law ,3 cr,Prerequisite: Junior status,"Studies the development of American consciousness toward the environment throughout our nation's history, emphasizing the political, economic and social forces at work in the consequent creation of United States environmental law. This law will then be considered in detail through the examination of federal, state and local environmental protection legislation, regulations and related court decisions. Course attributes: ENVI, HONR."
ENVIRONMENTAL STUDIES,ENVI 350 Advanced Special Topics in Environmental Studies,1 to 4 cr,Prerequisite: Junior status or instructor approval,Focuses attention on a special environmental topic or issue at an advanced level of study. Course attributes: ENVI.
ENVIRONMENTAL STUDIES,ENVI 351 Ornithology ,4 cr,Prerequisite: BIOL 100 or BIOL 150 or ENVI 150 or ENVI 150H or instructor permission,Provides an overview of the fundmental principles of avian biology with emphasis on ecological and behavioral aspects of ornithology. Students will learn to identify about 100 regional species by sight and/or sound. A semester-long project will encourage students to investigate and read the ornithological peer-reviewed scientific literature. Lab activities will include field trips to practice identifying birds and collecting avian field data. Required laboratory. Course attributes: ENVI.
ENVIRONMENTAL STUDIES,ENVI 375 Aquatic Ecology ,4 cr,Prerequisite: BIOL 100 or BIOL 150 or ENVI 150H or instructor approval,"Focuses on the physical, chemical, and biological environment of freshwater systems, as well as on common methods used in the study of these systems. Concepts will be applied to addressing current challenges in conserving freshwater resources. Required laboratory. Course attributes: ENVI."
ENVIRONMENTAL STUDIES,ENVI 401 Independent Research,1 to 3 cr,Prerequisite: Department approval,For environmental studies majors who desire to conduct research on a specific topic in environmental studies. The research will be under the supervision and direction of the instructor and will require a scholarly report. Course attributes: ENVI.
ENVIRONMENTAL STUDIES,ENVI 425 Advanced Geographic Information Systems (GIS) ,4 cr,Prerequisite: ENVI 325 (grade of C or better),"Builds on ENVI 325, providing opportunities for conceptualizing and solving spatial/temporal problems within the student's primary field of study. Complex spatial analysis, quantitative methods, process model building and the substantial use of remotely sensed data will be key elements of this course. Topics will also include geo-coding, mapping ethics and 3-D map visualization. Required laboratory. Course attributes: ENVI."
ENVIRONMENTAL STUDIES,ENVI 499 Teaching Assistantship in Environmental Studies,1 to 3 cr,Prerequisite: Department approval,Provides the opportunity for the student to assist in the preparation and implementation of an environmental studies course. This course will be graded on a pass/fail basis. Course attributes: ENVI.
ENVIRONMENTAL STUDIES,ENVI 500 Independent Study in Environmental Studies,1 to 3 cr,"Prerequisite: Junior/senior status, department approval",Open to juniors and seniors who wish to study a topic in depth. Written reports and frequent conferences with the advisor are required. Course attributes: ENVI.
ENVIRONMENTAL STUDIES,ENVI 540 Internship in Environmental Studies,1 to 15 cr,"Prerequisite: Junior/senior status, departmental approval",Offers the environmental studies major an opportunity to practice in an appropriate professional situation. The student will work with a faculty sponsor and an off-campus supervisor in gaining experience significant to the major. Course attributes: ENVI.
EARTH SCIENCE,ERTH 151 Introduction to Physical Geography ,4 cr,Prerequisite: None,"Studies the natural environment from a geographical perspective. Analyzes the distribution and character of environmental elements, including weather, climate, landforms, soils, and vegetation. Examines consequences of human intervention in natural systems. Required laboratory. Course attributes: CSTL, ENVI."
EARTH SCIENCE,ERTH 152 Introduction to Physical Geology ,4 cr,Prerequisite: None,"Studies the earth, including the origin and types of earth materials, volcanism and crystal deformation, external earth processes and development of landscapes, geological resources, and geological processes as natural hazards. Required laboratory. Course attributes: CSTL, ENVI."
EARTH SCIENCE,ERTH 245 Natural Hazards ,4 cr,Prerequisite: None,"Studies natural processes which are hazardous in the context of human activities, including relevant geologic, geomorphic, climatic, and meteorologic phenomena; examines the origin and significance of selected hazards from natural and human perspectives and explores how people underestimate or misjudge risk. Required laboratory. Course attributes: CSTL, ENVI."
EARTH SCIENCE,ERTH 270 Weather and Climate ,3 cr,Prerequisite: None,"Examines general meteorological and climatic characteristics through space and time, especially as influenced by temperature, wind, and moisture. Explains atmospheric disturbances at planetary, regional, and local scales. Course attributes: CST, ENVI."
EARTH SCIENCE,ERTH 271 Landforms ,3 cr,Prerequisite: None,"Examines the description, origin, classification, and interpretation of landforms. Analyzes geologic, climatic, and biologic factors as landform controls and shows that certain geomorphic processes are natural hazards. Course attributes: CST, ENVI."
EARTH SCIENCE,ERTH 300 Topics in Earth Science ,3 cr,Prerequisite: ERTH 151or ERTH 152 or ERTH 245,Analyzes and evaluates contemporary problems in Earth Science. Course attributes: ENVI.
EARTH SCIENCE,ERTH 330 National Parks and Monuments ,3 cr,Prerequisite: ERTH 151or ERTH 152 or ERTH 245,"Studies the topography, geology, climate, flora, fauna and scenic qualities of national parks and monuments by describing the history of the national park system and factors threatening its existence. Course attributes: ENVI."
EARTH SCIENCE,ERTH 370 River Systems ,3 cr,Prerequisite: None,"Studies streams as environmentally significant landscape features in the context of human activity; examines hydrology and flooding, channelization, flood plains and their land use patterns, water contamination and related ecology. Course attributes: ENVI."
EARTH SCIENCE,ERTH 500 Independent Study,1 to 3 cr,Prerequisite: Department approval,Independent effort directed to the in-depth study of some aspect of earth science. Course attributes: ENVI.
FINE AND PERFORMING ARTS,FPA 200 Dance I ,3 cr,Prerequisite: None,Introduces dance ranging from traditional ballet to contemporary modern forms. A study of the historical progression and interaction of dance movement will accompany the physical training.
FINE AND PERFORMING ARTS,FPA 201 Dance II ,3 cr,Prerequisite: FPA 200,Uses basic skills from Dance I to bring dance technique to a higher level of sophistication. Phrasing will be longer and contain more complex energy and level changes. Students will explore the use of mixed meter as musical accompaniment. Continues to use improvisation and choreography as a vehicle to develop movement inclinations and as a way of sharing movement experiences with each other.
FINE AND PERFORMING ARTS,FPA 202 Topics in Dance,3 cr,Prerequisite: None,"Studies specific aspects of dance. Provides advanced work in technique, history and interpretation. Course offerings may include but are not limited to: ethnic dance, tap, jazz, ballet, modern, lyrical."
FINE AND PERFORMING ARTS,FPA 500 Supervised Independent Study,1 to 3 cr,"Prerequisite: Junior/senior status, department approval",Open to juniors and seniors who wish to read in a specific area or pursue a project or topic in depth under the direction of a faculty member. Frequent conferences with the advisor are required.
FINE AND PERFORMING ARTS,FPA 501 Senior Project ,3 cr,Prerequisite: Senior FPA major,"A directed study exploring how the arts are interdisciplinary. Seniors must present a final project in the context of its time, taking into account the artistic influences and social values that relate to the artist, performer, theatrical play or musical creation."
