Course Title,Term,Course Description,Course Number,Credits,Course Id
 Robotics,Spring,"Dynamic analysis, design, and control of robots. Forward and inverse kinematics and dynamics of multi-input, multi-output rigid body systems. Computed torque control. Adaptive control. System identification. Force feedback, adaptive visual servoing. Task planning, teleoperation. Elements of biological planning and control. Motor primitives, entrainment, locomotion, active sensing, binding models. Term projects.
",2,12,2.165[J]
 Autonomous Vehicles,Spring,"Theory and application of probabilistic techniques for autonomous mobile robotics. Topics include probabilistic state estimation and decision making for mobile robots; stochastic representations of the environment; dynamic models and sensor models for mobile robots; algorithms for mapping and localization; planning and control in the presence of uncertainty; cooperative operation of multiple mobile robots; mobile sensor networks; application to autonomous marine (underwater and floating), ground, and air vehicles.
",2,12,2.166
 Hands-On Marine Robotics,Fall,"Direct experience in developing marine robotic systems, from conceptualization and design through manufacture and testing. The class consists of a weekly seminar with readings and discussions, and significant outside work on student projects, culminating in a written report each term. Seminar topics include tools for unmanned marine work and their history, analysis of mission requirements, conceptual design and modeling of systems, experiments and proofs of concept, and project pacing and time management. A total of up to 12 hours credit may be taken over one or two terms; seminar topics repeat yearly.
",2,Not Defined,2.167
 Analysis and Design of Digital Control Systems,Fall,"A comprehensive introduction to digital control system design, reinforced with hands-on laboratory experiences. Major topics include discrete-time system theory and analytical tools; design of digital control systems via approximation from continuous time; direct discrete-time design; loop-shaping design for performance and robustness; state-space design; observers and state-feedback; quantization and other nonlinear effects; implementation issues. Laboratory experiences and design projects connect theory with practice.
",2,12,2.171
 Biomolecular Feedback Systems,Spring,"
",2,12,2.18[J]
 Biomolecular Feedback Systems,Spring,"Comprehensive introduction to dynamics and control of biomolecular systems with emphasis on design/analysis techniques from control theory. Provides a review of biology concepts, regulation mechanisms, and models. Covers basic enabling technologies, engineering principles for designing biological functions, modular design techniques, and design limitations. Students taking graduate version complete additional assignments.
",2,12,2.180[J]
 Biomechanics and Neural Control of Movement,Spring,"
",2,12,2.183[J]
 Biomechanics and Neural Control of Movement,Spring,"Quantitative knowledge of human movement behavior is important in a growing number of engineering applications (medical and rehabilitation technology, athletic and military equipment, human-computer interaction, vehicle performance, etc.). Presents a quantitative, model-based description of how biomechanical and neural factors interact in human sensory-motor behavior, focusing mainly on the upper limbs. Students survey recent literature on how motor behavior is controlled, comparing biological and robotic approaches to similar tasks. Topics may include a review of relevant neural, muscular and skeletal physiology, neural feedback and ""equilibrium-point"" theories, co-contraction strategies, impedance control, kinematic redundancy, optimization, intermittency, contact tasks and tool use. Students taking the graduate version will complete additional assignments.
",2,12,2.184
 Marine Hydrodynamics,Fall,"The fundamentals of fluid mechanics are developed in the context of naval architecture and ocean science and engineering. Transport theorem and conservation principles. Navier-Stokes' equation. Dimensional analysis. Ideal and potential flows. Vorticity and Kelvin's theorem. Hydrodynamic forces in potential flow, D'Alembert's paradox, added-mass, slender-body theory. Viscous-fluid flow, laminar and turbulent boundary layers. Model testing, scaling laws. Application of potential theory to surface waves, energy transport, wave/body forces. Linearized theory of lifting surfaces. Experimental project in the towing tank or propeller tunnel.
",2,12,2.20
 Design Principles for Ocean Vehicles,Spring,"Design tools for analysis of linear systems and random processes related to ocean vehicles; description of ocean environment including random waves, ocean wave spectra and their selection; short and long term wave statistics; and ocean currents. Advanced hydrodynamics for design of ocean vehicles and offshore structures including wave forces on towed and moored structures; inertia vs. drag dominated flows; vortex induced vibrations of offshore structures; ship seakeeping and sensitivity of seakeeping performance. Design exercises in application of principles. Several laboratory exercises emphasizing modern measurement techniques, model testing, and flow diagnostic tools.
",2,12,2.22
 Hydrofoils and Propellers,Fall,"Reviews the theory and design of hydrofoil sections; lifting and thickness problems for sub-cavitating sections and unsteady flow problems. Covers lifting line and lifting surface theory with applications to hydrofoil craft, rudder, control surface, propeller and wind turbine rotor design. Topics include propeller lifting line and lifting surface theory; wake adapted propellers, steady and unsteady propeller thrust and torque; waterjets; performance analysis and design of wind turbine rotors. Presents numerical principles of vortex lattice and lifting surface panel methods. Projects illustrate the development of theoretical and computational methods for lifting, propulsion and wind turbine applications.
",2,6,2.23
 Ocean Wave Interaction with Ships and Offshore Energy Systems,Spring,"Surface wave theory, conservation laws and boundary conditions, properties of regular surface waves and random ocean waves. Linearized theory of floating body dynamics, kinematic and dynamic free surface conditions, body boundary conditions. Simple harmonic motions. Diffraction and radiation problems, added mass and damping matrices. General reciprocity identities on diffraction and radiation. Ship wave resistance theory, Kelvin wake physics, ship seakeeping in regular and random waves. Discusses point wave energy absorbers, beam sea and head-sea devises, oscillating water column device and Well's turbine. Discusses offshore floating energy systems and their interaction with ambient waves, current and wind, including oil and gas platforms, liquefied natural gas (LNG) vessels and floating wind turbines. Homework drawn from real-world applications.
",2,12,2.24[J]
 Fluid Mechanics,Fall,"Survey of principal concepts and methods of fluid dynamics. Mass conservation, momentum, and energy equations for continua. Navier-Stokes equation for viscous flows. Similarity and dimensional analysis. Lubrication theory. Boundary layers and separation. Circulation and vorticity theorems. Potential flow. Introduction to turbulence. Lift and drag. Surface tension and surface tension driven flows.
",2,12,2.25
 Fluid Dynamics and Disease (New),Spring,"See description under subject 1.631[J].
",2,12,2.250[J]
 Advanced Fluid Dynamics,Spring,"Fundamentals of fluid dynamics intrinsic to natural physical phenomena and/or engineering processes. Discusses a range of topics and advanced problem-solving techniques. Sample topics include brief review of basic laws of fluid motion, scaling and approximations, creeping flows, boundary layers in high-speed flows, steady and transient, similarity method of solution, buoyancy-driven convection in porous media, dispersion in steady or oscillatory flows, physics and mathematics of linearized instability, effects of shear and stratification. In alternate years, two of the following modules will be offered: I: Geophysical Fluid Dynamics of Coastal Waters, II: Capillary Phenomena, III: Non-Newtonian Fluids, IV: Flagellar Swimming.
",2,12,2.26[J]
 Fundamentals and Applications of Combustion,Fall,"Fundamentals and modeling of reacting gas dynamics and combustion using analytical and numerical methods. Conservation equations of reacting flows. Multi-species transport, chemical thermodynamics and chemical kinetics. Non-equilibrium flow. Detonation and reacting boundary layers. Ignition, flammability, and extinction. Premixed and diffusion flames. Combustion instabilities. Supersonic combustion. Turbulent combustion. Liquid and solid burning. Fire, safety, and environmental impact. Applications to power and propulsion.
",2,12,2.28
 Numerical Fluid Mechanics,Spring,"Introduction to numerical methods and MATLAB: errors, condition numbers and roots of equations. Navier-Stokes. Direct and iterative methods for linear systems. Finite differences for elliptic, parabolic and hyperbolic equations. Fourier decomposition, error analysis and stability. High-order and compact finite-differences. Finite volume methods. Time marching methods. Navier-Stokes solvers. Grid generation. Finite volumes on complex geometries. Finite element methods. Spectral methods. Boundary element and panel methods. Turbulent flows. Boundary layers. Lagrangian Coherent Structures. Includes a final research project.
",2,12,2.29
 Macromolecular Hydrodynamics,Spring,"Physical phenomena in polymeric liquids undergoing deformation and flow. Kinematics and material functions for complex fluids; techniques of viscometry, rheometry; and linear viscoelastic measurements for polymeric fluids. Generalized Newtonian fluids. Continuum mechnanics, frame invariance, and convected derivatives for finite strain viscoelasticity. Differential and integral constitutive equations for viscoelastic fluids. Analytical solutions to isothermal and non-isothermal flow problems; the roles of non-Newtonian viscosity, linear viscoelasticity, normal stresses, elastic recoil, stress relaxation in processing flows. Introduction to molecular theories for dynamics of polymeric fluids. (Extensive class project and presentation required instead of a final exam).
",2,9,2.341[J]
 Fundamentals of Nanoengineering,Spring,"
",2,12,2.37
 Fundamentals of Nanoengineering,Spring,"Presents the fundamentals of molecular modeling in engineering in the context of nanoscale mechanical engineering applications. Statistical mechanics and its connection to engineering thermodynamics. Molecular origin and limitations of macroscopic descriptions and constitutive relations for equilibrium and non-equilibrium behavior. Introduction to molecular simulation, solid-state physics and electrokinetic phenomena. Discusses molecular approaches to modern nanoscale engineering problems. Graduate students are required to complete additional assignments with stronger analytical content.
",2,12,2.370
 Design and Fabrication of Microelectromechanical Systems,Spring,"
",2,12,2.372[J]
 Design and Fabrication of Microelectromechanical Systems,Spring,"See description under subject 6.717[J].
",2,12,2.374[J]
 Nanostructure Fabrication,Spring,"See description under subject 6.781[J].
",2,12,2.391[J]
 General Thermodynamics,Fall,"General foundations of thermodynamics from an entropy point of view, entropy generation and transfer in complex systems. Definitions of work, energy, stable equilibrium, available energy, entropy, thermodynamic potential, and interactions other than work (nonwork, heat, mass transfer). Applications to properties of materials, bulk flow, energy conversion, chemical equilibrium, combustion, and industrial manufacturing.
",2,12,2.42
 Desalination and Water Purification,Spring,"Introduces the fundamental science and technology of desalinating water to overcome water scarcity and ensure sustainable water supplies. Covers basic water chemistry, flash evaporation, reverse osmosis and membrane engineering, electrodialysis, nanofiltration, solar desalination, energy efficiency of desalination systems, fouling and scaling, environmental impacts, and economics of desalination systems. Open to upper-class undergraduates.
",2,12,2.500
 Intermediate Heat and Mass Transfer,Fall,"Analysis, modeling, and design of heat and mass transfer processes with application to common technologies. Unsteady heat conduction in one or more dimensions, steady conduction in multidimensional configurations, numerical simulation; forced convection in laminar and turbulent flows; natural convection in internal and external configurations; phase change heat transfer; thermal radiation, black bodies, grey radiation networks, spectral and solar radiation; mass transfer at low rates, evaporation.
",2,12,2.51
 Modeling and Approximation of Thermal Processes,Fall,"Provides instruction on how to model thermal transport processes in typical engineering systems such as those found in manufacturing, machinery, and energy technologies. Successive modules cover basic modeling tactics for particular modes of transport, including steady and unsteady heat conduction, convection, multiphase flow processes, and thermal radiation. Includes a creative design project executed by the students.
",2,12,2.52[J]
 Advanced Heat and Mass Transfer,Spring,"Advanced treatment of fundamental aspects of heat and mass transport. Covers topics such as diffusion kinetics, conservation laws, laminar and turbulent convection, mass transfer including phase change or heterogeneous reactions, and basic thermal radiation. Problems and examples include theory and applications drawn from a spectrum of engineering design and manufacturing problems.
",2,12,2.55
 Nano-to-Macro Transport Processes,Spring,"
",2,12,2.57
 Nano-to-Macro Transport Processes,Spring,"Parallel treatments of photons, electrons, phonons, and molecules as energy carriers; aiming at a fundamental understanding of descriptive tools for energy and heat transport processes, from nanoscale to macroscale. Topics include energy levels; statistical behavior and internal energy; energy transport in the forms of waves and particles; scattering and heat generation processes; Boltzmann equation and derivation of classical laws; and deviation from classical laws at nanoscale and their appropriate descriptions. Applications in nanotechnology and microtechnology. Students taking the graduate version complete additional assignments.
",2,12,2.570
 Thermal Hydraulics in Power Technology,Spring,"See description under subject 22.313[J].
",2,12,2.59[J]
 Fundamentals of Advanced Energy Conversion,Spring,"Fundamentals of thermodynamics, chemistry, and transport applied to energy systems. Analysis of energy conversion and storage in thermal, mechanical, chemical, and electrochemical processes in power and transportation systems, with emphasis on efficiency, performance, and environmental impact. Applications to fuel reforming and alternative fuels, hydrogen, fuel cells and batteries, combustion, catalysis, combined and hybrid power cycles using fossil, nuclear and renewable resources. CO2 separation and capture. Biomass energy. Students taking graduate version complete additional assignments.
",2,12,2.60[J]
 Internal Combustion Engines,Spring,"Fundamentals of how the design and operation of internal combustion engines affect their performance, efficiency, fuel requirements, and environmental impact. Study of fluid flow, thermodynamics, combustion, heat transfer and friction phenomena, and fuel properties, relevant to engine power, efficiency, and emissions. Examination of design features and operating characteristics of different types of internal combustion engines: spark-ignition, diesel, stratified-charge, and mixed-cycle engines. Engine Laboratory project. For graduate and senior undergraduate students.
",2,12,2.61
 Marine Power and Propulsion,Fall,"
",2,12,2.611
 Marine Power and Propulsion,Fall,"Selection and evaluation of commercial and naval ship power and propulsion systems. Analysis of propulsors, prime mover thermodynamic cycles, propeller-engine matching. Propeller selection, waterjet analysis, review of alternative propulsors; thermodynamic analyses of Rankine, Brayton, Diesel, and Combined cycles, reduction gears and integrated electric drive. Battery operated vehicles, fuel cells. Term project requires analysis of alternatives in propulsion plant design for given physical, performance, and economic constraints. Graduate students complete different assignments and exams.
",2,12,2.612
 Fundamentals of Advanced Energy Conversion,Spring,"Fundamentals of thermodynamics, chemistry, and transport applied to energy systems. Analysis of energy conversion and storage in thermal, mechanical, chemical, and electrochemical processes in power and transportation systems, with emphasis on efficiency, performance and environmental impact. Applications to fuel reforming and alternative fuels, hydrogen, fuel cells and batteries, combustion, catalysis, combined and hybrid power cycles using fossil, nuclear and renewable resources. CO2 separation and capture. Biomass energy. Meets with 2.60[J] when offered concurrently; students taking the graduate version complete additional assignments.
",2,12,2.62[J]
" Electrochemical Energy Conversion and Storage: Fundamentals, Materials and Applications",Fall,"Fundamental concepts, tools, and applications in electrochemical science and engineering. Introduces thermodynamics, kinetics and transport of electrochemical reactions. Describes how materials structure and properties affect electrochemical behavior of particular applications, for instance in lithium rechargeable batteries, electrochemical capacitors, fuel cells, photo electrochemical cells, and electrolytic cells. Discusses state-of-the-art electrochemical energy technologies for portable electronic devices, hybrid and plug-in vehicles, electrical vehicles. Theoretical and experimental exploration of electrochemical measurement techniques in cell testing, and in bulk and interfacial transport measurements (electronic and ionic resistivity and charge transfer cross the electrode-electrolyte interface).
",2,12,2.625[J]
 Fundamentals of Photovoltaics,Fall,"
",2,12,2.626
 Fundamentals of Photovoltaics,Fall,"Fundamentals of photoelectric conversion: charge excitation, conduction, separation, and collection. Studies commercial and emerging photovoltaic technologies. Cross-cutting themes include conversion efficiencies, loss mechanisms, characterization, manufacturing, systems, reliability, life-cycle analysis, and risk analysis. Photovoltaic technology evolution in the context of markets, policies, society, and environment. Graduate students complete additional work.
",2,12,2.627
 Superconducting Magnets,Spring,"Covers design, manufacture, and operation issues of superconducting magnets for major engineering applications in biomedical science (MRI & NMR magnets), high-energy physics (dipole/quadrupole/detector magnets), and electric power (motor/generator/transmission cable) as well as laboratory use. Topics include electromagnetic field analyses, mechanical stress analyses, thermal stability analyses, protection circuit design, cryogenics, and experimental techniques.
",2,12,2.64
 Sustainable Energy,Fall,"See description under subject 22.811[J].
",2,12,2.65[J]
 Introduction to Sustainable Energy,Fall,"See description under subject 22.081[J].
Limited to juniors and seniors.",2,12,2.650[J]
 D-Lab: Energy,Spring,"See description under subject EC.711[J].
Enrollment limited by lottery; must attend first class session.",2,12,2.651[J]
 Fundamentals of Energy in Buildings,Fall,"See description under subject 4.42[J].
",2,12,2.66[J]
 Mechanical Engineering Tools,"Not Offered, ","Introduces the fundamentals of machine tools use and fabrication techniques. Students work with a variety of machine tools including the bandsaw, milling machine, and lathe. Mechanical Engineering students are advised to take this subject in the first IAP after declaring their major.
Enrollment may be limited due to laboratory capacity. Preference to Course 2 majors and minors.",2,3,2.670
 Measurement and Instrumentation,"Spring, Fall","Experimental techniques for observation and measurement of physical variables such as force, strain, temperature, flow rate, and acceleration. Emphasizes principles of transduction, measurement circuitry, MEMS sensors, Fourier transforms, linear and nonlinear function fitting, uncertainty analysis, probability density functions and statistics, system identification, electrical impedance analysis and transfer functions, computer-aided experimentation, and technical reporting. Typical laboratory experiments involve oscilloscopes, electronic circuits including operational amplifiers, thermocouples, strain gauges, digital recorders, lasers, etc. Basic material and lab objectives are developed in lectures. Instruction and practice in oral and written communication provided.
Enrollment limited.",2,12,2.671
 Instrumentation and Measurement for Biological Systems,"Spring, Fall","See description under subject 20.309[J].
Enrollment limited; preference to Course 20 undergraduates.",2,12,2.673[J]
 Micro/Nano Engineering Laboratory,"Spring, Fall","Concepts, ideas, and enabling tools of nanoengineering taught through lab modules and imaging tools, which include microfluidics, microthermal systems, MEMS, nanomaterials, SEM, TEM, and AFM. Provides practical knowledge and experience via building, observing and manipulating micro- and nanoscale structures. Teaches students how to apply engineering knowledge to practical fluid, thermal, and dynamic systems at small scales. Meets with 2.675 in the fall term.
Enrollment limited; preference to Course 2 majors and minors.",2,6,2.674
 Micro/Nano Engineering Laboratory,Fall,"Concepts, ideas, and enabling tools of nanoengineering taught through lab modules and imaging tools, which include microfluidics, microthermal systems, MEMS, nanomaterials, SEM, TEM, and AFM. Provides practical knowledge and experience via building, observing and manipulating micro- and nanoscale structures. Teaches students how to apply engineering knowledge to practical fluid, thermal, and dynamic systems at small scales. Meets with 2.674 in the fall term.
Enrollment limited.",2,12,2.675
 Electronics for Mechanical Systems,"Spring, Fall","Practical introduction to the fundamentals of electronics in the context of electro-mechanical systems, with emphasis on experimentation and project work in basic electronics. Laboratory exercises include the design and construction of simple electronic devices, such as power supplies, amplifiers, op-amp circuits, switched mode dc-dc converters, and dc motor drivers. Surveys embedded microcontrollers as system elements. Laboratory sessions stress the understanding of electronic circuits at the component level, but also point out the modern approach of system integration using commercial modules and specialized integrated circuits.
Enrollment may be limited due to laboratory capacity; preference to Course 2 majors and minors.",2,6,2.678
" Unmanned Marine Vehicle Autonomy, Sensing, and Communication",Spring,"Focuses on software and algorithms for autonomous decision making (autonomy) by underwater vehicles operating in ocean environments. Discusses how autonomous marine vehicles (UMVs) adapt to the environment for improved sensing performance. Covers sensors for acoustic, biological and chemical sensing and their integration with the autonomy system for environmentally adaptive undersea mapping and observation. Introduces students to the underwater acoustic communication environment and various options for undersea navigation, highlighting their relevance to the operation of collaborative undersea networks for environmental sensing. Labs involve the use of the MOOP-IvP autonomy software for the development of integrated sensing, modeling and control solutions. Solutions modeled in simulation environments and include field tests with small autonomous surface and underwater vehicles operated on the Charles River.
Limited enrollment.",2,12,2.680
 Environmental Ocean Acoustics,Spring,"Fundamentals of underwater sound, and its application to mapping and surveillance in an ocean environment. Wave equations for fluid and elastic media. Reflection and transmission of sound at plane interfaces. Wave theory representation of acoustic source radiation and propagation in shallow and deep ocean waveguides. Interaction of underwater sound with elastic waves in the seabed and an Arctic ice cover, including effects of porosity and anisotropy. Numerical modeling of the propagation of underwater sound, including spectral methods, normal mode theory, and the parabolic equation method, for laterally homogeneous and inhomogeneous environments. Doppler effects. Effects of oceanographic variability and fluctuation - spatial and temporal coherence. Generation and propagation of ocean ambient noise. Modeling and simulation of signals and noise in traditional sonar systems, as well as modern, distributed, autonomous acoustic surveillance systems.
",2,12,2.681
 Acoustical Oceanography,Spring,"Provides brief overview of what important current research topics are in oceanography (physical, geological, and biological) and how acoustics can be used as a tool to address them. Three typical examples are climate, bottom geology, and marine mammal behavior. Addresses the acoustic inverse problem, reviewing inverse methods (linear and nonlinear) and the combination of acoustical methods with other measurements as an integrated system. Concentrates on specific case studies, taken from current research journals.
",2,12,2.682
 Marine Bioacoustics and Geoacoustics,Spring,"Both active and passive acoustic methods of measuring marine organisms, the seafloor, and their interactions are reviewed. Acoustic methods of detecting, observing, and quantifying marine biological organisms are described, as are acoustic methods of measuring geological properties of the seafloor, including depth, and surficial and volumetric composition. Interactions are also described, including effects of biological scatterers on geological measurements, and effects of seafloor scattering on measurements of biological scatterers on, in, or immediately above the seafloor. Methods of determining small-scale material properties of organisms and the seafloor are outlined. Operational methods are emphasized, and corresponding measurement theory is described. Case studies are used in illustration. Principles of acoustic-system calibration are elaborated.
",2,12,2.683
 Wave Scattering by Rough Surfaces and Inhomogeneous Media,Spring,"An advanced-level subject designed to give students a working knowledge of current techniques in this area. Material is presented principally in the context of ocean acoustics, but can be used in other acoustic and electromagnetic applications. Includes fundamentals of wave propagation through, and/or scattering by: random media, extended coherent structures, rough surfaces, and discrete scatterers.
",2,12,2.684
 Time Series Analysis and System Identification,Fall,"Covers matched filtering, power spectral (PSD) estimation, and adaptive signal processing / system identification algorithms. Algorithm development is framed as an optimization problem, and optimal and approximate solutions are described. Reviews time-varying systems, first and second moment representations of stochastic processes, and state-space models. Also covers algorithm derivation, performance analysis, and robustness to modeling errors. Algorithms for PSD estimation, the LMS and RLS algorithms, and the Kalman Filter are treated in detail.
",2,12,2.687
 Principles of Oceanographic Instrument Systems -- Sensors and Measurements,Fall,"Introduces theoretical and practical principles of design of oceanographic sensor systems. Transducer characteristics for acoustic, current, temperature, pressure, electric, magnetic, gravity, salinity, velocity, heat flow, and optical devices. Limitations on these devices imposed by ocean environment. Signal conditioning and recording; noise, sensitivity, and sampling limitations; standards. Principles of state-of-the-art systems being used in physical oceanography, geophysics, submersibles, acoustics discussed in lectures by experts in these areas. Day cruises in local waters during which the students will prepare, deploy and analyze observations from standard oceanographic instruments constitute the lab work for this subject.
",2,12,2.688
 Projects in Oceanographic Engineering,"Spring, Fall, IAP, Summer","Projects in oceanographic engineering, carried out under supervision of Woods Hole Oceanographic Institution staff. Given at Woods Hole Oceanographic Institution.
",2,Not Defined,2.689[J]
 Corrosion in Marine Engineering,"IAP, Summer","Introduction to forms of corrosion encountered in marine systems material selection, coatings and protection systems. Case studies and causal analysis developed through student presentations.
",2,6,2.690
 Principles of Naval Architecture,Fall,"See description under subject *UNKNOWN*.
",2,12,2.700
 Principles of Naval Architecture,Fall,"Presents principles of naval architecture, ship geometry, hydrostatics, calculation and drawing of curves of form, intact and damage stability, hull structure strength calculations and ship resistance. Introduces computer-aided naval ship design and analysis tools. Projects include analysis of ship lines drawings, calculation of ship hydrostatic characteristics, analysis of intact and damaged stability, ship model testing, and hull structure strength calculations. Students taking graduate version complete additional assignments.
",2,12,2.701
 Systems Engineering and Naval Ship Design,Spring,"Introduces principles of systems engineering and ship design with an overview of naval ship design and acquisition processes, requirements setting, formulation of a systematic plan, design philosophy and constraints, formal decision making methods, selection criteria, optimization, variant analysis, trade-offs, analysis of ship design trends, risk, and cost analysis. Emphasizes the application of principles through completion of a design exercise and project.
",2,9,2.702
 Principles of Naval Ship Design,Fall,"Covers the design of surface ship platforms for naval applications. Includes topics such as hull form selection and concept design synthesis, topside and general arrangements, weight estimation, and technical feasibility analyses (including strength, stability, seakeeping, and survivability.). Practical exercises involve application of design principles and utilization of advanced computer-aided ship design tools.
",2,12,2.703
 Projects in Naval Ship Conversion Design,Spring,"Focuses on conversion design of a naval ship. A new mission requirement is defined, requiring significant modification to an existing ship. Involves requirements setting, design plan formulation and design philosophy, and employs formal decision-making methods. Technical aspects demonstrate feasibility and desirability. Includes formal written and verbal reports and team projects.
",2,12,2.704
 Projects in New Concept Naval Ship Design,"Spring, Fall","Focus on preliminary design of a new naval ship, fulfilling a given set of mission requirements. Design plan formulation, system level trade-off studies, emphasizes achieving a balanced design and total system integration. Formal written and oral reports. Team projects extend over three terms.
",2,Not Defined,2.705
 Submarine Structural Acoustics,Spring,"Introduction to the acoustic interaction of submerged structures with the surrounding fluid. Fluid and elastic wave equations. Elastic waves in plates. Radiation and scattering from planar structures as well as curved structures such as spheres and cylinders. Acoustic imaging of structural vibrations. Students can take 2.085 in the second half of term.
",2,6,2.707
 Traditional Naval Architecture Design,"Not Offered, ","Week-long intensive introduction to traditional design methods in which students hand draw a lines plan of a N. G. Herreshoff (MIT Class of 1870) design based on hull shape offsets taken from his original design model. After completing the plan, students then carve a wooden half-hull model of the boat design. Covers methods used to develop hull shape analysis data from lines plans. Provides students with instruction in safe hand tool use and how to transfer their lines to 3D in the form of their model.
Limited to 15.",2,3,2.708
 Optics,Fall,"
",2,12,2.71
 Optics,Fall,"Introduction to optical science with elementary engineering applications. Geometrical optics: ray-tracing, aberrations, lens design, apertures and stops, radiometry and photometry. Wave optics: basic electrodynamics, polarization, interference, wave-guiding, Fresnel and Fraunhofer diffraction, image formation, resolution, space-bandwidth product. Emphasis on analytical and numerical tools used in optical design. Graduate students are required to complete additional assignments with stronger analytical content, and an advanced design project.
",2,12,2.710
 Optical Microscopy and Spectroscopy for Biology and Medicine,Spring,"Introduces the theory and the design of optical microscopy and its applications in biology and medicine. The course starts from an overview of basic optical principles allowing an understanding of microscopic image formation and common contrast modalities such as dark field, phase, and DIC. Advanced microscopy imaging techniques such as total internal reflection, confocal, and multiphoton will also be discussed. Quantitative analysis of biochemical microenvironment using spectroscopic techniques based on fluorescence, second harmonic, Raman signals will be covered. We will also provide an overview of key image processing techniques for microscopic data.
",2,12,2.715[J]
 Optical Engineering,Fall,"Theory and practice of optical methods in engineering and system design. Emphasis on diffraction, statistical optics, holography, and imaging. Provides engineering methodology skills necessary to incorporate optical components in systems serving diverse areas such as precision engineering and metrology, bio-imaging, and computing (sensors, data storage, communication in multi-processor systems). Experimental demonstrations and a design project are included.
",2,12,2.717
 Photonic Materials,Fall,"
",2,12,2.718
 Photonic Materials,Fall,"Provides a review of Maxwell's equations and the Helmholtz wave equation. Optical devices: waveguides and cavities, phase and group velocity, causality, and scattering. Light-matter interaction in bulk, surface, and subwavelength-structured matter. Effective media, dispersion relationships, wavefronts and rays, eikonal description of light propagation, phase singularities. Transformation optics, gradient effective media. Includes description of the experimental tools for realization and measurement of photonic materials and effects. Students taking graduate version complete additional assignments.
",2,12,2.719
 FUNdaMENTALS of Precision Product Design,Spring,"
Enrollment limited.",2,12,2.70
 FUNdaMENTALS of Precision Product Design,Spring,"Examines design, selection, and combination of machine elements to produce a robust precision system. Introduces process, philosophy and physics-based principles of design to improve/enable renewable power generation, energy efficiency, and manufacturing productivity. Topics include linkages, power transmission, screws and gears, actuators, structures, joints, bearings, error apportionment, and error budgeting. Considers each topic with respect to its physics of operation, mechanics (strength, deformation, thermal effects) and accuracy, repeatability, and resolution. Includes guest lectures from practicing industry and academic leaders. Students design, build, and test a small benchtop precision machine, such as a heliostat for positioning solar PV panels or a two or three axis machine. Prior to each lecture, students review the pre-recorded detailed topic materials and then converge on what parts of the topic they want covered in extra depth in lecture. Students are assessed on their preparation for and participation in class sessions. Students taking graduate version complete additional assignments.
Enrollment limited.",2,12,2.77
 Elements of Mechanical Design,Spring,"Advanced study of modeling, design, integration, and best practices for use of machine elements, such as bearings, bolts, belts, flexures, and gears. Modeling and analysis is based upon rigorous application of physics, mathematics, and core mechanical engineering principles, which are reinforced via laboratory experiences and a design project in which students model, design, fabricate, and characterize a mechanical system that is relevant to a real-world application. Activities and quizzes are directly related to, and coordinated with, the project deliverables. Develops the ability to synthesize, model and fabricate a design subject to engineering constraints (e.g., cost, time, schedule). Students taking graduate version complete additional assignments.
Enrollment limited.",2,12,2.72
 Elements of Mechanical Design,Spring,"Advanced study of modeling, design, integration, and best practices for use of machine elements, such as bearings, bolts, belts, flexures, and gears. Modeling and analysis is based upon rigorous application of physics, mathematics, and core mechanical engineering principles, which are reinforced via laboratory experiences and a design project in which students model, design, fabricate, and characterize a mechanical system that is relevant to a real-world application. Activities and quizzes are directly related to, and coordinated with, the project deliverables. Develops the ability to synthesize, model and fabricate a design subject to engineering constraints (e.g., cost, time, schedule). Students taking graduate version complete additional assignments.
",2,12,2.720
 D-Lab: Design,Spring,"See description under subject EC.720[J].
Enrollment limited by lottery; must attend first class session.",2,12,2.722[J]
 Engineering Innovation and Design,"Spring, Fall","See description under subject 6.902.
",2,6,2.723
 D-Lab: Design for Scale,Fall,"See description under subject EC.729[J].
",2,12,2.729[J]
 Mechatronics,Fall,"Introduction to designing mechatronic systems, which require integration of the mechanical and electrical engineering disciplines within a unified framework. Significant laboratory-based design experiences form subject's core. Final project. Topics include: low-level interfacing of software with hardware; use of high-level graphical programming tools to implement real-time computation tasks; digital logic; analog interfacing and power amplifiers; measurement and sensing; electromagnetic and optical transducers; control of mechatronic systems.
Limited to 20.",2,12,2.737
 Product Design and Development,Spring,"See description under subject 15.783[J].
Engineering students accepted via lottery based on WebSIS pre-registration.",2,12,2.739[J]
 Bio-inspired Robotics,Fall,"Interdisciplinary approach to bio-inspired design, with emphasis on principle extraction applicable to various robotics research fields, such as robotics, prosthetics, and human assistive technologies. Focuses on three main components: biomechanics, numerical techniques that allow multi-body dynamics simulation with environmental interaction and optimization, and basic robotics techniques and implementation skills. Students integrate the components into a final robotic system project of their choosing through which they must demonstrate their understanding of dynamics and control and test hypothesized design principles. Students taking graduate version complete additional assignments.
Enrollment may be limited due to laboratory capacity.",2,12,2.74
