description,title,prerequisites,schedule_type,levels,link,department
"Computer Illustration will continue advanced skill development in vector based computer graphics.Students will learn to create computer generated illustrations based on their original concepts and drawings.Graphic and aesthetic fundamentals will be addressed.Illustration assignments may include editorial, narrative, information, and/or packaging problems.",GRA 205 - Computer Illustration,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=GRA&crse_numb_in=205,Art & Design
"Designing Web Graphics introduces students to the problems and solutions of creating original graphics for the Web. Using Photoshop and ImageReady, students will design images for background, text, graphics, navigation and animation. Students will learn to use appropriate colors, file formats and compression methods in creating graphics.",GRA 215 - Designing Web Graphics,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=GRA&crse_numb_in=215,Art & Design
"The Seminar in New Media provides students with an opportunity to develop, research, and produce an original multimedia project of their choice from concept to creation. Project proposals must be approved by the faculty member and program director.",GRA 220 - Seminar: New Media,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=GRA&crse_numb_in=220,Art & Design
"The focus of this course will be on developing a professional-level portfolio with advanced projects in the graphic design field, from concept to completion, with individual flexibility based on each student's specific direction.Following an assessment of individual portfolio work from other classes, students will develop and/or exchange existing work and also initiate and complete new work, as determined in consultation with instructor.The objective is a focused portfolio of work in print and digital media, at a consistent level of quality, demonstrating competence, concept and a high level of craft.Prepress, presentation and other issues will be addressed within the class.",GRA 250 - Portfolio for Graphic Design,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=GRA&crse_numb_in=250,Art & Design
"This introductory course will focus on learning strategies that can be utilized throughout a healthcare programs curriculum.This course is specifically designed for those students who have applied to or will apply to a healthcare career program at NECC.Emphasis will be placed on learning tools necessary for success in a rigorous healthcare career program.Although completion of this course does not guarantee acceptance into a health career program-it will give the student the study, reading, critical thinking and test taking skills necessary for success in all aspects of learning.",HES 102 - Learning Strategies for Success in Healthcare Careers,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HES&crse_numb_in=102,Health
"Resume development, Interviewing skills, Communication skills, Customer service skills, and Solving problems are assets that students preparing for a career in the healthcare industry should acquire in order to be successful.In this class we will also explore current employment trends in the healthcare industry and how to adequately prepare for employment in healthcare today.",HES 103 - RICCS: Preparing for Success in a Healthcare Career,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HES&crse_numb_in=103,Health
"Theory and problems in the management of the medical office including filing, making appointments, completing medical forms, telephone techniques, medical bookkeeping and dictation and transcription procedures related to medical office. The ethical structure and general principles of law which affect the role of the medical assistant will be discussed.",HES 104 - Medical Office Administration,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HES&crse_numb_in=104,Health
"This course provides students with a comprehensive view of the United States healthcare delivery system and the environment in which it operates.Topics to be presented include: historical overview of US health care delivery system, healthcare providers and professionals, technology and its effects,: cost, access and quality of healthcare and future trends in health services delivery.",HES 108 - Introduction to Healthcare Services,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HES&crse_numb_in=108,Health
"This course introduces students to healthcare finance and describes the current financial environment in which providers operate.Students are presented with the basics of financial and managerial accounting, with emphasis on those accounting concepts that are most critical to managerial decision-making.Students will apply concepts learned to casework from ""real world"" healthcare organizations.",HES 109 - Fundamentals of Healthcare Finance,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HES&crse_numb_in=109,Health
"This course will focus on the study of basic prefixes, suffixes, roots, abbreviations, and symptomatic, disease and operative terminology. Terms will be selected using an anatomic systems approach. Terms of positions, direction and planes of the human body will be discussed.",HES 115 - Medical Terminology,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HES&crse_numb_in=115,Health
"Focuses on venipuncture and micro collection techniques for obtaining hematological specimens from patients. Students perform venipuncture techniques on each other throughout this course. Included within this course are units on the circulatory system, collection equipment, infection control, requisitioning, specimen transport, quality control, and safety.",HES 120 - Phlebotomy,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HES&crse_numb_in=120,Phlebotomy
"A supervised placement in an affiliating clinical agency provides students with an opportunity to obtain hematological specimens from patients using techniques of venipuncture and micro-collection.PLEASE NOTE: CORI (Criminal Offender Record Information), CHRI (Criminal Records Central Repository) and/or SORI (Sex Offender Record Information) checks are required prior to participation in this course.Drug Screening: Students enrolled in this academic course may be required to pass a drug screening analysis.",HES 121 - Phlebotomy Externship,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HES&crse_numb_in=121,Phlebotomy
"Prepares students from different health care disciplines to understand the environment encountered in clinical agencies.Evidence-based medicine and the use of critical thinking form the framework for discussion.Topics include patient's right to privacy; confidentiality; promoting a safe clinical environment; ethical, legal, and cultural issues; documentation; team building; age related concerns; medical terminology; and death and dying.",HES 130 - Introduction to Patient Care,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HES&crse_numb_in=130,Health
This course focuses on the basic structure and function of the human body and an introduction to microbiology. Topics include the anatomy and physiology of the various systems as well as concepts from microbiology that pertain to disease transmission and prevention.,HES 140 - Introduction to the Human Body,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HES&crse_numb_in=140,Health
,HES 199 - Community Health,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HES&crse_numb_in=199,Phlebotomy
"The basics of ethical theory as applied to legal principles and responsibilities of healthcare professionals. Contemporary healthcare topics will be explored including professional liability, patient rights and safety, confidentiality, reproductive medicine, and end of life issues.Students will apply concepts learned to current healthcare cases.",HES 201 - Healthcare Law and Ethics,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HES&crse_numb_in=201,Health
"This course provides an overview of concepts and issues related to healthcare leadership and management.Through examination of management topics and healthcare situations, the student will explore the skills and knowledge needed to be successful in a diverse and ever changing healthcare environment.Topics will include healthcare leadership, organizational design as it relates to the unique nature of healthcare organizations, managing professionals, performance improvement, teambuilding and teamwork, and diversity in the workplace.",HES 203 - Healthcare Management and Leadership Skills,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HES&crse_numb_in=203,Health
"Uses myocardial electrophysiology as the framework for examining the theory and interpretation of cardiac monitor rhythms, with emphasis on recognition of normal and abnormal rhythms.Examines predisposing factor and associated interventions, as well as the consequences of dysrhythmias.This course is open to qualified health professionals, e.g., registered nurses, paramedics, respiratory therapists, physical therapists.",HES 205 - Cardiac Dysrhythmia Recognition and Management,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HES&crse_numb_in=205,Health
"A study of basic pathophysiologic concepts using a major body system/organ approach appropriate to the foundation required by health students. The systems to be reviewed include: cardiovascular, pulmonary, genitourinary, gastrointestinal, neurologic, hematologic, musculoskeletal, reproductive and endocrine systems. Etiology and progression from the normal physiological state to the diseased state with resultant clinical signs and symptoms, diagnoses and interventions, including pharmacologic therapies, will be discussed.",HES 207 - Clinical Pathophysiology,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HES&crse_numb_in=207,Practical Nursing
"This course uses a problem-oriented, scenario-based educational approach to provide information on airway management and intubation, IV therapy, defibrillation/cardioversion, drug therapy protocols (algorithms) and legal considerations.Upon successful completion of this course, participants are eligible for the American Heart Association ACLS card.Enrollment in this course requires one to be a Health care provider or second year health professions student with a current Basic Life Support (BLS) card.",HES 209 - Advanced Cardiac Life Support,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HES&crse_numb_in=209,Practical Nursing
"This course uses a problem-oriented, scenario-based educational approach to provide information needed to recognize and prevent cardiopulmonary arrest in children and infants, and to resuscitate and stabilize infants and children who experience respiratory failure, shock and cardiopulmonary arrests. Upon successful completion of this course, participants are eligible for the American Heart Association PALS card.(One credit; total of 15 hours in experiential learning activities.)Students enrolled in this course must be a Health care provider or second-year student in the health professions with a current Basic Life Support (BLS) card.",HES 210 - Pediatric Advanced Life Support,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HES&crse_numb_in=210,Health
"This course uses a problem-oriented, scenario-based educational approach incorporating the standards and guidelines for cardiopulmonary resuscitation and emergency cardiac care of newborns, as authored in co-sponsorship by the American Academy of Pediatrics (AAP) and the American Heart Association (AHA). Upon successful completion of this course, students are eligible for the Neonatal Resuscitation Provider card. (One credit; total of 15 hours in experiential learning activities.)Students enrolled in this course must be a Health care provider or second-year student in the health professions with a current Basic Life Support (BLS) card.",HES 211 - Neonatal Resuscitation Program,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HES&crse_numb_in=211,Health
"This course is a survey of American history from 1607-1865. It will trace the political, social, cultural and economic development of the United States from colonial times through the Civil War. Special attention will be given to political theory, the role of leadership, America's expansion across the continent and the rising tide of sectionalism that results in the Civil War.",HIS 101 - US History I,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HIS&crse_numb_in=101,Global Studies
"This course is a survey of American history from 1865 to the present. It will examine the continuing political, social, cultural and economic development of the United States from reconstruction through the Second World War and the postwar years. Emphasis will be placed on the increasing power of the Presidency, the role of America as a world leader, industrial and technological growth and its impact on the environment.",HIS 102 - US History II,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HIS&crse_numb_in=102,Global Studies
"This course is a survey of major historical developments and trends in Western Civilization from their origins to 1715 with emphasis on the formation and evolution of the social, political, economic, religious and cultural institutions of ancient, medieval and early modern Europe.",HIS 111 - Western Civilization I,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HIS&crse_numb_in=111,Global Studies
"This course is a survey of major historical developments and trends in Western Civilization from 1715 to the present with emphasis on the evolution of social, political, economic, religious and cultural institutions in modern Europe.",HIS 112 - Western Civilization II,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HIS&crse_numb_in=112,Global Studies
"This course is a survey of major world civilizations from their origins to 1500 stressing and interpreting social, cultural, intellectual, religious, economic and political developments of European, African, Asian and Amerindian societies and their contributions to humankind.",HIS 121 - World Civilization I,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HIS&crse_numb_in=121,Global Studies
"This course is a survey of major world civilizations from 1500 to the present, stressing social, cultural, intellectual, religious, economic and political developments of European, African, Asian, and American societies, their interaction, and their contributions to humankind.",HIS 122 - World Civilization II,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HIS&crse_numb_in=122,Global Studies
"Will focus on the history of El Camino, the road to the shrine of Santiago de Compostela in Galicia in what was the Kingdom of Leon, on the northeast coast of Spain.The student will trace the religious origins and history of the pilgrimages undertaken along that road from Roman times until the end of the pre-Modern era (about 1789).The history will include discussion, wherever possible, and everyday life along the pilgrimage route.Some of this may be obtained from literature.",HIS 124 - Topics in Early European History,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HIS&crse_numb_in=124,Global Studies
"This course is a seminar on American history from 1945 to the present. It will examine the challenges facing the United States after World War Two. Attention will be directed to America's activities during the Cold War, the Federal government's response to social and economic issues, the rising challenge of minority groups, and the impact of industrial and technological growth on the economy and the environment. Independent projects examining contemporary America will be assigned.",HIS 201 - Recent US History,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HIS&crse_numb_in=201,Global Studies
"This course is a survey of U.S. foreign affairs from revolutionary times to the present. Special emphasis will be placed on America's emergence as a world power and her relationship with Europe, Latin America and the Far East. Attention will be paid to the developing roles of the President and the State Department, Congress and international organizations in the making of our foreign policy.",HIS 203 - American Foreign Policy,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HIS&crse_numb_in=203,Global Studies
"This course presents an in-depth study of the American Civil War. It centers on the war's military activity: strategies, campaigns, leadership and the lives of black and white soldiers. Both northern and southern perspectives of the causes and meaning of the war are covered. Significant attention is paid to the roles played by women and men on the home front, the political struggle within the central government and the response to the war by artists.",HIS 204 - The US Civil War: America's Irrepressible Conflict,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HIS&crse_numb_in=204,Global Studies
,HIS 205 - Topics in Modern American Political History,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HIS&crse_numb_in=205,Global Studies
"This course is a survey of major historical developments and trends in the rise of the West from their origins in the ancient Near East through Classical Greece and Rome to the decline and fall of the Roman Empire and the rise and triumph of Christianity. Attention is given to the formation and evolution of social, political, and economic institutions as well as intellectual, religious and cultural achievements.",HIS 211 - Early Civilization in the West,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HIS&crse_numb_in=211,Global Studies
"This course examines the cultural, political and economic history of the Merrimack Valley region in northeastern Massachusetts from the time it was first explored by the English and French-Canadians in the 1600s to today.Special emphasis will be placed on the industrial development of cities such as Haverhill, Lawrence and Lowell, tracing their origins as manufacturing centers to today's service industries.",HIS 216 - History of the Merrimack Valley,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HIS&crse_numb_in=216,Global Studies
"This course is a survey of important political, social, economic and cultural developments in the world since 1945. Emphasis will be placed on the nuclear arms race, the Cold War, upheaval and transformation in the Third World and the continual realignment of the world balance of political and economic power since the end of the Second World War.",HIS 221 - The Contemporary World,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HIS&crse_numb_in=221,Global Studies
"This course is a survey of Chinese and Japanese history from 1800 to the present. It will explore the nature of traditional China and Japan as they confronted the West, their contrasting responses to the Western presence in East Asia, and their struggles to reconcile traditional and modern ideas and institutions. It will also examine the emergence of nationalism in China and Japan, and the challenges they face in adjusting to a rapidly changing world order.",HIS 222 - Modern China & Japan,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HIS&crse_numb_in=222,Global Studies
"This course is a survey of the social, political, intellectual, religious and economic forces that have shaped the contemporary Middle East. It will explore the nature of the traditional, pre-modern Arab, Islamic, Jewish, Persian, and Turkish civilizations as they confronted modern external forces. Special attention will be given to the problems and conflicts arising from this confrontation, and each of the principal countries in this region will be examined separately.",HIS 223 - The Modern Middle East,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HIS&crse_numb_in=223,Global Studies
"This course is a survey of the war in Indo-China (1945-1975) which starts with the Viet Minh in World War II and concludes with the Paris Peace talks and the aftermath in the 1970s. It will focus on interpretations of the war itself and its resounding impact on the United States. The Vietnam War tore at the fabric of American society, and the course will examine the transformation of its sociocultural identity.",HIS 224 - Vietnam War,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HIS&crse_numb_in=224,Global Studies
"This course is a survey of the history of the Hispanic Caribbean since 1900 to the current time.It will trace the political, social, cultural and economic development of the region.Special attention will be given to the presence of the United States and other countries in the zones geopolitics, to the period after World War II, and to cultural life in Cuba, the Dominican Republic, Haiti and Puerto Rico.",HIS 243 - Contemporary Hispanic Caribbean,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HIS&crse_numb_in=243,Global Studies
"This course provides an analysis of World War II, including military, political, economic, social, technological, and cultural developments during the 1930s and 1940s. The course will focus on the major leaders, battles, strategies, and conduct of the war and on the lives of ordinary participants on and off the battlefields. The course will also emphasize life on the home front and the impact of the war on the postwar world.",HIS 250 - World War II,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HIS&crse_numb_in=250,Global Studies
This course is a seminar that will examine the cultural assumptions by which society measures the significance of men's and women's lives.It will trace the many roles of women in the past and discuss whether traditional expectations about individual values and gender roles are realistic or biased and whether double standards exist for men and women.Students will complete independent projects examining women's lives.The instructor will determine the particular emphasis in period and culture.,HIS 251 - Women's History: Giving the Majority Its Past,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HIS&crse_numb_in=251,Global Studies
"This course provides a study of history through film and media.This course will study the depiction of historical events on film and how they have shaped modern perceptions of history.Attention will be given to how films can depict the era in which they were made through an interpretation of historical events.Some of the key elements studied will be the portrayal of historical eras, world cultural groups, political and economic systems, social mores and a western interpretation of history through film.The last point of interest will be how certain films changed the nature of film-making and its interpretation of history.",HIS 253 - History and Film,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HIS&crse_numb_in=253,Global Studies
This course examines the process of running for president from the announcement of candidacy through the general election.Emphasis will be placed on the '08 U.S. presidential campaign and election.Actual candidates and issues will form the basis for discussions and readings.,HIS 255 - Quest for the Presidency,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HIS&crse_numb_in=255,Global Studies
"This interdisciplinary course will introduce honors students to a single broad topic that will be studied from a variety of perspectives. Emphasis will be placed on integration of material, critical thinking, cooperative learning, and independent research.. Students enrolled in this course must have a GPS of 3.3 or higher.Fall13 - Students will use their imagination in visualizing and critiquing utopian models that have been proposed in philosophy, political science, literature, and film. Negative utopias, or dystopias, will also be considered. The issue of human nature, which involves both political philosophy and psychology, will constitute a key focus. Relevance to contemporary American society, including the recent Occupy movement, will be an important aspect of the course.",HON 104 - Honors Seminar: Visions of Utopia,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HON&crse_numb_in=104,Honors
"This interdisciplinary course will introduce honors students to a single broad topic that will be studied from a variety of perspectives. Emphasis will be placed on integration of material, critical thinking, cooperative learning, and independent research. Students enrolled in this course must have a GPS of 3.3 or higher.Spring 2014-- This course will create a working model for sustainability that is used to develop a map for how to live a sustainable life.Ideas for sustainable living will be coupled with analysis of the green washed market, energy systems, and resource management.Students will be able to identify global sustainability priorities and know how to take action.",HON 105 - Honors Colloquium: Blueprint for a Sustainable Life,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HON&crse_numb_in=105,Honors
"The quest for human happiness is one that matters to most, if not all people. Yet happiness eludes many. This course will explore different perspectives on what counts as happiness, along with how to attain it in the flow of everyday life. Various philosophers, psychologists, writers, spiritual leaders and figures in popular culture will be examined as they engage with the question of how to live a happy life. Students enrolled in this course must have a GPA of 3.3 or higher.",HON 106 - Honors Colloquium: The Philosophy of Happiness,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HON&crse_numb_in=106,Honors
"This team-taught course will explore diversity in sex, gender and sexuality among human societies and cultures, as well as in animal species throughout the natural world.We will examine sociocultural and biological theories in our attempt to understand such issues as sex determination, mate selection, sex roles, gender norms and identities, sexual orientation, and genetics. Students enrolled in this course must have a GPA of 3.3 or higher.","HON 107 - Honors Colloquium Nature's Rainbow: Sex, Gender and Genes",,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HON&crse_numb_in=107,Honors
Proposed Course Description:800 Character Limit This team-taught course focuses on the history of forensic science viewed through the lens of critical criminal cases.Case studies and hands-on activities will be used to examine how advances in science and criminal investigation have affected our modern approach to forensic science.Students enrolled in this course must have a GPA of 3.3 or higher.,HON 108 - Honors Colloquium Crime Through Time: Critical Cases in Forensic Science,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HON&crse_numb_in=108,Honors
"Through thematically selected works, students in this honors course will study the disciplines that have traditionally been called humanities (literature, film, fine and performing arts, history, religion and philosophy) to advance their quest for values and identity and help them develop a philosophy about what being human means.Enrollment is open to any student with a 3.3+ GPA or Honors Experience students. However, students with a GPA below 3.3 can also take one honors course with a faculty recommendation and permission of the Honors Coordinator.",HON 201 - Honors Humanities,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HON&crse_numb_in=201,Honors
"This course will introduce the student to the global environment in which business is transacted within the hospitality services industry. The course is organized around four major topics: food service, lodging, tourism and management. The major functional areas of business are addressed with focus placed upon the timely issues, diversity, and business challenges within the hospitality industry.",HST 104 - Introduction to Hospitality & Tourism,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HST&crse_numb_in=104,Business
"This course provides a solid foundation for meeting, event, and convention management. The course of study includes an overview of the industry, convention and meeting planning processes, the details essential to successful conventions and meetings, and techniques for reaching target markets. The culmination of the course is the planning, design, and execution of a special event.","HST 209 - Meeting, Event & Conference Management",,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HST&crse_numb_in=209,Business
"Through an examination of the various operational divisions within the lodging industry the student is given a comprehensive organizational overview of the property. All major operational departments will be covered such as rooms, food and beverage management, sales and marketing, housekeeping, engineering, personnel, and convention services.",HST 214 - Hotel Operations & Organizational Management,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HST&crse_numb_in=214,Business
"This management course is designed to introduce the student to standards and procedures that increase the profitability of food and beverage operations in any industry setting through controlling cost and maximizing sales. Emphasis is placed on operating cycle of control, forecasting and budgeting.",HST 215 - Food & Beverage Management,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HST&crse_numb_in=215,Business
"This course familiarizes students with the front office department of the lodging industry. Emphasis is placed on: guestroom availability, reservation processing, guest registration, night audit and checkout procedures through a computerized property management system. The student will focus on all aspects of the unique relationship between the front office and other departments in the hotel.",HST 216 - Front Office Procedures,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HST&crse_numb_in=216,Business
"This course combines practical work experience in the student's chosen hospitality specialty along with weekly hospitality seminars with professional speakers from all areas of the vast hospitality industry. A representative of speakers include practitioners in hotel management, food service management, small business food supplier management, travel agency management, event management, banquet management, human resource management, and the North of Boston Convention and Visitors Bureau and New Hampshire Tourism Bureau. Topics may include: sanitation, hospitality law, hospitality accounting, interpersonal communications, hospitality management, hiring and firing practices, entrepreneurship, current trends in hospitality and the new antiterrorism mandates and how they impact the hospitality industry. The student will also be enrolled in an internship four hours a week in their hospitality specialty.",HST 250 - Seminars & Work Experience in Hospitality,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HST&crse_numb_in=250,Business
"This introduction addresses the history of human services, current trends, policies and practices in the field including prevention and intervention, legal and ethical issues, roles of the human service practitioner, and a beginning understanding of the human service delivery system. These areas will be addressed generically and as they pertain to specific client populations. The National Community Support Skill Standards for human service practitioners are integrated into the content.",HUS 101 - Introduction to Human Services,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HUS&crse_numb_in=101,Human Services
"This course acquaints students with a variety of human service programs and client populations.Site visits to selected community agencies provide an opportunity to learn through observation and experience which will be integrated with classroom lecture, discussion and readings.Substance abuse, mental health, developmental disabilities, child welfare and aging will be among those concerns addressed.The course will look at resource allocation issues, systems and administrative concerns, particularly as they impact service delivery. A minimum grade of C- must be earned in this course.",HUS 103 - Community Resources and Client Populations,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HUS&crse_numb_in=103,Human Services
"This course focuses on the history, philosophy, causes, and treatment of individuals with disabilities through a lifespan. Course content will include legislation, public funding, rights/dignity and citizenship, genetics overview, evaluation, assessment/diagnosis, individual support planning, support systems, enabling individuals with disabilities, and advocacy. National Community Support Skill Standards: Participant Empowerment, Communication, Assessment, Community and Service Networking, and Facilitation of Services.",HUS 105 - Introduction to Disabilities,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=HUS&crse_numb_in=105,Human Services
