department,description,title
Graphic Design,Students engage in an individual research and writing practice that challenges them to analyze and articulate their personal philosophy of design.This capstone course also provides students an opportunity to clarify their professional goals based on their interests in graphic design.Prerequisite: Senior standing.,GRAP404 - Senior Thesis Assignment
Graphic Design,The senior practicum provides an opportunity for students in their final semester of the design program to produce a self-directed capstone project that applies the design theory and studio techniques that they have been developing over the last four years. The practicum project is presented in a Senior Show at the end of their final semester. Prerequisite: Senior standing.,GRAP406 - Senior Practicum Project
Hospitality Management,"This course examines the Hospitality and Tourism industry with emphasis on individual sectors of the industry and their business functions. The infrastructure and interrelationships of lodging, tourism, food service, events, and entertainment organizations are examined. Career opportunities, current operational issues, and emerging trends in the hospitality industry are also explored.",HEM101 - Hospitality Management
Hospitality Management,"This course focuses on components of organizing and executing events. Components such as: sectors of the events industry, Requests for Proposals (RFPs), Banquet Event Orders (BEO's), client management, vendor management and contract negotiations are introduced. This course is hands-on, allowing the student to apply basic skills and techniques for negotiating with suppliers and service contractors. This is a project driven course and includes industry certifications.",HEM102 - Fundamentals of Event Management
Hospitality Management,"This course offers a survey of trends and developments in the hospitality and tourism industry,including a total approach to lodging operations, events management, global tourism, and foodservice establishments. It offers an introduction to the broad fields of travel and tourism. Among thetopics covered are cultural tourism, eco-tourism, sociology of tourism, tourism development, the economic role of tourism demand and tourism marketing.Prerequisite: HEM101",HEM103 - Economic Development & Mgmt in Tourism
Hospitality Management,"Open to all hospitality majors and minors.This course will offer a series of guest lectures by high-level hospitality industry executives covering all phases of management: strategy, marketing, brand management, operations and finance.This will provide you with an opportunity to learn about:Their views of the current and future challenges and opportunities of the hospitality industryThe strategies their organizations will follow to meet these challenges and take advantage of the opportunitiesThe career paths followed by the executivesJob opportunities available for hospitality program interns and graduatesAssignments will include the preparation of questions to be asked of the speakers, background research on speakers and their organizations and summaries of what the speakers have discussed.",HEM108X - Distinguished Hospitality Speaker Series
Hospitality Management,"This course introduces students to field experience, internship and career planning and highlights how students can be more entrepreneurial and business focused as they look to the future. This course is designed to prepare students for the process of acquiring an internship and developing their long-term career goals. Students assess their personal background; practice finding career opportunities through the job search process; develop a cover letter, resume, practice networking and begin developing a portfolio; Additionally, students will participate in mock interviews and demonstrate how to deal with interpersonal situations found in the workplace. This course also focuses on workplace interactions including employee communication, management and leadership, the art of self-marketing, team building, conflict management, problem solving in the workplace and strategies for effective negotiation. Visits with potential employers and participation in networking sessions are a vital component of this course.Prerequisite:HEM 101 or HEM 102 with a C or better.",HEM199 - Field Exp Prep & Prof Development in HEM
Hospitality Management,"This course explores many areas vital to the success of club management including business, finance, food, beverage, facilities, sales, operations, and multiple recreational activities while stressing the supreme importance of customer service quality. By taking this course, HEM students explore a field that covers all aspects of the hospitality industry. We are privileged to be in a great location, close to many of the areas most notable private clubs, which can provide students with employment experience and internship opportunities. Prerequisite: HEM 101.",HEM205 - Private Club Management
Hospitality Management,"This course concentrates on providing an in depth view of the various aspects and departments that fall under what is commonly known as Lodging Management or Lodging Operations. Some of the specific departments this course explores are - Front Office, Housekeeping, Human Resources, Security, Engineering, Maintenance, Food and Beverage, Recreation, and Accounting and Finance. Aside from the various operational procedures utilized, the course also addresses service philosophies, best practices, revenue management, and technology. Prerequisite: HEM 101.",HEM206 - Lodging Management
Hospitality Management,"This course provides students with an introduction to the hospitality management specialization of Resort and Casino Management. Subjects covered include operational infrastructures of resorts and casinos, organizational structures, service in resort and casino environments, securities, technologies, and revenue management and tourism. This course includes guest speakers and field trips. Prerequisite: HEM101.",HEM207 - Resort & Casino Management
Hospitality Management,"This course examines management considerations for the successful operation of a major resort. Emphases is placed on the various departments and how each contributes to the recreation, ancillary and lodging areas including service experiences. This includes recreation development, risk management, visitor education, rental and retail operations, lodging, guest services, and human resources management. Students will learn how each of these departments function, along with the many skills required to address the issues and challenges faced in everyday operations. Course assignments focus on human resources operations, industry regulations and certification, risk management, guest service, and dealing with seasonality. These particular areas are studied in relation to resorts of different sizes and scales from all over the world so that comparisons can be made regarding different management and operational procedures, regulations, and guest expectations. Prerequisite: HEM 207 with a C or better.",HEM208 - Human Resources in Hospitality
Hospitality Management,"Students in this course will study materials and case studies related to specific components of major casino markets as well as take part in both a day-long visit to the limited casino market in Connecticut and a 4-5 day site visit to Las Vegas during the colleges spring recess. The course will provide students who are interested specifically in the resort and casino segment of the hospitality industry direct exposure to the industry in the countrys largest casino market. Focus will be placed on current issues and events affecting the industry and, in particular, the companies that will be visited during the site visits. Students will study and meet with executives from different resort and casino departments at major resort/casino operations including Slots and Table Games Operations, Human Resources, Marketing, Security, Surveillance, Food and Beverage, and more.Prerequisite: HEM 207 with a C or better.",HEM209 - Expl of the Las Vegas Casino Industry
Hospitality Management,"n this course, students examine the position of hospitality in the global market place. The course explores factors influencing the global environment and the contemporary struggle for economic/political power between world regions and the impact on the hospitality industry. The role and significance of hospitality multinationals in light of the current trend of sustainability is analyzed. In addition, the global drivers and industry strategies affecting multinationals are explored. Finally, students analyze the role of culture and its impact on different management styles in an international industry. Prerequisite: HEM 101 or HEM 102 with a C or better.",HEM213 - Global Issues in Hospitality
Hospitality Management,"Ecotourism promotes cultural and environmental awareness and has local, environmental and economic benefits. This course introduces students to the history, principles, marketing, and management of ecotourism activities and development.The course takes a holistic approach to planning and tourism development and standard industry practices and processes are discussed. Students enrolled in this course participate in an educational trip to Belize to view, research, and participate in a newly developing ecotourism system. Students must apply and be selected and may only register with the permission of the Ecotourism Program Director.",HEM214 - Ecotourism
Hospitality Management,"This course provides an overview of conference planning and group coordination as it relates to the sale and final contract. Students become familiar with Meetings, Expositions, Events, and Conventions (MEEC), destination specialists, negotiating with suppliers and service contractors, meeting budgets, travel planners, and their place of importance within the industry. Site evaluations are analyzed as they relate to group needs. Emphasis is placed on the development of a group resume agendas, analyses of service options, and contractual and legal liability issues. Prerequisite: HEM 102 with a C or better.",HEM215 - Meeting & Convention Sales & Planning
Hospitality Management,"This course provides a supervised work experience in the hospitality or event management industry as a complement to academic coursework. Students earn 150 hours in the field, gain practical skills in a business environment, and begin to view the workplace from a management perspective. During the course of the field experience, students keep a personal reflective journal of critical incidents. In addition, they complete a detailed profile of the management systems and policies at their workplace for submission at the end of the field experience. Students participate in weekly discussion groups during the course of the semester to evaluate and compare their experiences. Prerequisites: HEM 101.",HEM299 - Field Experience I
Hospitality Management,"This course explores the complex area of special and social event planning, including non-profit, community, corporate, wedding, religious, holiday, and other major social events. The course provides students with a basis for using research as a tool to plan and organize special events. The class works toward understanding, practicing, and executing the elements of successful event planning such as budgeting, site-selection, food and beverage management, promotions, and site logistics. This is a project-based course and requires the execution of a successful event. Prerequisite: HEM 102 with a C or better.",HEM301 - Social Event Management
Hospitality Management,"This course is designed to give an in-depth overview of the regulatory, legal, and security aspects of the casino industry including federal and local gaming laws and regulations, difficulties and liabilities surrounding those regulations, casino cage operations, surveillance operations, and security technologies. Prerequisite: HEM 207.",HEM302 - Casino Regulation & Security
Hospitality Management,"This course provides a study of the nature and function of both legal and ethical issues as applied to the hospitality industry. Topics include operator relationships, contract law, torts, civil rights, wage and labor laws, gaming laws, property law, and insurable risks. This course also examines ethical issues in the hospitality industry. Prerequisite: HEM101 and BUSS 336.",HEM303 - Law & Ethics in Hospitality
Hospitality Management,"This course examines management considerations for the successful operation of a major resort. Emphases is placed on the various departments and how each contributes to the recreation, ancillary and lodging areas including service experiences. This includes recreation development, risk management, visitor education, rental and retail operations, lodging, guest services, and human resources management. Students will learn how each of these departments function, along with the many skills required to address the issues and challenges faced in everyday operations. Course assignments focus on human resources operations, industry regulations and certification, risk management, guest service, and dealing with seasonality. These particular areas are studied in relation to resorts of different sizes and scales from all over the world so that comparisons can be made regarding different management and operational procedures, regulations, and guest expectations. Prerequisite: HEM 207 with a C or better.",HEM305 - Resort Management & Development
Hospitality Management,"This course explores principles of executive casino operations as it relates to technology, as well as providing hands-on opportunities for students to both observe and work within real programs including, but not limited to, casino operations business assessments, casino floor operations financial integrations, pit and floor statistics analysis, casino credit authorizer development, cage operations management software, casino accounting programs, table games accounting audits, currency transaction reporting, and surveillance technology. Students must be 21 years of age by April 1st of the year the course is running in order to enroll.Prerequisite: HEM 207 with a C or better and Permission of the Instructor.",HEM307 - Tech for Resort & Casino Management
Hospitality Management,"In this course, students examine the position of hospitality in the global market place. The course explores factors influencing the global environment and the contemporary struggle for economic/political power between world regions and the impact on the hospitality industry. The role and significance of hospitality multinationals in light of the current trend of sustainability is analyzed. In addition, the global drivers and industry strategies affecting multinationals are explored. Finally, students analyze the role of culture and its impact on different management styles in an international industry. Prerequisite: HEM 101.",HEM312 - Global Issues in Hospitality
Hospitality Management,"This course provides an advanced overview of the revenue management function in the hospitality industry. Revenue management is a method for managing capacity profitably. This course offers an integrated approach to maximizing revenue that includes capacity analysis, demand forecasting, variable pricing, and distribution technology. The objective of this course is to help students learn how to apply the principles of revenue management to maximize profitability in the hospitality industry. Topics to be covered include forecasting, overbooking, reservations systems, information technology, process design, pricing, and management and marketing issues. Prerequisite: HEM206 & BUSS 201.",HEM321 - Revenue Management & Technology
Hospitality Management,"This course provides an additional supervised work experience in the hospitality or event management industry as a complement to academic coursework. Students earn 150 hours in the field, gain practical skills in a business environment, and begin to view the workplace from a management perspective. During the course of the field experience, students keep a personal reflective journal of critical incidents. In addition, studentscomplete a detailed profile of the management systems and policies at their workplace for submission at the end of the field experience. Students participate in weekly discussion groups during the course of the semester to evaluate and compare their experiences. Students must have permission of the Program Director. Prerequisites:HEM 299.",HEM399 - Field Experience II
Hospitality Management,This course explores the application of customer service quality as well as management theories and techniques in the hospitality industry with a focus on organizational effectiveness. Case studies and major projects with real hospitality companies facilitate students synthesis of previous knowledge with the principles of service quality and excellence.This is a research project driven course.Prerequisites: BUSS 224 & MATH 208.,HEM401 - Managing Quality in Hospitality
Hospitality Management,"This course provides students with an advanced look into the hospitality management specialization of Resort and Casino Management. Students learn advanced strategic management skills and theory as they relate to both resorts and casinos. Key topics include how to responsibly overcome common challenges in the industry, managerial and human resource challenges, marketing strategies, labor laws and disputes, operations strategies, and resort realestate development and planning. The goal of this course is to aid students in developing decision-making, financial, and strategic management skills appropriate for careers in the casino and resort industries. Students develop an advanced understanding of the stakeholders and industry practices necessary for success in managerial and executive positions. Prerequisite: HEM 207.",HEM402 - Casino & Gaming Operations
Hospitality Management,"This course examines the details of food and beverage management, with an emphasis on running a profitable operation and understanding basic menu and beverage detail. It examines the impact of menu planning, purchasing, receiving, inventory control, production, pairing and service to the guest. Students apply commonly-used formulas and strategies for calculating appropriate selling prices and evaluating actual cost percentages. Special attention is paid to the use of management systems and tools to help minimize food, beverage and labor costs, to ensure collection of revenue, and ultimately to maximize profits. Topics include purchasing, safe-serving, receiving, storage, production, beverage management and appreciation, beverage service and cost control. The course also explores basic culinary and beverage menu building and appreciation topics. Case studies are incorporated into class discussions. Students must be 21 years of age prior to April 1st of the course year to register.Prerequisites: HEM 101 or HEM 102 with a C or better and Permission of the Instructor.",HEM403 - Food & Beverage Management
Hospitality Management,"This class covers an in-depth study of Hotel Franchising & Brand Management, particularly focusing of key advantages & disadvantage of franchising, evaluation of hotel brands & their fees, growth strategies, entry into new global markets, importance of franchisor & franchisee relationships, franchise & management contracts, & key in-sights of brand management in the hotel industry.",HEM405 - Hotel Franchising & Brand Management
Hospitality Management,"Open only to seniors in Hospitality Management, Event Management, and Resort and Casino Management. This course is designed to allow a limited number of students to interact with Distinguished Hospitality Speakers in an informal, intimate setting. This offers a unique networking opportunity with high-level industry executives. Students complete assignments related to the week's speakers, their company backgrounds, opportunities available, the current industry climate and are given one-on-one interviews and project time with the industry executives. Prerequisite: Senior Standing.",HEM408X - Seminar w/Distinguished Hosp Speakers
Hospitality Management,"This is a capstone course in Hospitality and Event Management that focuses on strategic operational methods within the industry. Theoretical strategies are explored through a variety of readings, case studies, and class discussions. Students complete an applied research or practicum project in an area related to their specific hospitality focus, current trends in the industry and career interests. This is a writing intensive course. Prerequisite: Senior standing.",HEM496 - Hospitality Operations Capstone
Hospitality Management,Hospitality and Event Management students are involved in practical on-the-job experience (250 contact hours) in a professional environment. Each student develops a learning contract with the site supervisor and faculty member that includes an internship-related project. Evaluation of the internship experience is based on performance of the student as reviewed with the employer and faculty member. Prerequisites: HEM 299,HEM499 - Internship
History,"Beginning with prehistory, this course explores early civilizations and then follows developments in a global context, showing interconnections between Asia, Africa, and Europe.Emphasis is placed on cultural, social, economic, religious, and political developments.",HIST103 - World Civilization I
History,"This Knowledge Perspective course will provide students with the opportunity to interpret and analyze the complex interrelationships and inequities in human societies in a global historical context.Emphasizing the interrelatedness and mutuality of influence between East and West, we examine questions of exclusiveness, intolerance, and cooperation.Prerequisite:ENG101.",HIST104 - World Civilization II (KP)
History,"This course surveys the complicated history of human rights from its origins to the modern era.Emphasis is on the historical forces, movements, and events, especially in the last three centuries, that have moved this concept from the realm of intellectual theory and conjecture to practical implementation and application.This course may also touch on some of the major philosophical, ethical, and moral questions intertwined with human rights.",HIST105 - History of Human Rights
History,"This course examines the chief political, social, and cultural features of American society as they have developed through the period of Reconstruction. Emphasis is on Colonial America, the War of Independence, the Constitution, and the emergence of the Republic through the Civil War.",HIST123 - American Civilization I
History,"This course is a continuation of HIST 123 from the period of Reconstruction to the present. Emphasis is on reconstruction, industrialization, immigration, constitutional issues, and the emergence of American foreign policy. There is some examination of American political life in the nuclear age.",HIST124 - American Civilization II
History,"This course explores the social history of women in the United States, beginning in the colonial period and ending with an examination of twentieth-century issues. Emphasis is on the image of women held during these periods, in contrast to actual conditions. Contributions of women to social change and the growth of womens movements are also analyzed. Prerequisite: a 100-level history course or ENG 102.",HIST203 - The History of Women in U.S.
History,"This course focuses on the presidencies from the Kennedy era to the present.Work is divided roughly into three areas:foreign affairs; domestic politics; and economic, social, and cultural needs.Topics range from the Vietnam War to the Iraq War, the weakening of Congress and the expansion of the presidency, the women's movement, changes in popular culture, and domestic economic developments.Prerequisite:a 100-level history course or ENG 102.",HIST204 - Recent American History
History,"This course explores the history of African Americans in the United States from their African beginnings to the present.It traces the lives and status of African Americans, enslaved and emancipated, as they confronted the barriers of legal, institutional, and cultural prejudices; it examines the socioeconomic and political experiences of blacks in America and investigates strategies of accommodation, resistance, and protest in the struggle of African Americans to gain human and first-class citizenship rights.This is a writing-intensive course.Prerequisite:a 100-level history course or ENG 102.",HIST207 - African American History
History,"This survey of sub-Saharan African history explores the ongoing story of African political, social, and economic developments from the post-transatlantic slave trade period to the present. The course considers the impact of European merchants, missionaries, and adventurers on Africa from the time immediately preceding imperialism and colonialism up through the emergence of nationalism and the decolonization and liberation movements. The new nation-states, their postcolonial economies, and their developing systems of justice, education, and rule are investigated. Finally, topics such as soil erosion, disease, conservation, famine, and Africas relationships with the wider world are discussed. Prerequisite: a 100-level history course or ENG 102.",HIST208 - Sub-Saharan Africa after 1800
History,"This course is a survey of modern Chinese history from the founding of the Qing Dynasty in the seventeenth century to Deng Xiaoping's economic reforms of the 1990s.Special attention will be paid to modernization, Western and Japanese imperialism in China, and the rise of Communism under Mao Zedong.In addition to learning about important milestones in Chinese history, students will be introduced to aspects of Chinese art, culture, and women's issues through primary sources translated into English.This is a writing-intensive course.Prerequisite:a 100-level history course or ENG 102.",HIST209 - China from 1600 to Present
History,"This survey looks at Latin American history from pre-Colombian to contemporary times. Emphasis is on native cultures, the discovery of the New World, European presence, colonialism, imperialism, the creation of the peasantry, wars of independence, the formation of nation-states, the role of the military, slavery and racism, development and underdevelopment, the Catholic Church, liberation theology, poverty, and revolution. Major emphasis in South America is on Argentina, Colombia, Peru, Chile, Venezuela, and the Portuguese-speaking nation of Brazil. The course also examines foreign intervention and inner instability in Mexico, including struggles for democracy, economic rights, and social justice. In the Hispanic Caribbean and Central America, especially with regard to Cuba, Puerto Rico, Dominican Republic, Guatemala, Belize, Costa Rica, Nicaragua, and Panama, land and labor systems, gender relations, race and ethnicity, and varied forms of rule are discussed. This is a writing-intensive course. Prerequisite: a 100-level history course or ENG 102.",HIST210 - Latin Amer Colonial Period to Present
History,"This course looks at the Middle East and its relations with the wider world, from the appearance of Napoleon to the present.Topics include attempts at reform and modernization in the Ottoman Empire; the impact of Western imperialism on the region as a whole; and twentieth-century developments in the area, including nationalism, pan-Arabism, pan-Islamism, the cult of the personality, coup, revolution, Zionism, and the Palestinian-Israeli confrontation.The economic and social impact of oil, the influence of fundamentalism, and the Great Power rivalry down through the position of the United States toward the area are investigated.The efforts of Iran to gain acceptance in/by the contemporary world are examined, as is the shifting attitude of Egypt toward modernity.Finally, connections between the region and the rest of the Islamic world are explored.This is a writing-intensive course.Prerequisite:a 100-level history course or ENG 102.",HIST211 - Middle East & Islamic World Since 1800
History,"This course is a survey of Japan's modernization from the fall of the warring states period to the economic bubble of the 1980s.Special attention will be paid to the contributions of the early modern Tokugawa Shogunate, the Meiji period of cultural borrowing from the West, and the cultural nationalism of the Japanese empire until 1945.In addition to learning about important milestones in Japanese history, students will be introduced to aspects of Japanese art and culture through a variety of primary and secondary sources and film clips.This is a presentation-intensive course.Prerequisite:a 100-level history course or ENG 102.",HIST212 - Mod Japan: Culture & History
History,"This course introduces students to the ways in which cultural ideas about childhood and childrearing have changed over time.Using Western history as a departure point, the course will compare and contrast key topics of childhood, such as child labor and child rights, in various cultures.This is primarily a discussion seminar, in which students present and discuss a variety of academic readings.There is also a service-learning component.This is a presentation-intensive course.Prerequisite:HIST 103, HIST 104, HIST 123, HIST 124, or permission of instructor.",HIST218 - Global History of Childhood
History,"In this course, a single topic in history is explored for the entire semester. Possible topics include Islamic civilization, India in the twentieth century, nationalism and imperialism in the last two centuries, United States and the world in the twentieth century, and the African American in the development of the United States. This course may be repeated for credit, as different special topics are offered. Prerequisite: 100-level history course or ENG102 with a C or better",HIST223 - Special Topics in History
History,"Satisfy either your Historical (AI(H)) or Psychological and Societal (AI(PS)) Areas of Inquiry through this interdisciplinary team-taught course. As Ebola has popped up in the U.S., Americans have expressed concern and governmental agencies have reacted accordingly. Once again, as has happened in the past, people are increasingly demanding that more be done. Is this reaction a logical one to a potentially fatal illness or is this a manifestation of Western privilege objecting not to the illness, but to its presence at home? Using case studies of, for instance, the international reactions to epidemics in the past and present, students will explore the ways in which privilege has historically been constructed and the ways in which it impacts societal relations related to health issues.Students will take an inquiry-based approach to these case studies as they come to better understand the societal and psychological factors as well as the historical ones underlying power and privilege.",HIST228X - How Privileged are You?
History,"This course provides an analysis of many types, facets, and styles of revolution, including political, cultural, and scientific meanings of the concept. The readings are taken from literature as well as from history and the social sciences. Prerequisite: a 100-level history course or ENG 102.",HIST231 - Revolutions & Revolutionary Thought
History,"In this course, a single topic in history is explored at a level appropriate for the serious and experienced history student. Possible topics in this advanced course include microhistory, gender in African history, and European intellectual history. This course may be repeated for credit, as different special topics are offered. Prerequisite: A 200-level history course or instructor permission.",HIST323 - Special Topics in History
History,"This seminar traces the roots of modern Western thought from ancient Greece through the Enlightenment by discussing and analyzing selections from the writings of major European thinkers. The seminar focuses on dominant figures representative of an historical epoch and examines their ideas in light of existing and future political, social, economic, and intellectual developments. Prerequisite: a 200-level history course or permission of instructor.",HIST325 - The Intellectual Origins of Western Civ
History,"This course examines political, economic, social, scientific, and religious developments that contributed to European desire for land and power, and also to fantasies and phobias directed by European conquerors toward those whom they subdued and subjected to Western rule. The reaction toward the white Westerners on the part of those exploited is also explored. The period covered is from the mid-fifteenth century through the eighteenth century. Prerequisite: a 200-level history course or permission of instructor.",HIST330 - Europe & The World/ Age of Expansion
History,The first half of this course examines selective theories of history from Herodotus through Braudel.The second part investigates the historiography of a single topic according to student interest.Readings are selected to introduce the student to interpretive issues surrounding the selected topic.The perspectives of several practicing historians are considered.Students write a research paper.This course is intended for history majors and as a capstone course for history minors; it is open to others who have successfully completed at least three history courses and have the permission of the instructor.This is a writing-intensive course.Prerequisite:a 200-level history course and permission of instructor.,HIST352 - Nature & Meaning of History
History,"This course will serve as the first semester of a two-semester individualized history capstone sequence. Students will work closely on an individual basis with a full-time faculty member, meeting weekly to define a topic for in-depth examination through reading, research, and writing. Reading and research will begin during HIST 400 and will continue during the following semester in HIST 401. Students must complete HIST 400 before enrolling in HIST 401. Prerequisite: Junior or Senior standing and HIST 352 (can be taken concurrently).",HIST400 - Individual Seminar in Reading & Research
History,"This capstone course focuses on research methodology and practice in history.The student must gain the written agreement of the faculty member who oversees the project.Each student defines a topic by the end of the first week of the semester.Subsequent weekly meetings address progress and problems encountered in research of the topic.The finished product is a substantial paper (ca. 30 pages) with full scholarly apparatus.Prerequisite: Junior or Senior standing, HIST 352, and HIST 400.",HIST401 - Tutorial in History
Honors,"This course is interdisciplinary, cross-cultural, and geared toward debate and dialogue.Students explore unexpected topics and learn to analyze from a variety of perspectives including race, class, gender, and sexuality. The course is designed to further develop students' critical thinking, writing, and oral presentation skills.It also connects first year students to a larger, intellectually curious community through special events.Topics vary widely but connect to contemporary questions and problems.The course offers a seminar discussion led by College President Michael Alexander.Past topics have included: cultural notions of bodies and body art; graphic novels; sex and death; telling life stories; truth, terror, love, and lies; and uses and abuses of science and technology.Honors 101 substitutes for First Year Seminar, which is required of all students not eligible for HON101.Restricted to Honors Program students only.",HON101 - Honors Colloquium
Honors,"This course uses community-based service learning to examine issues of social justice in order to develop critical, capable, and ethical leaders and team-builders. Students explore obstacles, challenges, and failures of leadership as well as models for success.With the aim 1) to differentiate service learning from voluntary service, and 2) to promote leadership, social justice, and real world problem-solving among students, service activities are supported and analyzed through reading, writing, and discussion. Prerequisite: HON101 or permission from Honors Program Director",HON205 - Honors Seminar
Honors,"HON 299XIndependent Component WorkshopFinally! Do you dream of doing an Honors Component that is not attached to one of your semester courses? Have an idea, a passion, a project? Something that will deepen your knowledge or build professional skills, something you need to research whether that research takes traditional or non-traditional forms? This new Independent Component workshop aims to provide workshop structure to that dream so you can collaborate with others, share your enthusiasms and your work and get the guidance you need. Register now with an idea and we will frame it and connect to faculty mentors in the first three weeks of the term.",HON299X - Independent Component Workshop
Honors,"This course guides student research on challenging, provocative, and multi-dimensional topics.The course takes seminar form, using debate, dialogue, reading, writing, and individualized research to develop the student's interdisciplinary perspectives, moral and cultural understanding, and problem-solving skills.Topics vary widely.Past courses have included:HIV/AIDS in America;The Wire: Intersections of Class, Power, Crime, and Choice;Sextopia; The Postcolonial World; Bioethics; Revolutions and Revolutionary Thought;Women and Beauty.Most courses fulfill either a Multicultural, Moral/Ethical or Aesthetic area of inquiry.Prerequisites: Junior standing, HON101, HON205, or permission from Honors Program Director.",HON305 - Honors Sem II:Interdisciplinary Topics
Honors,"This course occurs fall term only and is required for all Honors Program graduates.It brings senior students together across majors to critically discuss and evaluate their academic and personal development.Students engage in critical reflection on the education they have had and the men and women they have become.They work to present a clear, concise statement of who they are, what they have been able to accomplish, and a sense of how they want to develop from here.Students meet weekly and help each other create a retrospective understanding of the value and significance of each of their individualized Honors Components, their interdisciplinary Honors Courses, and their major course of study.Students discuss, present, and develop team projects and goals for their futures. Prerequisites: Senior standing, all Honors core courses must be completed, or permission from Honors Program Director.",HON401 - Honors Capstone Seminar
Human Services,"This course encourages an examination of ones own value system, motivations and interests in relation to the wish to pursue a career working with people.Students are introduced to the history and development of the field:the concept of the social welfare system; resources and services offered by a range of community agencies; a model to understand social and psychological problems; and interventions to address social needs interventions range from individual case management and counseling to community organizing and planning.The course highlights a social justice basis for human service work.A service learning requirement enables students to examine their interests and apply the concepts learned in class.",HS101 - Human Services: Systems & Skills
Human Services,"This course explores the many systems and agencies involved in providing social services. The course brings in guest speakers from several agencies, the Court Clinic, and includes field trips to a Court House, Hospital, and other settings. 1 credit. Pre-requisite: PSYC101, SOC101 or CJ101",HS103 - Navigating Human Service Systems
Human Services,"Trauma is one of the most powerful categories that we use to understand suffering.This one category encompasses responses to widely diverse experiences, from war and terrorism, to natural disasters, to physical and sexual abuse.Trauma and recovery help us make sense of experiences that may seem unbearable.The shared suffering that sometimes arises from trauma can be a powerful basis for identity and/or a source of marginalized and erased histories.In this way, way trauma helps us frame how we understand our own experiences, and how we recognize the pain of others.This class will examine the following:The genealogy of psychological trauma as a medical and lay categoryThe relationship between biological and behavioral responses and social and medical framingsThe links between embodied, psychic, emotional, and cultural dimensions of traumaTrauma diagnosis in war, humanitarian and cross-cultural settingsCollective trauma, memory and memorializationAlternative ways of talking about feeling, suffering, and memorTrauma therapies and interviewingPrerequisites:PSYC101 or SOC101",HS203X - Trauma and Recovery
Human Services,"This course introduces students to interviewing skills used by counselors and case managers and to the types of counselor responses that can be effective in human services work.Students learn to assess clients and interventions at the micro, meso and macro levels and explore issues of professional ethics and values. Students also examine cultural contexts as they impact the client, counselor, and client-counselor relationship. Some of the contexts may include race, class, ethnicity, religion, sexual orientation, gender, and immigration status. The course relies heavily on in-class exercises. Prerequisites: PSYC 101, HS 101 with a C or better.",HS210 - Case Management & Counseling
Human Services,This internship provides human service students the opportunity to experience field work. Training in the skills by which students can offer direct and indirect assistance to the client population is provided. Prerequisites:HS 210 with a grade of C or better; and permission of Internship Coordinator. Corequisite: HS 217.,HS215 - Foundation Internship
Human Services,"This seminar is taken concurrently with the Foundation Internship (HS 215). The seminar provides a forum for discussing common human service experiences, including pathways to professional careers and practice related issues, and includes an introduction to ethical issues such as confidentiality and privacy in the context of an examination of ethical dilemmas. It also gives students an opportunity to build skills necessary to offer direct and indirect assistance to clients at internship sites. Students review professional and research literatures in relation to a topic connected to the internship experience. This is a writing intensive course.Prerequisite: HS 210 with a grade of C or better; and permission of the Internship Coordinator required. Co-requisite: HS 215.",HS217 - Foundations of Ethical Fieldwork
Human Services,"Seniors who have met program requirements spend 125 hours in an approved supervised internship. Prerequisites: HS 215, HS 217, with a grade of C or better; and permission of the Internship Coordinator; Co-requisite: HS 417.",HS415 - Advanced Internship I
Human Services,"This seminar is taken concurrently with Advanced Internship I (HS 415). Students integrate theory learned throughout their college career with their fieldwork experience. The seminar further develops professional behaviors such as record keeping, creating and maintaining supervisory relationships, conflict resolution, and job effectiveness. Students are also offered an opportunity to analyze cases and tasks assigned to them in their field placements, providing a theoretical framework for understanding them. There is an intensive examination of the ethical considerations involved in working with clients. Students identify and develop a research topic and conduct an extensive review of current literature on a topic related to their internship. This is a writing intensive course. Prerequisites: HS 215, HS 217 with a grade of C or better, and permission of the Internship Coordinator; Co-requisite: HS 415.",HS417 - Field Intervention Strategies
Human Services,This seminar is a continuation of HS 415. Students spend 125 hours working in an approved supervised field site. Prerequisite: HS 415 with a grade of C or better; Co-requisite: HS 427.,HS425 - Advanced Internship II
Human Services,"This capstone seminar is a continuation of Field Intervention Strategies (HS417) and is taken concurrently with Advanced Internship II (HS425). Building on knowledge and skills gained throughout the Social Sciences program, students continue to integrate theory with practice through seminar discussion and internship-related experiences. There is an increased focus on the delivery of services, examination of ethical dilemmas, and analysis of the broader systems in which services are delivered and policies are formulated. Students also have an opportunity to explore career development issues through examination of the graduate school and employment processes. This course has been designated as a writing intensive course and also has a strong public speaking component. Prerequisites: HS 415, HS 417 with a grade of C or better; and either PSYC 331 or SOC 331. Corequisite: HS 425.",HS427 - Systems & Organizational Change
