category,course,credits,description,title
Languages (Lan),LAN 211,3 credits,"This course emphasizes active review of skill development in Spanish grammatical structure through speaking, understanding, writing, and reading short stories and literary excerpts in Spanish. Prerequisites: Spanish II (LAN 112) or Placement",Spanish Iii
Mathematics (Mat),MAT 087,4 credits,"Basic Mathematics with Lab: topics include arithmetic operations with whole numbers, decimals and fractions; ratios and proportions; rates; percentage notation and applications of percentages in sales tax, interest, commissions, and discounts; determining numerical averages and medians; exponents and square roots; measures, including the metric and decimal systems; and geometry. Students may complete this course during the first three weeks of the semester by passing the MyMathLab modules. Students may then transfer to a MAT 088-Intro Algebra with Lab course in the same time slot. This course does not satisfy degree requirements.",Basic Math With Mymathlab
Mathematics (Mat),MAT 088,4 credits,"This course is a continuation of MAT087, Basic Mathematics. Topics include signed numbers, decimal numbers, exponential notation, scientific notation, solving and graphing linear equations, an introduction to polynomials, and systems of linear equations and their graphs. Geometrical topics include lines and angles, closed curves and convex polygons, triangles and similarities, and symmetry and proportion in nature and art. Students may complete this course during the first three weeks of the semester by passing the MyMathLab modules. Students will then be eligible to take either MAT 099 Intermediate Algebra, MAT 114-Quantitative Reasoning or MAT 120-Intro to Statistics the following semester. This course does not satisfy degree requirements. Prerequisites: Basic Math (MAT 087), Placement or Completion of the Mymathlab Modules for Basic Math (MAT 087) by the end ofthe third week of the semester.",Introduction To Algebra With Mymathlab
Mathematics (Mat),MAT 099,3 credits,"This course is designed for students who want to continue the study of algebra. Topics in this course include polynomial arithmetic, factoring, roots and radicals, quadratic equations and the quadratic formula, and solving word problems. Students may complete this course during the first three weeks of the semester by passing the MyMathLab modules. Students will then be eligible to take any college-level Math course the following semester, including MAT 103-Pre-Calculus. This course does not satisfy degree requirements. Prerequisites: Introductory Algebra (MAT 088); Placement",Intermediate Algebra With Mymathlab
Mathematics (Mat),MAT 103,4 credits,"Pre-Calculus is a preparatory course for calculus. It builds upon intermediate level of algebra and makes intensive use of technology to conceptualize functions and methods of function manipulation with emphasis on quantitative change. Topics include a library of functions (linear, quadratic, exponential, logarithmic, polynomial, rational and trigonometric), transformations, compositions, inverses and combinations of functions and solving triangles. This course requires use of technology that is equal or better than TI83 graphing calculator. Prerequisites: Intermediate Algebra (MAT 099); Placement",Pre-Calculus
Mathematics (Mat),MAT 111,3 credits,"This is a college-level course in the mathematics needed in the modern laboratory. Topics include scientific notation and logarithms, ratios and proportions, density and unit conversions, dilution and concentration, linear and exponential graphs, data analysis and experimental design. Prerequisites: Biomanufacturing (SCI 206) Concurrent",Mathematics For Technology
Mathematics (Mat),MAT 114,3 credits,"This course covers the basic algebra and technological tools used in the social, physical and life sciences to analyze quantitative information. The emphasis is on real world, open-ended problems that involve reading, writing, calculating, synthesizing and clearly reporting results. Topics include descriptive statistics, linear models and exponential models. Technology used in the course includes computers (Excel spreadsheets, Internet) and graphing calculators. Prerequisites: Introductory Algebra (MAT 088) or Placement",Quantitative Reasoning
Mathematics (Mat),MAT 120,3 credits,"Introductory Statistics is a non-calculus-based, descriptive statistics course with applications. Topics include methods of collecting, organizing, and interpreting data; measures of central tendency, position, and variability for grouped and ungrouped data; frequency distributions and their graphical representations; introduction to probability theory, standard normal distribution, and areas under the curve. Prerequisites: Introductory Algebra (MAT 088); Placement",Introduction To Statistics
Mathematics (Mat),MAT 201,4 credits,"This course provides an introduction to the concepts of limits, definition of the, differentiation of algebraic functions, rules of differentiation, implicit differentiation, applications of derivative to physics and economics, Newton",Calculus I (W/Applc)
Mathematics (Mat),MAT 203,4 credits,"A continuation of MAT201. Topics include the definition of the integral as a Riemann sum, the Fundamental Theorem of Calculus, area of a region between two curves, volumes of revolution by disk and shell methods, other applications of integration, Simpson's and Trapezoidal Rules for areas, integration by parts, integration by tables, and improper integrals. Prerequisites: Calculus I (W/Applc) (MAT 201)",Calculus Ii (W/Appl)
Mathematics (Mat),MAT 204,1 credits,This course is a brief introduction to sequences and infinite series. We begin with a discussion of power series and develop tests for convergence and non-convergence. Taylor series are introduced and lead to an analysis of power series in general. This is a 1-credit course that can be taken anytime after the student has completed Calculus I.,Calculus Sequences & Series
Mathematics (Mat),MAT 205,4 credits,"A continuation of MAT203. Course topics include solid analytic geometry, partial differentiation, implicit function theory, polar coordinates, multiple integrals, and convergence of infinite series. Prerequisites: Calculus II (W/Appl) (MAT 203)",Calculus Iii (W/Appl)
Mathematics (Mat),MAT 225,4 credits,"This course studies the duality between the world of matrices used to solve linear equations and linear mappings of vector spaces. Topics include matrix algebra, Gaussian elimination, and determinants. Finite dimension vector spaces will be introduced and bases and linear transformations will be explored. The dot product in N-dimensional space will lead to a discussion of orthogonality and eigenvalues.",Linear Algebra
Office Technology (Oft),OFT 101,3 credits,"Designed for students with little or no previous typewriting experience, this course focuses on developing correct typewriting techniques, accuracy, and speed. Emphasis will be given to developing proficiency in centering, setting tabulations, and typing a variety of materials, including memoranda and business letters.",Keyboarding I
Office Technology (Oft),OFT 102,3 credits,"This course is a continuation of Keyboarding I. Students will focus on production typing of letters, memos, reports, memoranda, forms, etc. Through drill and practice, students will perfect their stroking techniques with improved speed and accuracy. Emphasis is given to correct preparation and production of materials typically found in an office environment.Prerequisites: Keyboarding I (OFT 101)",Keyboarding Ii
Office Technology (Oft),OFT 152,3 credits,"Word processing with Microsoft Word is a hands-on course in which students will complete basic and advanced word processing tasks using Microsoft Word software. The course begins with easy word processing functions and proceeds to the more advanced functions step-by-step. This course will help the students take advantage of MS Word's time-saving formatting functions, as well as give the student a solid introduction to desktop publishing. Students will learn to use MS Word's glossary and style sheets.",Word_Processing_With_Microsoft Word
Office Technology (Oft),OFT 240,3 credits,"This course is designed to provide Medical Office Administrative Assistant students with the knowledge and skills required to perform effectively the duties and responsibilities maintaining accurate medical records. Students will learn to input patient information, schedule appointments, and handle billing. In addition, they will produce various lists and reports and learn to handle insurance claims both on paper forms and electronically.",Medical Records Management
Office Technology (Oft),OFT 241,3 credits,"This course is a study of business and office procedures, careers, practices, and responsibilities. Students will develop and refine office skills by working independently on job simulations and other related assignments that will reinforce their typing, word processing, proofreading, business communications, and filing skills. Prerequisites: English Composition I (ENG 101); Keyboarding II (OFT 102)",Office Procedures
Office Technology (Oft),OFT 242,3 credits,This course is a study of medical office procedures and responsibilities. Students will develop and refine medical office skills by working independently on job simulations and other related assignments. Emphasis will be placed on the ability to cope with a variety of realistic problems and pressures. Prerequisites: 60 wpm typing speed,Medical Coding
Office Technology (Oft),OFT 252,3 credits,"Students will learn the basics of desktop publishing by completing assignments with an instructor's help. Projects will include newsletters, legal and medical documents, scientific and mathematical formulas and equations. Business applications will include accounting, marketing, and managerial statements. Font selection, size, and layout will be emphasized to help students produce more readable documents.",Desktop Publishing
Office Technology (Oft),OFT 260,3 credits,"This course is designed to focus on issues that influence patient payment in the medical office. The topics covered will include personal and billing information acquisition and input using industry-standard software and HIPAA Guidelines. Special emphasis will be given to understanding the various types of health insurance, information requirements, billing requirements and benefits of each. Prerequisites: English Composition I (ENG 101), Human Biology and Medical Terminology (SCI 109), Medical Office Administration (OFT 240), Co-requisites: Wireless Networking (IST 141)",Patient Financial Counseling
Office Technology (Oft),OFT 298,3 credits,"This three-credit course is offered during the fall and spring semesters. It is designed for students to gain hands-on experience a resume builder and an opportunity to network. Students will develop a resume, cover letter and references prior to placement. Students will meet with the Internship Coordinator and an Assigned Internship Faculty Advisor from their program of study during the course of the semester to monitor the interns",Office Technology Internship
Paralegal Studies (Pls),PLS 100,3 Credits,"This course is designed as an introduction to the American legal system for paralegal students. It provides the foundation for additional study in the law through the introduction to criminal law and such areas of civil law as contracts, torts, administrative law, equity, and remedies, including money damages. Other topics covered are: how both the federal and the state legal systems work, due process, the difference between civil and criminal law, limitations on judicial relief, administrative law, and alternative dispute resolution. Basic skills for paralegal students, such as how to read the law with understanding and how to prepare case briefs, will also be covered in this course. Prerequisite: English Composition I (ENG 101) or Concurrent",Introduction To The Law
Paralegal Studies (Pls),PLS 204,3 credits,"This course is intended to provide students with the skills and information necessary to review and analyze important issues in family law. Students will learn about paternity, divorce, child custody and support, alimony and adoption proceedings as well as domestic violence restraining orders and actions relating to pre and post nuptial agreements and separation orders. Prerequisites: English Comp I (ENG 101) or Concurrent",Family Law
Paralegal Studies (Pls),PLS 220,3 credits,"This course is designed as an introduction to the American legal system for paralegal students. It provides the foundation for additional study in the law through the introduction to criminal law and such areas of civil law as contracts, torts, administrative law, equity, and remedies, including money damages. Other topics covered are: how both the federal and the state legal systems work, due process, the difference between civil and criminal law, limitations on judicial relief, administrative law, and alternative dispute resolution. Basic skills for paralegal students, such as how to read the law with understanding and how to prepare case briefs, will also be covered in this course. Prerequisites: English Comp I (ENG 101) or Concurrent",Introduction To The Law
Paralegal Studies (Pls),PLS 227,3 credits,"This course provides an analysis of real property law for paralegal students. The differences between real property, personal property, and fixtures will be discussed. The legal aspects of voluntary transfer of real property will be analyzed, including the essential documents: offer to purchase, purchase and sale agreement, mortgage and promissory notes, deeds. Appraisals, title examination practices, and forms of ownership will be examined. Students will also study involuntary transfer procedures such as foreclosures, adverse possession, and eminent domain. Finally, this course will examine the landlord-tenant relationship and fair housing laws.Prerequisites: English Composition I (ENG 101)",Law Of Real Property
Paralegal Studies (Pls),PLS 231,3 credits,"In this course, students are trained to use a law library to solve basic problems in legal research. Materials such as cases, codes, and commentaries are used to develop effective legal research techniques. Students are expected to prepare cogent written summaries of their research finding in the form of case briefs, memoranda of law (both internal and external), and client opinion letters. Students will also learn the fundamental drafting techniques for instruments, pleadings, motions, and discovery documents. Prerequisites: English Composition I (ENG 101)",Legal Research & Writing
Practical Nurse Certificate Program (Pnc),PNC 101,12 credits,Students are introduced to the role of the Practical Nurse in the health care setting. This course concentrates on the fundamental skills and principles necessary to provide basic nursing care. Students are introduced to the critical components of the nursing program: Emphasis is placed on developing assessment skills; recognizing own caring behaviors; individual cultural self-awareness; and to begin the process of developing critical thinking skills. Adult patients in a non-acute clinical setting and nursing skills lab complement the classroom teaching. Prerequisites: General Psychology (SSI 122); Human Growth & Dev (SSI 209); Introduction to The Human Body (SCI 101) Concurrent or Anatomy and Physiology I (SCI 201) Concurrent; Intermediate Algebra (MAT 099) Eligible; Biology I (SCI 103) Eligible; English Composition I (ENG 101),Practical Nursing I
Practical Nurse Certificate Program (Pnc),PNC 102,12 credits,"This course emphasizes the role of the Practical Nurse in the health care delivery system. Students care for adults with uncomplicated medical/surgical disorders. Emphasis is placed on the unique aspects of caring for the older adult. Drug and diet therapies are integrated. Stages of growth and development for the adult and older adult are explored. Basic mental health concepts are introduced. Students learn to distinguish caring behaviors among professionals, recognize culturally sensitive nursing care and use the nursing process to problem-solve. Adult and geriatric clients in acute and long-term clinical setting are utilized. Clinical and nursing skills lab components are designed to correlate with classroom instruction. Prerequisites: Practical Nursing I (PNC 101); Introduction to The Human Body (SCI 101) or Anatomy and Physiology I (SCI 201); SCI 102 Human Body II (or Anatomy and Physiology II) Concurrent",Practical Nursing Ii
Practical Nurse Certificate Program (Pnc),PNC 103,9 credits,"Students prepare students for entry into health care delivery system. Emphasis is placed on developing initiative, skills and responsibilities needed for the practical nurse graduate. Students care for mentally stable adults with medical/surgical disorders. Drug and diet therapies are integrated. Basic concepts of maternity and pediatric nursing are introduced. Students practice caring behaviors, culturally sensitive nursing care and apply the nursing process to clinical situations. Clinical settings include an adult acute care sites and pediatric and maternity community health. The clinical component is designed to correlate with classroom instruction. Prerequisites: Practical Nursing II (PNC 102)",Practical Nursing Iii
Science (Sci),SCI 099,4 credits,"This course provides an overview of chemistry, biology, geology, meteorology, astronomy, and physics for students with no previous science background. The course is designed to generate appreciation of science through hands-on laboratory experiments, films, and lectures. Students completing this course should be prepared to handle upper-level science courses. A three-hour lab session is required each week. This course does not satisfy the lab science requirement for graduation. Prerequisites: Dev Read & Write 2 (ENG 091) or concurrent; Intro Algebra (MAT 088) or concurrent",General Science
Science (Sci),SCI 101,3 credits,"This course is designed for Practical Nursing students. It includes a study of the structure and function of the human body. An overview of cell structure and function, human genetics, tissues, the integumentary, skeletal, muscular, and nervous system will be provided. Prerequisites: Placement; General Science (SCI 099)",Introduction To Human Body I
Science (Sci),SCI 102,3 credits,"This course is designed for Practical Nursing students and is a continuation of SCI-101. Topics include an overview of sensation and the endocrine, cardiovascular, lymphatics, respiratory, digestive, and reproductive system. Diseases that affect these organ systems and their importance in medicine are stressed. Prerequisites: Intro to Human Body I (SCI 101)",Introduction To Human Body Ii
Science (Sci),SCI 103,4 credits,"This course provides an introduction to basic biological principles, cell structure and function, classical and molecular genetics, and the biology of selected viruses, bacteria, protists, fungi, and plants. Four hours of lecture and a two-hour lab session are required each week. Prerequisites: General Science (SCI 099) or Placement",Biology I
Science (Sci),SCI 104,4 credits,"This course provides an introduction to the biology of animals, the tissues and organ systems of humans, the theory of evolution, and the types and classifications of animals. Four hours of lecture and a two-hour lab session are required each week. Prerequisites: Biology I (SCI 103)",Biology Ii
Science (Sci),SCI 106,4 credits,"This is a basic course in the nutritional value of food and the relation of nutrition to health during the several stages of the growth process: pregnancy, infancy, early childhood, adolescence, adulthood, and old age. This course includes a comprehensive study of nutrients, government food programs and nutrition standards; surveys and interventions. Current nutrition research, popular nutritional concepts, and the importance of nutrition in preventive medicine are stressed. Four hours of lecture and a two-hour lab session are required each week. Prerequisites: Placement; General Science (SCI 099)",Nutrition (W/Lab)
Science (Sci),SCI 109,4 credits,"This course is designed for medical secretaries. It includes a study of the structure and function of the human body, with particular attention to medical terminology. Four hours of lecture and a two-hour lab are required each week. Prerequisites: Placement; General Science (SCI 099)",Human Biology And Medical Terminology
Science (Sci),SCI 121,4 credits,"This course provides an introduction to fundamental chemical concepts. Topics include scientific measurements, matter and energy, atomic structure, chemical bonding, the periodic table, stoichiometry, equations, solutions, acid base theory, kinetics, and radiation. A three-hour lab session is required each week. Prerequisites: Placement; General Science (SCI 099)",General Chemistry I
Science (Sci),SCI 122,4 credits,"This course is designed primarily for students enrolled in Nursing and Allied Health programs, but is open to all students. An overview of organic chemistry and biochemistry is provided. A three-hour lab session is required each week. Prerequisites: General Chem I (SCI 121)",General Chemistry Ii
Science (Sci),SCI 123,4 credits,"Principles of Chemistry is a study of fundamental chemical concepts: scientific measurements, matter and energy, stoichiometry, atomic structure, the periodic table, chemical bonding, gases and liquids. The course is designed primarily for students with a concentration in Biological or Physical Sciences and for students interested in transfer to a four-year program in engineering. A three-hour lab session is required each week. Prerequisites: English Composition I (ENG 101) Eligible; Pre-Calculus (MAT 103) Concurrent; General Science (SCI 099) or Placement",Principles Of Chemistry I
Science (Sci),SCI 124,4 credits,"A continuation of SCI123, this course covers the periodic properties of the elements, covalent structures, equilibrium, dissociation, redox reactions, acids and bases, electrochemistry, thermodynamics, and an introduction to nuclear chemistry. A three-hour lab session is required each week. Prerequisites: Princ of Chem I (SCI 123)",Principles Of Chemistry Ii
Science (Sci),SCI 133,4 credits,"This course attempts to provide an overview of environmental science, issues and opportunities in the environmental industry. Topics: ecological principles, sustainability, ecosystems, biodiversity, human population and its impact, pollution, and governmental regulations, environmental agencies, and community organizing, as solutions to environmental problems. Prerequisites: English Composition I (ENG 101) Eligible; General Science (SCI 099) or Placement",Environmental Science Region\Lab
Science (Sci),SCI 141,4 credits,"This course introduces students to the basic principles of physics. Topics include the study of basic units, scientific notation, velocity, acceleration, projectiles, force, motion, collisions, vectors, curvilinear and rotational motion, statics and hydrostatics. A three-hour lab session is required each week. Prerequisites: Placement; General Science (SCI 099)",Physics I
Science (Sci),SCI 142,4 credits,"As a continuation of SCI 141, this course is designed for students who intend to major in one of the sciences, or in computer technology. Topics include energy, electric forces and fields, electrical currents, magnetism, waves, optics, thermal properties of matter, and thermodynamics. A three-hour lab session is required each week. Prerequisites: Physics I (SCI 141)",Physics Ii
Science (Sci),SCI 143,4 credits,"Principles of Physics is a rigorous physics course with a laboratory session, designed primarily for students who wish to transfer to a four-year engineering program. Topics include mechanics and energy, rotation, and periodic motion. Much emphasis is placed on problem-solving, and competence in mathematics through algebra and trigonometry is expected. A three-hour lab session is required each week. Prerequisites: Calculus I (W/Applc) (MAT 201) Concurrent",Principles Of Physics I
Science (Sci),SCI 144,4 credits,"This course is a continuation of SCI143. Topics include work and energy, thermodynamics, mechanical waves, and sound. Much emphasis is placed on problem solving. Competence in mathematics, including algebra, trigonometry, and differential calculus, is expected. A three-hour lab session is required each week. Prerequisites: Principles of Physics I (SCI 143)",Principles Of Physics Ii
Science (Sci),SCI 151,4 credits,"This course is designed for non-science majors seeking to increase their knowledge of basic scientific principles. Three major areas of science (physics, chemistry, and biology) will be explored using one unifying theme: Energy. Four hours of lecture and two hours of lab are required each week. This course will satisfy graduation requirements as a science elective course. Prerequisites: General Science (SCI 099) or Placement; Introductory Algebra (MAT 088) completed or placement into college level math;English Composition I (ENG 101) eligible",Integrated Science: Energy
Science (Sci),SCI 201,4 credits,"This course is designed to provide students with a basic understanding of the structure, function, and disorders of the human body. Topics include an overview of the integumentary, skeletal, muscular, and nervous systems, as well as discussion of tissues and special senses. A three-hour lab session is required each week. Prerequisites: Biology II (SCI 104)",Anatomy & Physiology I
Science (Sci),SCI 202,4 credits,"This course is a continuation of SCI201. Topics include body fluids, electrolytes, and the cardiovascular, lymphatic, respiratory, digestive, urinary, endocrine, and reproductive systems. A three-hour lab session is required each week. Prerequisites: Anatomy & PhysiologyI (SCI 201)",Anatomy & Physiology Ii
Science (Sci),SCI 204,4 credits,"This course explores the history, scope, classification, growth, identification, genetics, and metabolism of microorganisms. Host-parasite interactions, immunology, and some bacterial, viral, fungal, and parasitic diseases are discussed. A three-hour lab session is required each week. Prerequisites: Biology II (SCI 104)",Microbiology
Science (Sci),SCI 206,4 credits,"This course provides an introduction to biomanufacturing principles and laboratory techniques. Topics include preparation of buffers and media, use of basic laboratory equipment, bacterial, yeast and mammalian cell culture, transfection, cell preservation, equipment maintenance, and good manufacturing practices and regulatory issues. Two hours of lecture and six hours of laboratory are required each week.Prerequisites: Biology II (SCI 104); Principles Of Chemistry I (SCI 123); English Composition I (ENG 101); Microbiology (SCI 204) Concurrent; Mathematics for Technology (MAT 111) Concurrent",Biomanufacturing I
Science (Sci),SCI 207,4 credits,"This course is a continuation of the introduction to biomanufacturing principles and laboratory techniques presented in SCI 206. Protein purification via various methods, including low and medium pressure and high performance liquid chromatography (HPLC), gel filtration, ion exchange, reverse phase and liquid chromatography, will be presented. Determination of purity and activity will also be analyzed. Two hours of lecture and six hours of laboratory are required each week. Prerequisites: Introduction to Biomanufacturing I (SCI 206); Mathematics for Technology (MAT 111); Microbiology (SCI 204)",Biomanufacturing Ii
Science (Sci),SCI 208,4 credits,"Students will work on a semester-long cloning project that will introduce them to the basics in DNA manipulation, including isolation, purification, quantification, amplification (PCR), sequencing and analysis. Introduction to Internet-based systems of DNA analysis will be included. Two hours of lecture and six hours of laboratory are required each week.Prerequisites: Introduction to Biomanufacturing I (SCI 206); Mathematics for Technology (MAT 111); Microbiology (SCI 204)",Techniques In Molecular Biology
Science (Sci),SCI 281,4 credits,This course is designed to provide science majors with individualized laboratory experience in a research facility under the supervision of an appropriate researcher. Practical work experience appropriate to laboratory techniques and skills in research will be stressed. Students must devote at least 12 hours per week to laboratory work. A minimum of 4 hours of lab work per day is required. Limited enrollment. Prerequisites: Instructor's Permission Required,Research Science I
Science (Sci),SCI 298,3 credits,"This three-credit course is offered during the fall and spring semesters. It is designed for students to gain hands-on experience a resume builder and an opportunity to network. Students will develop a resume, cover letter and references prior to placement. Students will meet with the Internship Coordinator and an Assigned Internship Faculty Advisor from their program of study during the course of the semester to monitor the interns",Internship In Biotechnology
Social Science (Ssi),SSI 101,3 credits,"This survey course begins with the origins of humanity in Africa and ends with the year 1500, as seen from the perspective of non-Western traditions. Several ""cradles of civilization"" in Africa, Asia, the Americas, and Europe are compared. Students will examine various aspects of the struggle of nations and classes, including those of the Egyptians, Babylonians, Chinese, Indians, Greeks, Romans, Aztecs, Incas, and Moslems. Prerequisites: English Composition I (ENG 101) or Concurrent",World History I
Social Science (Ssi),SSI 102,3 credits,"In this course, students will examine questions raised by the development and underdevelopment of several different types of socioeconomic systems, including early communes, slave societies, feudal societies, and capitalist societies. The course will emphasize relationships between Europe, Africa, the Americas, and Asia, with a focus on how the economic interests of the developed Western industrial nations and European capitalism have influenced world events. Prerequisites: English Composition I (ENG 101) or Concurrent",World History Ii
Social Science (Ssi),SSI 103,3 credits,"History I addresses U.S. History from the time of the European invasion to the U.S. Civil War. The course examines problems and interrelationships of African slaves, European invaders and immigrants, and native American inhabitants. Prerequisites: ENG101 or concurrent",U.S. History I
Social Science (Ssi),SSI 111,3 credits,"This course examines both the immense diversity and the common origins of African descendants in South, North, and Central America and the Caribbean. Emphasis will be placed on recounting American history (North, Central, and South) and conceptualizing the essential features of the American hemisphere in order to establish the intellectual and academic environment within which students can learn their own history. Prerequisites: Dev Read & Write 2 (ENG 091); Placement",Black Studies I
Social Science (Ssi),SSI 113,3 credits,"This course provides an introduction to the political, economic, and sociological history of the Caribbean region from prehistoric times to present. Topics discussed in depth include revolutionary and urban guerrilla movements, the forces of neocolonialism and racism, and the American role as an agent of economic disintegration in the Caribbean. Prerequisites: English Composition I (ENG 101) or Concurrent",Caribbean History
Social Science (Ssi),SSI 118,3 credits,"This course surveys the theory and practice of politics and its organizational structure in society. Topics include the nature of political power and influence; the role of ideology; constitutions and other law as the basis for legitimate political authority; legislative, judicial, and executive functions of government; foreign policies and international politics; political parties and other interest groups; elections and other forms of political participation.",Principles Of Political Science
Social Science (Ssi),SSI 119,3 credits,"This course examines the interaction of the United States government, businesses, and other interest groups that shape the American political system. Discussion will focus on three major questions: who governs the United States, how is it governed, and what are the possibilities for change? A traditional approach to understanding United States government will be augmented by the pluralist view and radical critique. Prerequisites: English Composition I (ENG 101) or Concurrent",Introduction To Us Government & Politics
Social Science (Ssi),SSI 120,4 credits,"This course examines issues of group conflict, community leadership, influence, and decision making at the state and local levels of the United States government. Boston politics will be used as a case study. Students enrolled in this course are required to participate in an internship field experience (at least 4 hours per week) with city or state government officials.",State & Local Politics
Social Science (Ssi),SSI 122,3 credits,"In this course students will be introduced to major and selected minor schools of psychology. Topics include the history of psychology, learning, motivation, emotion, perception, and personality development. Prerequisites: English Composition I (ENG 101) or Concurrent",General Psychology
Social Science (Ssi),SSI 123,3 credits,"This course introduces students to the basic theories, concepts, and research methods of society and social systems. Topics include culture, socialization, social stratification, urbanization, modernization, and social change. Prerequisites: English Composition I (ENG 101)",Introduction To Sociology
Social Science (Ssi),SSI 178,3 credits,This course focuses on the historical and social conditions that gave rise to African underdevelopment. Issues addressed include economic imperialism and colonialism in Africa and the extent to which these forces influenced the course of African underdevelopment.,Modern African History
Social Science (Ssi),SSI 202,3 credits,"Abnormal Psychology is a study of a wide range of psychological disorders. Topics include significant research and theories relating to psychological disorders, with an emphasis on the development of symptoms and on a variety of psychotherapeutic treatment modalities. Prerequisites: English Composition I (ENG 101) and General Psychology (SSI 122)",Abnormal Psychology
Social Science (Ssi),SSI 208,3 credits,"This course introduces the basic techniques and skills of the social sciences through an interdisciplinary, topical approach. Skills practiced include case study and qualitative and quantitative research. Topics include ethnography, statistics, construction and interpretation of questionnaires, interviewing, social observation, historical cause and effect, social analysis, formulating social science hypotheses, identifying variables, conducting controlled experiments, and interpreting experimental findings.",Introduction_To_Social Science Research
Social Science (Ssi),SSI 209,3 credits,"Life span development is the term used to describe the biological, cognitive, social, and psychological changes that take place as humans grow from the prenatal stage through birth, infancy, childhood, adolescence, and adulthood and move toward death. Students enrolled in this course will explore both the historical views and contemporary approaches to life span development as they trace human growth from a single-celled organism to the complex interaction of elements that shape adult behavior. Prerequisites: English Composition I (ENG 101)",Human Growth And Development
Social Science (Ssi),SSI 221,3 credits,"This course introduces students to micro-economic theory, with an emphasis on the U.S. economic system. Topics include a comparison of the neoclassical theories of marginal utility and marginal productivity with the Marxist theories of labor value and surplus value. Students will examine the growth of monopolies and government response to monopolies, the distribution of wealth and income, poverty, and the economic origins and implications of racism. Prerequisites: English Composition I (ENG 101)",Economics I (Micro)
Social Science (Ssi),SSI 222,3 credits,"This course introduces students to macro-economic theory, with an emphasis on the concepts of unemployment, inflation, and growth in capitalist and non-capitalist economic systems. Students will explore the ""boom and bust"" cycle from both Keynesian and Marxist points of view, and will briefly examine the issues of underdevelopment and international trade from the neoclassical and Marxist points of view. Prerequisites: English Composition I (ENG 101)",Economics Ii (Macro)
Social Science (Ssi),SSI 223,3 credits,"Students enrolled in this course will examine problems of urban economics, such as poverty, discrimination, housing, education, health, transportation, and crime, using Boston as a case study. Additional topics include a brief overview of urban location theory and an examination of conservative, liberal, radical, and Black Nationalist economic theories in relation to the identification and solution of economic problems. The issues and problems of specific topics such as housing will be explored in class.",Urban Economics
Social Science (Ssi),SSI 290,3 credits,Honors Colloquium with Social Science content. Prerequisites: English Composition I (ENG 101); in honors program.,Honors Colloquium
Technology (Tec),TEC 121,4 credits,"This course is designed to equip students with the basic drafting skills required to represent solid (three dimensional) objects. AutoCAD along with free hand sketching will be utilized to help students gain skills needed to produce and create technical drawings. The orthographic method will be the primary system used to show shape descriptions of objects. Topics include geometric constructions, drawing layouts, pictorials and dimensioning. Students will develop their powers of observation; enhance their ability to express ideas visually, as well as fundamental skills required for more advanced drafting courses. Prerequisites: Pre-Calculus (MAT 103) or Placement",Introduction_To Engineering Design I/Autocad
Technology (Tec),TEC 122,4 credits,"The latest version of AutoCAD is used to provide practical experiences in solving drafting design problems. Students will gain an understanding of the newer features, limitations, and enhanced productivity associated with the operation of a micro-based computer aided drafting and design system (CAD). AutoCAD software is the focus of this course. Students will use the computer to produce a variety of simple and moderately complex technical drawings. Students will learn to create multi-view drawings, manage files and plot finished drawings. Prerequisites: Introduction Engineering Design I/AutoCAD (TEC 121)",Engineering Design Ii
