Course Title,Course Description,Course Areas,Course Id
 Business Ethics: International Business Ethics,"PH133 Business Ethics: International Business Ethics Prerequisite(s): PH 101 or instructor's permissionExplores ethical issues confronted by corporations operating in the global marketplace, where laws, moral standards and cultural customs can vary widely from country to country. Possible issues to be discussed: bribery, environmental and safety standards, fair wages, sales and marketing, business-government relations, and the role of multinational corporations in developing nations. To assess the morals of multinational corporations, a number of cases will be analyzed from the perspective of a variety of ethical frameworks. ",PH,PH133
 Healthcare Ethics,PH134 Healthcare Ethics Prerequisite(s): PH 101Note: Not open to students that took PH 135 Medical EthicsExamines ethical issues that arise in healthcare. Possible topics include the ethics of medical procedures such as abortion and euthanasia; the rights and duties of patients and healthcare professionals; the ethics of reproductive technologies; the management of medical information; justice in the distribution of healthcare resources; and the role of health in the good life. ,PH,PH134
 Special Problems in Business and Professional Ethics,"PH135 Special Problems in Business and Professional Ethics Prerequisite(s): PH 101 or instructor's permissionAn opportunity for students to examine in depth special issues and problems of business and professional ethics. Possible topics include accounting ethics, computer ethics, ethics and business-government relations, legal ethics, medical ethics, ethics and the problem of distributive justice, and private property. ",PH,PH135
 Modern Philosophy: Knowledge and Values,"PH216 Modern Philosophy: Knowledge and Values Prerequisite(s): PH 101 or instructor's permissionExamines the work of important philosophers from the 16th to 19th centuries. Includes topics such as foundations for knowledge of the physical world, the nature of mind and matter, freedom and determinism, moral values, liberty, the existence of God and the authority of religion, and human liberation. Philosophers to be studied are chosen from Descartes, Spinoza, Leibniz, Locke, Berkeley, Hume, Kant, Hegel, Mill and Marx. ",PH,PH216
 Contemporary Philosophy: Change and Meaning,"PH217 Contemporary Philosophy: Change and Meaning Prerequisite(s): PH 101 or instructor's permissionExamines the enduring questions concerning the nature of the good life as they arise with a new urgency in our world of rapid change and technology. Topics include technological control and human freedom; meaninglessness and alienation; reality, language and ethics; and the question of the diverse views of the purpose of philosophy. Some representative schools of philosophy are pragmatism, process philosophy, dialectical materialism, analytical philosophy and existentialism. ",PH,PH217
 Ethics,"PH251 Ethics Prerequisite(s): PH 101 or instructor's permissionSurveys important traditional and contemporary ethical positions with emphasis on relating reflective morality to life in the world today. Includes an investigation of absolutism versus relativism, egoism versus altruism, utilitarianism, denotology, the nature of good, and the justification of ethical theories. ",PH,PH251
 Theories of Knowledge,"PH252 Theories of Knowledge				 Prerequisite(s): PH 101 or instructor's permissionThis course examines the most important questions that we can ask about our beliefs: When should we take something that we believe to be knowledge and not mere belief? What sort of evidence, reasons or assurances must we have for some belief we hold in order to be justified in holding it? How should we respond to those skeptics who deny that we have knowledge about this for that area of human concern (for example, of ultimate reality, of ethics or of God)? And how should we respond to the radical skeptic who denies that we have any knowledge at all? The course will gain focus on these and similar questions in order to help the student gain a deeper understanding of the nature and limits of human knowledge. ",PH,PH252
 Theories of Reality,"PH253 Theories of Reality Prerequisite(s): PH 101 or instructor's permissionThis course is concerned with questions having to do with the nature of existence or reality. Concerning the nature of existence or reality, some have held that everything that exists ultimately reduces to material things or processes, ""Atoms dancing in the void"" as the ancient materialist, Democritus, put it. Others (Bishop Berkeley, for example) have denied the reality of the physical world entirely, asserting that everything that exists is ultimately reducible to spiritual or mind like things. On the other hand, many in the Western world have embraced some form of metaphysical dualism, which affirms the reality of both the spiritual and the material world, still others (for example, certain Hindus) have denied all such categories, affirming that everything, except for the indivisible, indescribable One, is an illusion. Finally, there are those, for example, certain pragmitists and postmodernists, who claim that we should completely abandon the entire construct. ",PH,PH253
 Special Topics in Philosophy,"PH254 Special Topics in Philosophy Prerequisite(s): PH 101Examines selected issues in philosophy. Possible topics include consciousness andcognition, language and meaning, knowledge and justification, free will, theexistence of God, and the problem of evil. ",PH,PH254
 Consciousness and Experience,"PH270 Consciousness and Experience Prerequisite(s): PH 101 or Instructor PermissionConsciousness is utterly familiar to each of us and yet has proved elusive to any systematic study. We all seem to know intuitively what it is, but it turns out to be very hard to spell out or explain that knowledge. In this course, we will be addressing some key questions about the nature of consciousness by drawing on philosophical and psychological sources. These questions include: How can we explain the relationship between brain events and conscious experience? Is a naturalistic explanation of consciousness in principle available? Can we make sense of phenomena such as Lucid Dreaming and Out-Of-Body Experiences? How should we think of the place of consciousness in the universe? ",PH,PH270
 Environmental Ethics,"PH301 Environmental Ethics Prerequisite(s): PH 101 or instructor's permissionInvestigates the complex dimensions of the ethical relationship between humanity and the natural environment. Discusses a variety of theories and proposals concerning the nature of that relationship, including both anthropocentric and nonanthropocentric viewpoints. Relates these ideas to the present environmental crisis, and to the duties and responsibilities that businesses have to protect and preserve the environment. ",PH,PH301
 Social Philosophy,"PH311 Social Philosophy Prerequisite(s): PH 101 or instructor's permissionExamines selected topics in traditional and contemporary theories of society such as utopia, ideology, social class, racism, economic determinism, freedom, and the ""post-industrial"" age. Explores the topics both historically and systematically, focusing on contemporary discussions in the philosophy of the social sciences. Draws on the writings of social theorists such as Plato, Hobbes, Rousseau, Adam Smith, Hegel, Marx, Mills, Freud, Weber, Keynes, Mao Zedong, Marcuse and Habermas. ",PH,PH311
" Liberty, Morality and Law","PH312 Liberty, Morality and Law Prerequisite(s): PH 101 or Instructor PermissionIts a free country, or so they say. But the state places many constraints on our behavior. Which of these are justified, and which are not? Should you be able to say hateful things? Drive without wearing a seatbelt? Sell your organs? In general, what moral principles should guide rule-makers as they devise rules for a just society? Potential topics of discussion include the nature and value of human freedom, the significance of morality, justice, economic choice, freedom of thought and expression, paternalism, and punishment. ",PH,PH312
" Confucianism, Daoism, and Buddhism:  Philosophies of East Asia","PH315 Confucianism, Daoism, and Buddhism:  Philosophies of East Asia Prerequisite(s): PH 101The three countries of East AsiaChina, Japan, and Koreahave become major economic power houses in the contemporary world. Many experts have attributed their economic success to their traditional worldviews, specifically Confucianism. Whether or not this assessment is correct, it is of utmost importance that students, who desire to attain a global perspective, understand the philosophical perspectives of East Asia. This course provides an opportunity for students to learn about the philosophical and cultural traditions of East Asia in a systematic and comprehensive fashion. It explores three major philosophical perspectives of East Asia, Confucianism, Daoism, and Buddhism, by following their histories and evolution in East Asia over two millennia. ",PH,PH315
 Perspectives on Poverty,"PH351 Perspectives on Poverty Prerequisite(s): PH 101 or instructor's permissionWhat are the moral obligations of government, other institutions, and individuals in dealing with poverty? Should just societies satisfy the basic needs of all their members? How should we deal with conflicting claims about justice, rights, needs, freedom and equality? Are current U.S., state, and local policies dealing with poor people morally justified? What alternative policies might be better? Explores answers to these questions through study of different philosophical theories and through investigation of one or two current problem areas as cases. Investigation will include substantial service-learning experiences in inner-city schools or other institutions that serve poor people. ",PH,PH351
 Directed Study in Philosophy,PH401 Directed Study in Philosophy Prerequisite(s): PH 101 or instructor's permissionPresents opportunity for superior students to engage in specialized study. Allows repetition for credit. ,PH,PH401
 Seminar in Philosophy,PH402 Seminar in Philosophy Prerequisite(s): PH 101 or instructor's permissionNote: Not offered regularly.  Check with department chair for availability.Provides opportunity for students in small groups to study selected topics. Allows repetition for credit. ,PH,PH402
 Internship in Philosophy,"PH421 Internship in Philosophy Prerequisite(s): Junior-level standing, 3.0 cumulative average, and permission of liberal arts internship coordinatorAn internship provides the student with an opportunity to gain on-the-job experience and apply principles and issues raised in the academic discipline to a work environment. The student is required to attend pre-internship workshops sponsored by the Center for Career Services, meet regularly with a faculty adviser, and develop a final paper or special project. ",PH,PH421
 Issues and Investigations in Sociology,"SO132 Issues and Investigations in Sociology Introduces the student to the discipline of sociology as both a body of knowledge and as a perspective from which to view the world. This course will examine the basic concepts, theories and methods of sociology inquiry in the context of a substantive area. The goal is to develop in the student an appreciation of the social forces that shape, organize and constitute human behavior. ",SO,SO132
 Drugs and Society,"SO225 Drugs and Society This course explicates the basic principles of sociology in the context of an investigation of the sociocultural milieu within which drug use occurs. The aim is to locate patterns of drug use and abuse within a historical, legal and sociological context, to familiarize students with methods of intervention and treatment, and to develop a more accurate appreciation of the effect of various drugs on the individual. ",SO,SO225
" Diversity, Minorities and Social Change","SO241 Diversity, Minorities and Social Change Examines the growing social diversity of contemporary societies. Considers the changing nature and significance of minorities in historical and cross-cultural perspective. Minority status, ethnicity and race, group formation, structural disadvantage, migration and multiculturalism are among the key ideas considered. Other dimensions of social diversity, such as gender, age, class, disability and sexual orientation, will also be studied. Social policy implications of current issues in diversity and minority status will be addressed. ",SO,SO241
 Social Problems,"SO242 Social Problems Examines the nature and significance of social problems in contemporary society. The specific problems addressed vary from year to year, but may include poverty, racism, youth alienation, illiteracy, gender-related issues, war and environmental crises. These concrete problems will be studied from a variety of sociological perspectives which address aspects of the social construction of problems, for example, processes through which problems are discovered, defined and publicized. Such processes and the problems they shape will be considered within the context of a sociological overview of historical and structural tendencies in modern societies. ",SO,SO242
 Deviance and Social Control,"SO244 Deviance and Social Control This course examines the process of deviance in American society and other cultures, with a focus on sociological theories of deviant behavior and deviant groups. The origins, organization and societal reactions to forms of deviant behavior such as juvenile delinquency, drug abuse, prostitution, pool hustling, mental disorders, violence and white-collar crime will be examined and discussed. A further focus will be on the problems and possibilities of doing research on deviant groups. ",SO,SO244
" Health, Illness and Everyday Life","SO252 Health, Illness and Everyday Life Explores how our understandings and experiences of health and illness are socially conditioned. Also examines the different levels at which we are oriented to the possibility of illness in everyday life. Hence, studying the social meanings of health and illness provides for a deeper understanding of ourselves and the situations that we inhabit. Through readings from the social sciences, literature and philosophy, as well as films, class discussions and written exercises, we will explore a variety of issues related to understanding the phenomena of health and illness. Course evaluation will be based on written exercises, a final paper and class participation. ",SO,SO252
 Sociology of Work and Organizations,"SO263 Sociology of Work and Organizations Emphasizes sociological principles as they relate to the industrial setting. Reviews traditional and contemporary theories of industrial societies and industrialization. Analyzes general features of the social system such as roles, statuses, values, strains and communication. Stresses the relationship between industry and other institutions in society. ",SO,SO263
" Technology, Society and  Work","SO264 Technology, Society and  Work Technological changes have a major impact on the way our society looks and how people function within it. Many of these technological changes are initially felt in the workplace, as our workplace formation and relations have an indelible impact on social formation and relations. At the same time, the relationship can work in the reverse as well, with society dictating how technology is adopted and used both inside and outside of the workplace. In the end, technology, society, and work form a triadic relationship, with each impacting and affecting the other in foreseeable and unforeseeable ways. This course will examine this relationship on a national and international level. Through selected readings, videos, current events, and class discussions, we will engage in an exploration of these themes, and examine how our technology, society, and work may look in the future based on clues from the present and past. ",SO,SO264
 Talk at work,"SO265 Talk at work The goal of this course is to learn how interaction in the workplace is conducted.  We will analyze different types of interactions in a variety of work settings, institutional and organizational contexts in order to learn how these interactions are conducted, what types of communication and workplace problems emerge through these interactions, and how these can best be prevented.  In order to understand the sociological perspective on talk in institutional settings, we will first examine how ordinary conversations are organized, since these informal conversational patterns provide the basis for other types of interactions.  Students will learn how to analyze interactions from a sociological perspective using the theoretical and methodological approaches of Ethnomethodology and Conversation Analysis. ",SO,SO265
 Self and Society,"SO271 Self and Society Introduces students to the sociological study of the individual and their relations with society. The idea of ""the self"" and the nature of social identity will be examined with respect to socialization processes, interaction contexts and culture. Problems in knowing oneself and others will be considered. The relation of individual action and social structure will be studied in connection with a range of topics such as gender, ethnicity, age and social class. Emphasizes the role of communication in mediating relations between individuals and the society in which they live. ",SO,SO271
 Animals in Society,"SO272 Animals in Society The study of the relationship between animals and society is a relatively new and growing area of interest within sociology. Understanding our relationship to animals as pets, as food or other products, as laborers, as subjects in laboratory experiments and as wild animals is particularly important in today's society where environmental concerns, provision of food for the world's human population, and ethical debates about the use of other beings are current and likely to be increasingly important.  We will use a sociological perspective to explore the relationship between animals and humans in contemporary society.  The methodological approaches focused on include: qualitative sociological techniques such as ethnographic field work, interviewing, discourse analysis, auto-ethnography, or visual sociology. The theoretical perspectives used will fall under the general category of social psychology and may include symbolic interactionist, social constructionist, and ethnomethodological. ",SO,SO272
 Sociology of Sports,"SO285 Sociology of Sports Sports play a major role in society.  They are a major industry, a major recreational outlet, and one of the main mechanisms Americans and others around the globe use for keeping fit and socializing with friends.  This course examines the role sports play in a range of social settings, including professional sports, sports in educational institutions, and sports for personal recreation and leisure activities.  The course will cover such topics as inequality, the social construction of race, gender, and class through sports, socialization into the culture of sports, sports and identity, deviance and sports (including drug use and violence), the globalization of sports, and sports and the media. ",SO,SO285
" Media, Culture and Society","SO287 Media, Culture and Society Examines how various forms of modern mass media represent the values and lifestyles of American culture, and how we experience the mass media in our everyday lives. We will look at forms of media in terms of their sociohistorical developments, and study how their histories have been shaped by, and helped to shape, the political-economic structure and cultural lifestyles of American society. The course centers largely on sociological analyzes of specific audiovisual examples. These analyzes will be conducted in class discussion and written exercises. ",SO,SO287
 Popular Culture in Consumer Societies,"SO289 Popular Culture in Consumer Societies Explores cultural dimensions of social life associated with development of consumerism in contemporary societies. The emergence of a ""consumer society"" and corresponding cultural sphere will be outlined. General themes include the commodity basis of cultural practices, the social control of imagination and desire, and the nature of modernity. Specific topics include the rise of popular culture, advertising as a social institution, socialization and the consumer role, marketplace settings and rituals, consumer movements and critiques, and consumption-related environmental problems. Consumption contexts considered include shopping malls, the modern home, tourism and popular entertainments. ",SO,SO289
 Sociology of Native American Peoples,SO292 Sociology of Native American Peoples The aim of this course is to introduce the students to and immerse them in Native American culture and society. Topics to be covered include the history of Native Americans since Columbus; Native American beliefs and religions; contemporary Native American culture (with a focus on the Crow and Wampanoag tribes); contemporary social issues and problems; what lies ahead. The required readings provide a historical and theoretical background; class discussion focuses on more contemporary issues and concerns. ,SO,SO292
 Film & Society,"SO295 Film & Society Film as a medium appears in many different formats and settings from television broadcasts to theaters and from DVDs to computers.  Social issues and social relations are presented in virtually unexamined fashion and audiences are expected to draw on cultural presuppositions and understandings to achieve an understanding of the film's themes and contents.  The course examines several different film styles in order to better understand the methodologies used by film makers to construct understandability.  Film styles to be examined include ethnographic, documentary, social commentary and narrative-fiction.  Within these different film styles a number of social issues and social relationships will be considered including, in part, the following: cultural pratices and social norms; gender and power relationships; cross dressing and gender transformation; commentary on political and social issues; and, witnessing, truth-telling, trust, honesty and morality in social relationships. ",SO,SO295
 Community Involvement,"SO300 Community Involvement Students engage in approximately two hours of weekly public service within agencies or organizations in the Greater Boston area. In their journals and class discussions, students reflect on both the purposes of that work as well as on its limits as a response to specific needs within the community and more general problems of social justice. Students also conduct participant observation field explorations at their sites. The course explores issues of social responsibility and citizenship in the professions and business world in relation to the social problems that students become acquainted with through their community work. ",SO,SO300
 Immigrant Entrepreneurship,"SO320 Immigrant Entrepreneurship Immigrants come in search of the economic opportunity and financial security not available in their own homeland.  Drawn by the lure of jobs, immigrants frequently set course for industrialized countries where the demand for labor is high. However, once arriving to these countries, many immigrant groups reject the available jobs and strike their own path by entering into entrepreneurship by opening their own businesses. In the United States, this pattern has played out countless times, as new groups arrive and take the mantle of immigrant entrepreneurship previously held by past groups. This course will examine the phenomena of immigrant entrepreneurship, taking account of past examples as well as current trends. By studying immigrant entrepreneurship, the student will achieve a better understanding of what drives certain immigrant groups to chance everything by opening up their own businesses, and how immigrants are able to use the resources available to them to become successful. ",SO,SO320
 Sociology of the Edge,"SO333 Sociology of the Edge This course employs a sociological perspective to examine edges of experience and, through that examination, to reflect on the production of social order and the social processes which shape our existence. In this course you will be asked to walk in another's shoes. Someone who is walking on the edge. You will be asked to consider 'what is it for them'. Why do they do what they do? How do they do it? What is it to go 'in harm's way'? What are some of the particular knowings of those who work and play on the ocean? What is it to be ill or dying? How do we deal with loss and grief? What is it to be oppressed and/or imprisoned? What is it to live/work/play in the belly of the beast? And, finally, to reflect on what all of the above tells us about ourselves, and our world. ",SO,SO333
 Directed Study in Sociology,SO401 Directed Study in Sociology Prerequisite(s): Department chairperson's permissionPresents opportunity for superior students to engage in specialized study. (Allows repetition for credit.) ,SO,SO401
 Seminar in Sociology,SO402 Seminar in Sociology Prerequisite(s): Instructor's permissionNote: Not offered regularly.  Check with department chair for availability.Permits the intensive study of selected topics in small groups of more advanced students. (Allows repetition for credit.) ,SO,SO402
 Internship in Sociology,"SO421 Internship in Sociology Prerequisite(s): Junior-level standing, 3.0 cumulative average, and permission of the Sociology internship coordinator.An internship provides the student with an opportunity to gain on-the-job experience and apply principles and issues raised in the academic discipline to a work environment. The student is required to attend pre-internship workshops sponsored by the Center for Career Services, meet regularly with a faculty adviser, and develop a final paper or special project. ",SO,SO421
 Introduction to Data and Information Management,"CS150 Introduction to Data and Information Management Prerequisite(s): IT 101The course introduces information management and relational databases; data collection, storage, and retrieval; query/report design and generation; logical database structures; basic transaction architecture; and systems analysis for database design. ",CS,CS150
 Programming Fundamentals,"CS180 Programming Fundamentals Prerequisite(s): IT 101Students will develop basic programming and problem solving skills through a variety of assignments that explore the use of fundamental control and data structures using the Java programming language. Students learn about the concepts of classes and objects without being exposed to the advanced principles of object orientation. Testing and debugging techniques, the development of sound programming logic, and the writing of well-structured code are also emphasized. ",CS,CS180
 The World Wide Web,"CS213 The World Wide Web Prerequisite(s): IT 101Note: This course cannot be used toward the CS major.  It can be used toward the minor or toward art/science electives.This course explores the World Wide Web as an educational resource. Emphasis is on the use of HTML and JavaScript as programming tools to develop web pages that include text, graphics, animation, internal and external linkages, frames, forms and, with JavaScript, alert boxes, remote windows, events and cookies. In addition, such concepts as the architecture of the web, the use of browsers, effective search strategies, multimedia and web security are addressed to familiarize the student with the web as a business tool and resource. Teaches a contemporary IT technology by using a computer-based software package. Students are expected to perform operational excercises to gain experience and facility with the particular technology designated for this course section. Students have a broad choice of technology appropriate for those with some experience beyond IT 101. ",CS,CS213
 Business Processing and Communications Infrastructure,"CS240 Business Processing and Communications Infrastructure Prerequisite(s): IT 101A detailed overview of information technology infrastructure components used by modern organizations: underlying principles, concepts, and terminology of computer architecture and digital communication networks; Organization of computer hardware, data representation, input/output, instruction sets, file and memory organization, and operating - enabling evaluation of the hardware capabilities and performance of a computer system; Assembly, compilation, and execution of computer programs will be addressed as the basic operations of a computer system at the machine level. Foundational technologies and fundamental principles of digital communication: ISO, IETF, and IEEE standards, concepts relevant to physical, data link, and network layers of communication including analog and digital signaling, communications media, data representation, communications protocols, and addressing. ",CS,CS240
 Object-Oriented Application Development,"CS280 Object-Oriented Application Development Prerequisite(s): CS 180This course teaches object-oriented programming and development using the Java programming language. Students will complete several programming assignments designed to reinforce their comprehension of object-oriented concepts, including encapsulation, class hierarchies, and polymorphism. Developing both Java applications and applets will strengthen their understanding of abstract classes and interfaces, event-driven programming, and exception handling. This course will include required lab sessions and regularly scheduled lab hours. ",CS,CS280
 Database Management Systems,"CS350 Database Management Systems Prerequisite(s): CS 150 or AC 340 (AIS or ISAC majors)This course is a comprehensive introduction to data management in organizations. It establishes the data management foundation in the computing and AIS majors. Topics include conceptual and logical data modeling, entity relationship and relational data modeling and database design and implementation using the SQL programming language. Students will complete exercises in database modeling, design and programming. ",CS,CS350
 Business Systems Analysis and Modeling,"CS360 Business Systems Analysis and Modeling Prerequisite(s): (CS 150 & CS major or CS minor) or (AC 340 & AIS or ISAC majors only)This course begins with business functional analysis and ends with object oriented information systems design. Students are introduced to tools and techniques enabling effective analysis, design and documentation of an information system. The student learns formal methodologies that form the basis of object-oriented systems engineering practices. Models that focus on the articulation of business functions, integrating process, data and behavioral abstractions from the core of formal methods in systems development using the Unified Modeling Language (UML). ",CS,CS360
 Directed Study in Computer Systems,CS401 Directed Study in Computer Systems Prerequisite(s): Department chairperson's permissionPermits superior students to study special topics. Allows repetition for credit. ,CS,CS401
 Advanced Computing Topics Seminar,"CS402 Advanced Computing Topics Seminar Prerequisite(s): CIS senior-level standing or instructor's permissionNote: Not offered regularly.  Check with department chair for availability.Discusses current topics in computing based on readings in the professional literature, guest speakers, and field and individual research projects. ",CS,CS402
 Internship in Computer Systems,CS421 Internship in Computer Systems Prerequisite(s): CS 350 and CS 360 and status as CIS sixth-semester full-time major with at least two full semesters at Bentley University.Provides an opportunity to develop an extensive project relating computer systems concepts to a specific organization in combination with a work assignment. Involves both full-time employment with an organization and close work with a faculty member. ,CS,CS421
 Advanced Net-Centric Computing,"CS440 Advanced Net-Centric Computing Prerequisite(s): CS 180, CS 240Building on the foundation of CS240, CS440 provides the students with an in-depth understanding of the planning, design, implementation, and operation of organizational information technology infrastructures. It covers network and transport layer protocols and related addressing and routing issues at a detailed level. The course focuses on network and systems architecture design for the entire enterprise at the campus, metropolitan area, and wide area network levels. It helps the students understand issues related to ensuring business continuity, including network and IT systems security and management. It pays special attention to the integration of processing, storage, and communication capabilities, and the continuing convergence of telecommunications and networking technologies in the enterprise context. ",CS,CS440
 Applied Software Project Management,"CS460 Applied Software Project Management Prerequisite(s): CS 360; recommended completion of CS 350Students learn and experience the process of information systems development through managing team dynamics and performing software engineering project management. Specific topics discussed include the value of different software development life cycles, project management tools and techniques, software process management practices and software quality management practices. This course fuses students' prior IT and business education, preparing them to launch their professional IT careers. ",CS,CS460
 E-Business Infrastructure and Policy,"CS476 E-Business Infrastructure and Policy Prerequisite(s): CS 350This course examines the network and computer technology that is the World Wide Web.  It covers Internet architecture: domain name service, HTTP, FTP, packet switching, TCP/IP, XML, DHTML, media formats, search engines and industry standards. It covers web site management: servers, load balancing, security, hacking, spoofing, encryption and fire walls. It reviews the social, business and governmental environment that enables and constrains web commerce. Students implement an E-Business application by developing a fully functional business web site using the database skills and theory learned in the IT minor (or CS major) prerequisite courses. ",CS,CS476
 Advanced Application Development Technology,CS480 Advanced Application Development Technology Prerequisite(s): CS 280 or Instructor's PermissionThis course gives CIS majors the opportunity to explore emerging application development technologies. The instructor will choose a particular development technology to present orstudents will be assigned emerging technologies in the commercial arena to investigate. ,CS,CS480
 Information Technology and Computer System Concepts,"IT101 Information Technology and Computer System Concepts Provides a comprehensive and current introduction to information technology in general and computer system concepts and personal computers in particular. Focuses on the role and underlying concepts of computer technology in the information age. Personal, organizational and social implications of information technology are explored. Problem-solving skills using Microsoft Office software and the World Wide Web are also developed. The World Wide Web will be extensively used as the platform for conceptual understanding. ",IT,IT101
 Principles of Microeconomics,"EC111 Principles of Microeconomics Prerequisite(s): 3 credits of 100 level mathProvides students with an understanding of fundamental economic principles and tools. Presents economic analysis with respect to demand, supply, market equilibrium, costs of production and resource pricing. Examines the market structures of pure competition, oligopoly, monopolistic competition and monopoly. Analyzes the markets for labor and capital. ",EC,EC111
 Principles of Macroeconomics,"EC112 Principles of Macroeconomics Prerequisite(s): 3 credits of 100 level Math and  EC 111Analyzes the determinants of aggregate economic activity and the effects of government policies intended to achieve full employment, price stability and economic growth. Topics include inflation, unemployment, interest rates, fiscal policy and the public debt, monetary policy, the balance of payments, and exchange rates. Introduces the economic analysis of international trade, comparative advantage and selected current economic problems. ",EC,EC112
 Intermediate Price Theory,"EC224 Intermediate Price Theory Prerequisite(s): MA I and EC 111 and EC 112Examines price determination in the marketplace and the interactions among consumers, firms and government in the market process. The study of markets and the forces of supply and demand provides a sound basis for understanding pricing, production decisions, cost conditions, industry regulations, and profitability. Consumer behavior and firm decision-making form the fundamental structure for the course of study. Among the topics covered are consumer choice, welfare effects of government policy, production technology, profitability, competitive market analysis, and market power and price discrimination. Analytical tools and the economic modeling techniques are developed through the course. This is a required course for all economics and economics-finance majors. ",EC,EC224
 Intermediate Macroeconomics,"EC225 Intermediate Macroeconomics Prerequisite(s): MA I and EC 111 and EC 112Analyzes the environment in which business operates, including the influence of the government and Central Bank policies, recessions and expansions, inflation and growth on a business. Provides the tools to analyze the effect of various economic events on production, employment and prices. The course also introduces important debates in economics, such as ""supply-side"" economics, the impact of a balanced budget amendment, and the role of the Federal Reserve in keeping inflation and unemployment low. Periodic writing assignments help students use the tools learned to analyze current events and policy discussions. This course is required for all economics and economics-finance majors. ",EC,EC225
 Business Forecasting,"EC245 Business Forecasting Prerequisite(s): EC 111, EC 112 and (GB 210 or GB 213)Presents an analysis of techniques and models useful for business forecasting of sales and other business variables. Allows the student to give quantitative answers to the questions of business planning in an uncertain environment. Includes judgmental, simulation and statistical forecasting methods. Provides an assessment of alternative techniques and examines the implementation of forecasts in the context of business planning. ",EC,EC245
 Development of Economic Thought,"EC251 Development of Economic Thought Prerequisite(s): EC 111 and EC 112Examines the development of economic thinking with regard to topics such as value, production, distribution, employment and inflation. Outlines the progression of ideas from the classical school, through Marxism and neoclassical thinking to the Keynesian revolution of this century. Examines the post-Keynesian direction of economics and provides an overview of recent theoretical developments in the context of past approaches. Traces the development of economic concepts in the context of economic conditions of the period and concludes with a discussion of the current direction of economic thought. ",EC,EC251
 Economics of Regulation and Antitrust,"EC271 Economics of Regulation and Antitrust Prerequisite(s): EC 111 and EC 112Examines the relationship between government business policy and business response. Considers the various ways in which government attempts to alter business behavior through the use of industry regulation, antitrust legislation, and social regulation such as consumer protection, environmental protection, and occupational safety laws. Discusses the intent of various laws to see that firms behave in socially desirable ways and examines the degree to which the laws have been successful in achieving these results. ",EC,EC271
 Economics of Information Technology,"EC272 Economics of Information Technology Prerequisite(s): EC 111 and EC 112This course will look at a broad array of issues raised by the revolution in information technology.  Included will be macroeconomic topics such as whether information technology really created a ""new economy,  the effect of information technology on productivity, and what can we learn from the dot-com boom and bust.  The structure of the information technology sector will be analyzed by looking at several of its unique features and considering their effects.  A considerable portion of the course will be taken up with the issues of pricing information goods and services.  In addition, economic policy with respect to competition, intellectual property issues, and taxation will be examined. ",EC,EC272
" Technology, Innovation and Economic Performance","EC273 Technology, Innovation and Economic Performance Prerequisite(s): EC 111 and EC 112Note: This course is considered business.This course explores the economic aspects of innovation and technology, focusing on their implications for economic performance and competitiveness of firms, industries, regions and countries. Micro-economic aspects of innovation are covered, including topics such as types of innovation, the role of R&D, patents, and characteristics of firms most likely to innovate. Business applications are demonstrated through case studies of industries. At the macro-economic level, interrelationships among technology, innovation and economic growth are analyzed.  Factors underlying the ability of regions (such as Silicon Valley and along Route 128), and of countries (such as Ireland, India and China) to succeed or fail in generating technology-based firms and in high-tech economic growth and development are explored. ",EC,EC273
 The Economics of Sports,"EC275 The Economics of Sports Prerequisite(s): EC 111 and EC 112 and (GB 213 or GB 210)Note: This course is a business course.This course allows students to develop a detailed economic understanding of theprofessional and amateur sports industry. Relying on economic principles andwell-developed economic models, the course material analyzes a variety orcurrent-day issues facing the spoliing industry. Topics include: competitivebalance issues, such as, revenue sharing, salary caps, and luxury taxes;govemment's role in the sports industry, and; player issues, such as, racial andwage discrimination, free agency, and superstar effects. ",EC,EC275
 International Economics,"EC311 International Economics Prerequisite(s): EC 111 and EC 112Presents the basis of international trade through both classical models and recent complementary trade theories. Analyzes the impact of trade, i.e., who gains and who loses, with implications regarding the politics of trade. Examines commercial policy, trade blocks, links with development, and consequent north-south conflicts. Shows the determination of exchange rates, and the relationship with the U.S. balance of payments. ",EC,EC311
 The Economics of Multinational Corporations,"EC315 The Economics of Multinational Corporations Prerequisite(s): EC 111 and EC 112Analyzes the unique nature of multinational corporations and how multinational corporations are affected by, and affect, the national and world economies. Evaluates the impact on multinational corporations of many economic events such as capital flows and asset markets, exports, competition, labor relations and foreign exchange rates. Includes a critical examination of tax policies with regard to multinationals and the effect of such policies on the transfer (intersubsidiary) prices of the firm. Examines the future role of multinational firms in the U.S. and world economy. ",EC,EC315
 International Economic Growth and Development,"EC321 International Economic Growth and Development Prerequisite(s): EC 111 and EC 112Analyzes the long-term performance of an economy in terms of the related concepts of growth and development. Examines alternative explanations for the growth record of the developed economies as well as their prospects for continued growth. Presents an overview of the economic performance of the less developed countries and examines critical aspects of development such as capital accumulation, technological change, population growth, labor and manpower issues, agriculture and trade. Examines development policies in the areas of inflation and planning, and considers issues related to economic ties between developed and developing economies. ",EC,EC321
