description,title,prerequisites,schedule_type,levels,department
"In the second half of the 20th century, something shifted in the American culture. This shift marked the post-WWII progression from moderntiy to postmodernity, which was widely reflected by changes in society, cutlure, and art. This course offers an accessible survey of the cultural, critical, technological, economic, and aesthetic foundations of postmodernism. We will particularly examine the postmodern challenge to traditional ideas of progress, authority, authenticity, knowlege, power, and language with its playful mixing of forms and high and low culture. We will progress through the course with a central question that asks if a postive pragmatic potential can be detected within the postmodern sensibility.",HUMN 4233 - DECONSTRUCTING THE 20TH CENT,completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
"The course explores the relationship between the written text and design. Design, decoration, light, sound, and color are elements that affect performance. Several plays and their technical challenges are studied.",HUMN 4235 - TECHNICAL THEATER,Completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
"The graphic novel has blossomed as an art form. In addition, it has proven to be a fruitful source for cinema. This course will examine the graphic novel as an art form and as inspiration for film. What is the graphic novel? How does one ""read"" a graphic novel ""critically?"" When does it successfully translate to film and why? What does this teach us about film and about the graphic novel's visual content? These questions will guide us as we study several significant graphic novels and their film versions.",HUMN 4241 - GRAPHIC NOVEL TO FILM,Completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
"This course examines some of the major theoretical positions and developments informing contemporary (post-WWII) art. The aim of the course is to develop an understanding of contemporary visual culture in relation to social history and human experience, and a basic understanding of aesthetic theory, philosophy and criticism and its importance to contemporary art practices.",HUMN 4243 - CONTEMPORARY ART & THEORY,Completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
"This course examines American Transcendentalism, the literary movement that emerged over the nineteenth-century in protest to the intellectual, cultural, and national status quo. We will examine the canonical authors of the period, including Emerson, Thoreau, Whitman, Hawthorne, Melville, and Poe, to establish the period?s continuities. Additionally, we will examine writers like Blackhawk, Margaret Fuller, Frederick Douglas, Harriet Wilson, and Rebecca Harding Davis to tease out its contradictions. Along the way, we will interact with modern day culture to consider how this early American narrative tradition holds contextual meaning as well as contemporary resonance.",HUMN 4245 - TRANSCENDENTAL VISIONS,Completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
"This course examines major trends in the Western critical tradition, including humanism, rationalism, modernism, and postmodernism while also progressing the student from a consumer to a critical consumption of cultural narratives.",HUMN 4255 - EXPLORATIONS WESTRN THOUGHT,Completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
"This course will primarily explore 19th century art in Europe with a look at the United States, from the perspective of their evolving modernity. The significance of the Industrial Revolution and the ensuing political upheavals of both continents will be closely studied through the visual imagery of artistic production. Further, the impact of emerging art theory will be analyzed by reading primary sources in the way of the artists' personal manifestoes alongside contemporary critiques of the day.",HUMN 4263 - ART & SOCIETY IN INDUSTRL AGE,Completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
"An examination of that which is unique in the American experience as expressed in literature. This course will provide the student with a profile of the American character as portrayed in the national literature. The focus will be upon political, religious, and economic roots which illuminate the past and make the present more comprehensible.",HUMN 4265 - THE AMERICAN DREAM,ENGL1050 - English Composition and ENGL2050 - Composition and Literature,"Lecture,",Undergraduate,Professional Continuing Educ
This course is a survey of American art from the pre-colonial period to the present. American art production will be evaluated for both its aesthetic value and as a historical document. Prerequisite: Completion of an English sequence.,HUMN 4275 - MYTH AMERICA: COLONY CULTR WAR,,Lecture,Undergraduate,Humanities Social Sciences
An introduction to the monuments of film art and a survey of the development of motion pictures from their beginning to the present time. The emphasis will be upon films as art forms and upon the contributions of individual directors.,HUMN 4301 - HISTORY OF MOTION PICTURES,Completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
An examination of the impact of globalization on a broad range of art communities in an effort to understand how expanded international connections have yielded re-definitions of cultural and national identity.,HUMN 4343 - RENAISSANCE TO ROMANTICISM,Completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
"This course covers the history of American folk music from the work songs and spirituals of the 17th and 18th centuries to the folk revival of the 1960s. Numerous musical genres and traditions will be covered including gospel, minstrelsy, blues, ragtime, country, and bluegrass within various social, cultural, and political contexts. Matters of race, class, and gender will be given particular emphasis.",HUMN 4345 - HISTORY OF AMERICAN FOLK MUSIC,Completion of an English sequence,"Hybrid, Lecture,",Undergraduate,Humanities Social Sciences
"This course will explore the history and culture of Boston through its literature, its citizens, its environment, and its civic and political events. It will examine the sites associated with the readings and sites featured in the texts along with the texts themselves. There iwll be visits to places of interest including but not limited to the Back Bay, the North and West Ends, and some of the city's smaller museums and green spaces. The investigation of these local sites will aid in making connections between Boston and the larger human community.",HUMN 4355 - BOSTON VOYAGES BY BOOK & FOOT,completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
"This course will examine several of Shakespeare's plays as literature and then how these plays have been brought to film, both in their historic and artistic contexts. In the course of this examination, the nature of film, the nature of artistic interpretation, the significance of audience response and the significance of authorial intent will be considered.",HUMN 4373 - SHAKESPEARE ON FILM,Completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
,HUMN 4401 - CLASSICAL WORLD ON FILM,,Hybrid,Undergraduate,Humanities Social Sciences
"An exploration of how fiction and non-documentary film have addressed September 11, with particular emphasis on how works in these genres have portrayed the events of the day, the impact of the day on the United States and the world, and the mindset of the terrorists.",HUMN 4501 - 9/11 LITERATURE AND FILM,Completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
Presents topics in humanities or social sciences that are not covered by existing courses and are likely to change from semester to semester. Refer to the Class Schedule for a specific semester for details of offerings for the semester.,HUSS 3800 - SPECIAL TOPICS HUM/SOC SCI,Completion of an English sequence,"Lecture,",Undergraduate,Humanities Social Sciences
"Industrial Design Studio 1 develops a sensitivity and understanding of desgin principles through a series of three-dimensional projects. The design process emphasizes research, material preparation, iteration and verification of successful design outcomes against focused elements and princples for each project. Accurate craftsmanship and clear use of design nomenclature during critiques is stressed.",INDS 1000 - INDUSTRIAL DESIGN STUDIO 1,DSGN1000 - Drawing 1/Visualization 1 and DSGN1200 - Color and Composition,"Laboratory, Lecture",Undergraduate,Industrial Design
"Building upon the design foundations of Industrial Design Studio 1, Industrial Design Studio 2 advances an understanding of design principles through a thematic series of three-dimensional projects. The design process emphasizes research, material preparation, iteration and verification for each project, working toward a clear and meaningful design intent. Accurate craftsmanship and clear use of design nomenclature during critiques is stressed. This course reinforces nomenclature covered in INDS1000, Industrial Design Studio 1.",INDS 1500 - INDUSTRIAL DESIGN STUDIO 2,INDS1000 - Industrial Design Studio 1,"Laboratory, Lecture",Undergraduate,Industrial Design
"This class continues to develop concept and principles covered in DSGN1200, Color and Composition, through a series of projects. Topics include visual literacy, visual communication and the dominant methods of how visual messages convey meaning.",INDS 1750 - VISUAL COMMUNICATION,DSGN1200 - Color and Composition,"Laboratory, Lecture",Undergraduate,Industrial Design
"This course introduces students to perspective drawning and sketching used by industrial designers. One and two-point perspective, line value, lighting, surface value, shade, shadow, and techniques are covered.",INDS 1850 - VISUALIZATION 2: ADV PRSPECTIV,DSGN1000 - Visualization 1/Drawing 1,Laboratory,Undergraduate,Industrial Design
"This studio focuses on design methodology and problem solving techniques to develop and enhance creativity. Small-scale design problems in packaging, table, and desktop products are used to build individual skill development.",INDS 2000 - INDUSTRIAL DESIGN STUDIO 3,INDS1500 - Industrial Design Studio 2,"Laboratory, Lecture",Undergraduate,Industrial Design
"This introductory course develops basic model-making skills and the safe use of shop tools (hand and machine). Students will begin to construct study models in support of studio courses utilizing various papers, wood, metal, and plastics.",INDS 2300 - 3D REALIZATION I,INDS2000 - Industrial Design Studio 3,"Laboratory, Lecture",Undergraduate,Industrial Design
This course introduces students to advanced freehand drawing and format conventions used by industrial designers to communicate design concepts visually. Professional presentation skills are stressed.,INDS 2350 - VISUALIZATION 3: DRAW & THINK,INDS1850 - Visualization 2Advanced Perspective,"Laboratory, Lecture",Undergraduate,Industrial Design
"This design studio challenges the student to integrate previous design lessons in order to tackle more complex design problems. Manufacturing, user interactions, and advanced product aesthetics are covered.",INDS 2500 - INDUSTRIAL DESIGN STUDIO 4,INDS2000 - Industrial Design Studio 3,"Laboratory, Lecture",Undergraduate,Industrial Design
"This introductory/intermediate course develops the students' understanding of three-dimensional CAD utilizing NURBS based surface modeling techniques, and stresses a progression in constructional and visual problem solving skills.",INDS 2600 - CAD 1: SURFACE MODELING,,"Laboratory, Lecture",Undergraduate,Industrial Design
"This course develops students' three-dimensional visualization skills as related to the industrial design profession. Students will also investigate the appropriate use of metals, wood, plastics, specialty materials, and fabrication technologies to assemble study models for studio courses.",INDS 2800 - 3D REALIZATION 2,INDS2300 - 3D Realization 1. CorequisiteINDS2500 - Industrial Design Studio 4,"Laboratory, Lecture",Undergraduate,Industrial Design
This course advances the student's understanding of representing objects in three-dimensional freehand depictions and integrates the computer as a tool for refining and altering those depictions.,INDS 2850 - VISUALIZATION 4: PRES ILLUSTRA,INDS2350 - Visualization 3Drawing and Thinking,"Laboratory, Lecture",Undergraduate,Industrial Design
This course investigates a topic of special interest to faculty and students that is outside regular course offerings.,INDS 2990 - INDEPENDENT STUDY INDUS DES,Consent of department head and instructor,"Hybrid, Individualized Study, Laboratory, Lecture, Online",Undergraduate,Industrial Design
"This studio focuses on the comprehensive integration of small-scale design problems with issues of appearance, function, materials, and manufacturing processes. Please refer to the Design Studio Grade Requirement in the Academic Catalog regarding the final grade for this course. Prerequisite: INDS1000 - Industrial Design I: Studio.",INDS 3000 - INDUSTRIAL DESIGN STUDIO 5,,"Laboratory, Lecture",Undergraduate,Industrial Design
This intermediate course develops the students' understanding of three-dimensional CAD utilizing an industry standard parametric feature based solid modeler. This course stresses both visual and technical problem-solving skills.,INDS 3100 - CAD 2: SOLID MODELING,INDS2600 - CAD 1Surface Modeling,"Laboratory, Lecture",Undergraduate,Industrial Design
"Utilizing modeling software and various rapid prototyping (RP) systems, students will create a number of parts, including working mechanisms, and short run tooling. Students will also investigate the advantages and disadvantages of current RP technologies.",INDS 3150 - RAPID PROTOTYPING,,"Laboratory, Lecture",Undergraduate,Industrial Design
"Studies in the relationship of humans with products and equipment are explored. Methodologies, information output, human output, control, environmental conditions, and human factors applications are introduced.",INDS 3200 - HUMAN FACTORS IN DESIGN,,Lecture,Undergraduate,Industrial Design
This studio-based design course develops each student's awareness and understanding of the visual language that designers use to graphically communicate information and meaning - visual storytelling. Students investigate the use of typography and image to communicate meaning in singular and sequential representations.,INDS 3300 - INFORMATION ARCHITECTURE 1,INDS1750 - Visual Communication,"Laboratory, Lecture",Undergraduate,Industrial Design
"This studio-based design course focuses on various professional design concentrations such as sustainability, biomedical products, and exhibit design.",INDS 3500 - INDUSTRIAL DESIGN STUDIO 6,INDS3000 - Industrial Design Studio 5,"Laboratory, Lecture",Undergraduate,Industrial Design
"This course provides a basic knowledge of current manufacturing processes, materials, systems and production strategies commonly used in commercial product development.",INDS 3600 - MANUFACTURING IN DESIGN,,Lecture,Undergraduate,Industrial Design
"This course is an exploration of technologies currently available that provide the industrial designer with an advanced level workflow from 3D CAD modeling software through to rapid prototyping and tooling. Both additive and subtractive prototyping methods will be experienced utilizing laser cutting, 3D printing and CNC machining.",INDS 3650 - ADVANCED RAPID PROTOTYPING,"INDS2800 - 3D Realization 2, INDS2600 - CAD 1Surface Modeling, and INDS320 CAD 2 - Solid Modeling; Junior status","Laboratory, Lecture",Undergraduate,Industrial Design
"This studio-based course focuses various design themes such as consumer electronics, furniture, and footwear design.",INDS 4000 - INDUSTRIAL DESIGN STUDIO 7,INDS3500 - Industrial Design Studio 6,"Laboratory, Lecture",Undergraduate,Industrial Design
"Students take an in-depth look at selected movements, individuals, companies and/or product lines that are significant in the history of industrial design.",INDS 4011 - DESIGN PERSP: TOPICS IN HISTOR,Junior status,Lecture,Undergraduate,Industrial Design
"This studio focuses on social scale design problems such as biomedical, exhibit, and environmental projects. Student solutions that explore primary research are emphasized. Please refer to the Design Studio Grade Requirement regarding the final grade for this course.",INDS 4022 - INDUSTRIAL DESIGN V: STUDIO,INDS3077 - Industrial Design IVStudio,Laboratory,Undergraduate,Industrial Design
Students propose an area of study to faculty. Faculty define projects within area of proposed study for students to choose and develop a research document. This document becomes the basis for their Directed Studies design project.,INDS 4033 - DIRECTED STUDIES RESEARCH,,Lecture,Undergraduate,Industrial Design
This studio-based design course builds on the visual concepts introduced in Information Architecture 1. Projects focus on the visual display of qualitative and quantitative information in static and dynamic media.,INDS 4300 - INFORMATION ARCHITECTURE 2,INDS3300 - Information Architecture 1,"Laboratory, Lecture",Undergraduate,Industrial Design
"This course examines the business of design practice by focusing on client/project management, marketing, professional communication and entrepreneurship. Professional standards and ethics in design are discussed.",INDS 4500 - BUSINESS IN DESIGN,,Lecture,Undergraduate,Industrial Design
"The course examines business and legal aspects of Industrial Design practice by focusing on financial and project management, marketing, and personnel issues. Professional standards and ethics in design are discussed.",INDS 4511 - PROFESSIONAL PRACTICE,,Lecture,Undergraduate,Industrial Design
Students develop and complete their design projects based on their previous semester's research document. Individual student professional development is emphasized. Please refer to the Design Studio Grade Requirement on page 68 regarding the final grade for this course.,INDS 4522 - DIRECTED STUDIES STUDIO,INDS4022 - Industrial Design VStudio and INDS4033 - Directed Studies Research,Laboratory,Undergraduate,Industrial Design
"This seminar investigates the future of design and its impact on the planet, the responsibilities of the designer to society and the profession, and the expectations of graduates upon entering the field of design.",INDS 4533 - SENIOR SEMINAR,,Lecture,Undergraduate,Industrial Design
This class focuses on current design philosophies and professional trends in visual communication. Students debate and discuss the impact of such and speculate on the impact to the profession and the community at large.,INDS 4750 - SENIOR SEMINAR,,Lecture,Undergraduate,Industrial Design
"In this course, students propose an area of study to faculty, who then define projects within areas of proposed study for students to choose from and develop a research document. This document becomes the basis for the student's senior design project.",INDS 5000 - RESEARCH: SENIOR STUDIES,,Lecture,Undergraduate,Industrial Design
"This course is an independent capstone design studio focusing on an individual's ability to process design research, develop compelling design ideas, and manifest those ideas for presentation in a professional manner.",INDS 5500 - SENIOR STUDIES,INDS4000 - Industrial Design Studio 7,Laboratory,Undergraduate,Industrial Design
The focus of this course is a comprehensive study of regulatory issues that affect the design of interior spaces.,INTD 0515 - BUILDING REGULATORY REQS,,Lecture,Undergraduate,Interior Design
"The focus of this course is a comprehensive study of ""programming"", the systematic collection and documentation of project parameters including both quantitative and qualitative data. Students will also begin preparation for INTD0621 - Directed Studies Studio.",INTD 0570 - PROGRAMMING FOR INT DESIGN,,Lecture,Undergraduate,Interior Design
"Projects of advanced programmatic complexity are studied in context with institutional building types. Project resolution requires competent and creative solutions that explore and simultaneously resolve theoretical, artistic, technical, and practical issues concerning the integration of selected building systems. Please refer to the Design Studio Grade Requirement in the Academic Catalog regarding the final grade for this course.",INTD 0601 - INTERIOR STUDIO V,INTD 501 - Interior Studio IV,Laboratory,Undergraduate,Interior Design
"Following faculty approval of a ""project brief"" highlighting a building type, building program, and personal learning objectives, students are permitted to pursue the design of individually created projects. Please refer to the Design Studio Grade Requirement in the Academic Catalog regarding the final grade for this course. Prerequisite: INTD0601 - Interior Studio V.",INTD 0621 - DIRECTED STUDIES STUDIO,,Laboratory,Undergraduate,Interior Design
The elements and principles of design are introduced in this course. Application of these principles and various forms of organization are explored through two and three dimensional design exercises.,INTD 1000 - INTERIOR STUDIO I,,"Laboratory, Lecture",Undergraduate,Interior Design
The principles and elements of interior design are introduced and explored through a series of studio projects. Prerequisites: DSGN1200 - Color & Composition and INTD1000 - Interior Design Studio I.,INTD 1500 - INTERIOR STUDIO II,,"Laboratory, Lecture",Undergraduate,Interior Design
"Historical survey of major design periods in interior architecture and furnishings from antiquity to the late 19th century with emphasis on the artistic, cultural, political, social, economic, and technological conditions which affected their development.",INTD 1600 - HISTORY OF INTERIORS I,,Lecture,Undergraduate,Interior Design
"The basic principles and methods for drawing three-dimensional space are explored using a variety of media. Mechanical, freehand and digital methods for producing orthographic, paraline and perspective drawings are introduced as critical tools for understanding and representing interior design.",INTD 1750 - DRAWING II,,Laboratory,Undergraduate,Interior Design
The design process is explored using several short-duration interior design projects with simple programmatic requirements.,INTD 2000 - INTERIOR STUDIO III,INTD1750 - Drawing and INTD1500 - Interior Design Studio II,Laboratory,Undergraduate,Interior Design
"Interior finish materials and their applications are examined through various aesthetic, code, sustainability and functional selection criteria.",INTD 2100 - MATERIALS,,Lecture,Undergraduate,Interior Design
Intermediate drawing course exploring the production of interior architectural drawing using digital drawing software. Orthographic and three-dimensional drawing are produced. Emphasis is placed on the production of drawings for studio design explorations and presentations.,INTD 2250 - DRAWING III,INTD1750 - Drawing I,Lecture,Undergraduate,Interior Design
Exploration of the design process is contiued using project slightly larger in scale and programmatically more complex.,INTD 2500 - INTERIOR STUDIO IV,INTD2000 - Interior Design Studio III,"Laboratory,",Undergraduate,Interior Design
"Historical survey of interior architecture and furnishings from the late 19th century to the present with emphasis on the artistic, cultural, political, social, economic, and technological conditions which affected their development.",INTD 2600 - HISTORY OF INTERIORS II,INTD1600 - History of Interiors I,Lecture,Undergraduate,Interior Design
"An introduction to basic building systems: structural, conveying, fire protection, plumbing and water conservation.",INTD 2700 - BUILDING SYSTEMS I,,Lecture,Undergraduate,Interior Design
"Students explore rendering techniques and learn basic graphic design princples for presentations. Lectures and demonstrations cover rendering, three-dimensional drawing, basic typography and grid structures for layout. Projects apply these concepts to the creation of interior design presentation boards and student portfolios.",INTD 2800 - PRESENTATION TECHNIQUES,INTD2500 - Interior Design Studio IV,Lecture,Undergraduate,Interior Design
"Demonstrating their proficiency with the design process, students develop comprehensive solutions for a residential interior by synthesizing their expanding theoretical, aesthetic and technical knowledge, including sustainable design methodologies.",INTD 3000 - INTERIOR STUDIO V,INTD2500 - Interior Design Studio IV,Laboratory,Undergraduate,Interior Design
This course presents industry standard formats for selection and specification of construction materials. Selection criteria and specification formats for furniture are introduced.,INTD 3022 - MATERIAL AND FURNITURE SPECS,INTD275 - Technical Studies II. CorequisiteINTD3100 - Construction Documents,Lecture,Undergraduate,Interior Design
Construction documents include drawings and specifications that are used to communicate with a constructor and delineate the requirements for transforming an interior design into real space. CAD (computer aided design) and BIM (building information modeling) drawing methods as well as standardized large and small project format specifications will be explored to create drawing suitable for guiding a constructor through the construction process.,INTD 3100 - CONSTRUCTION DOCUMENTS,INTD2250 - Drawing II,Lecture,Undergraduate,Interior Design
"An introduction to basic building systems: HVAC (heating, ventilation, air conditioning), electrical, energy conservation, communication, security and acoustical design.",INTD 3200 - BUILDING SYSTEMS II,,Lecture,Undergraduate,Interior Design
"Through lectures and discussions, students examine psychological and social research that assesses the dynamic relationship between human behavior and the physical environment with an emphasis on interior spaces. Special populations may be discussed - the elderly, children, and the physically challenged.",INTD 3300 - BEHAVIORAL ASPECTS OF DESIGN,Junior status,Lecture,Undergraduate,Interior Design
"Projects of intermediate programmatic complexity for business office space are developed. Project resolution requires solutions that simultaneously resolve theoretical, aesthetic and technical concerns, including the use of sustainable design methodologies.",INTD 3500 - INTERIOR STUDIO VI,INTD3000 - Interior Design Studio V,Laboratory,Undergraduate,Interior Design
"This course is an in-depth study of interior illumination from aesthetic, technical, and functional points of view. Conceptual design and documentation, lamps, luminaries, color rendition, lighting calculations, and daylighting will be presented through lectures, projects, and site observation.",INTD 3522 - INTERIOR ARCH LIGHTING,INTD325 - Technical Studies III,"Laboratory, Lecture",Undergraduate,Interior Design
"Interior illumination is studied in-depth from aesthetic, technical and functional points of view. Conceptual design and documentation, lamps, luminaries, color rendition, lighting calculation and daylighting will be presented through lectures, projects and site observation.",INTD 3600 - LIGHTING,,Lecture,Undergraduate,Interior Design
Presents topics that are not covered by existing courses and are likely to change from semester to semester. Refer to the Class Schedule for a specific semester for details of offerings for the semester.,INTD 3800 - INDEPENDENT STUDY INTERIOR DES,,"Hybrid, Individualized Study, Laboratory, Lecture, Online",Undergraduate,Interior Design
"Projects of advanced programmatic complexity are studied. Project resolution requires competent and comprehensive solutions that explore and synthesize theoretical, aesthetic and technical issues, including the use of sustainable design methodologies.",INTD 4000 - INTERIOR STUDIO VII,INTD3500 - Interior Design Studio VI,Laboratory,Undergraduate,Interior Design
"A study of fabrics and their use in interior spaces that examines construction, coloring and printing techniques, finishes and properties of natural and manmade fibers. The quality, price, performance and maintenance of fabrics are discussed in relationship to their practical application and the governing safety regulations.",INTD 4022 - TEXTILES,,"Laboratory, Lecture",Undergraduate,Interior Design
"Building codes and standards applicable to construction and furnishings are introduced. Students will learn to identify various construction classifications and occupancy categories and to cross reference guidelines, tables and charts found in the building codes. Additional regulations including health codes, education and daycare, etc. are reviewed.",INTD 4100 - BUILDING REGULATIONS,INTD2700 - Building Systems I and INTD3200 - Building Systems II,Lecture,Undergraduate,Interior Design
"The course examines business and legal aspects of interior design practice by focusing on financial and project management, marketing, and personnel issues. Ethics and career path issues in design are discussed.",INTD 4600 - PROFESSIONAL PRACTICE,,Lecture,Undergraduate,Interior Design
"Students begin their senior capstone project developing a document that includes: a project statement; program, code and precedent research; and a site (building). The major focus is a comprehensive study of ""programming"": the systematic collection and documentation of project parameters including both quantitative and qualitative data.",INTD 5000 - SENIOR PROJECT: RESEARCH,INTD4000 - Interior Design Studio VII,Lecture,Undergraduate,Interior Design
"Using their Senior Project: Research document as a guide, students design a comprehensive project of their own selection. This capstone project requires students to demonstrate mastery of the design process and fulfillment of their established learning objectives.",INTD 5500 - SENIOR PROJECT: DESIGN,INTD4000 - Interior Design Studio VII and INTD5000 - Senior ProjectResearch,Laboratory,Undergraduate,Interior Design
"A study of the American short story. Content is variable. Literature is studied as a reflection of craft, culture, and ideas. Offered for College of Professional and Continuing Education students only.",LITR 1321 - AMERICAN SHORT FICTION,ENGL105 - English Composition and ENGL1550 - Literature and Composition,Lecture,Undergraduate,Professional Continuing Educ
"An exploration of modern and contemporary fiction, in which students will investigate how 20th century authors treat such themes as personal and social conflict, isolation, globalization, hope, and despair.",LITR 1435 - LITERATURE - 20TH CENTURY,ENGL1050 - English Composition and ENGL2550 - Literature and Composition,"Lecture,",Undergraduate,Professional Continuing Educ
"This course will examine imaginative literature such as mythology, fantasy, and science fiction, as both a reflection of the world in which it was created and as a reflection on the future of humankind.",LITR 1462 - FANTASY & SCIENCE FICTION,ENGL1050 - English Composition and ENGL2050 - Composition and Literature,Lecture,Undergraduate,Professional Continuing Educ
"This course covers a topic of mutual interest to the faculty and student, with material covered indpdendently of traditional lecture periods.",LITR 2990 - INDEPENDENT STUDY LITERATURE,Completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
,LITR 3797 - CLEP XXXX LITERATURE,,AP CLEP IB EXAM,Undergraduate,Humanities Social Sciences
This special topics course covers a facet of literature of the instructor's choosing.,LITR 3800 - SPECIAL TOPICS LITERATURE,completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
"Students will study various forms of poetry, and, as a result, be able to write their own poems based on their understanding of poetry as an art form.",LITR 4301 - POETRY WORKSHOP,"Junior standing, completion of an English sequence",Lecture,Undergraduate,Humanities Social Sciences
"Readings in poetry, fiction, and drama of the Post-World War II period. This course examines American literature and cultural history from 1945 to the present. The work of major writers will be studied to gain insights into the life of our times.",LITR 4351 - CONTEMPORARY LITERATURE,Completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
"Through the study of authors such as Remarque, Dostoevsky, Kafka, Sartre, and Hemingway, this course will assess the problems of alienation, isolation, and individual responsibility as they are confronted by modern man in the twentieth century.",LITR 4401 - 20TH CENTURY LITERATURE,Completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
This course will provide an opportunity for students to explore the works of selected American writers whose vision and artistry have given distinction to American literature. Certain 19th and 20th century authors will be selected by the instructor.,LITR 4451 - AMERICAN LITERARY CLASSICS,Completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
"What makes a good story? This course answers that question through both study and practice. Students will analyze short stories by prominent authors, become versed in the basic elements of fiction, and write their own short stories.",LITR 4461 - THE ART OF THE STORY,Completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
"This course explores the moder age through the written word. Through a broad survey of texts, including fiction, non-fiction, poetry and drama, we will draw connections between the modern human condition - the construction, experience, and consciousness of the ""self"" - and its literary expression. The period examined is the mid-19th to mid-20th century.",LITR 4471 - LITERATURE AND THE MODERN AGE,Successful completion of English sequence,Lecture,Undergraduate,Humanities Social Sciences
Readings in science fiction and fantasy including myth and legend and classic literature in the 19th and 20th centuries. The social implications of technology in the 20th century science fiction literature will be explored.,LITR 4601 - SCI FI FICTION AND FANTASY,Completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
"This course studies the form of the short story in the literature of Great Britian, the United States, and other nations. Content is variable. Stories are studied as a reflection of craft, culture, and ideas.",LITR 4651 - SHORT FICTION,Completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
"Students taking this course will study a variety of short novels by contemporary authors. Students will investigate how modern writers treat such themes as personal and social conflict, and visions of change and hope, as suggested by these authors.",LITR 4671 - MODERN NOVEL,Completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
"This course is designed to provide a basic understanding of present-day manufacturing processes. Through lectures, demonstrations, and practical applications, the student will be introduced to various manufacturing processes. Topics will include machine tools, welding, casting, sheet metal, and an introduction to numerical control programming.",MANF 1000 - MANUFACTURING PROCESSES,,"Laboratory, Lecture",Undergraduate,Mech Engineering and Tech
Students will utilize PC based industrial CAM software and Computer Numerical Control machines to produce machine tool programs and parts.,MANF 2000 - COMPUTER AIDED MANUFACTURING,MANF1000 - Manufacturing Processes,"Laboratory, Lecture",Undergraduate,Mech Engineering and Tech
"Topics in lean manufacturing, six-sigma, group technologies, automated systems, visual controls (5s) and production processes and planning will be covered.",MANF 3000 - MANUFACTURING ENGINEERING,MANF1000 - Manufacturing Processes and MANF2000 - Computer Aided Manufacturing,"Laboratory, Lecture",Undergraduate,Mech Engineering and Tech
"Algebraic operations and equations, exponents and radicals, polynomials and factoring, and introduction to the geometry of angles and triangles.",MATH 0900 - BASIC ALGEBRA,Placement through the College of Professional and Continuing Education,"Lecture, Online",Undergraduate,Professional Continuing Educ
"Algebra and trigonometry, including algebraic fractions, systems of linear equations, quadratic equations, literal equations, word problems and their solutions, right triangles, and vectors. Applications will be stressed.",MATH 1000 - COLLEGE MATHEMATICS,,Lecture,Undergraduate,Applied Mathematics
"Topics in college algebra including exponents, radicals, complex numbers, polynomials, factoring, algebraic fractions, equation solving techniques, an introduction to functions and their graphs, and linear functions.",MATH 1005 - COLLEGE MATH A,,"Lecture, Online",Undergraduate,Professional Continuing Educ
"This class provides additional enrichment applications for students enrolled in MATH1000, College Mathematics. Students will take a leadership role in this class to work on advanced application problems and look at how College Mathematics fits in with the rest of their major's curriculum.",MATH 1007 - APPLICATIONS IN COLLEGE MATH,MATH1000 - College Mathematics,Lecture,Undergraduate,Applied Mathematics
"A survey of elementary Euclidean geometry including lines and angles, measurement and units, properties of triangles, parallelograms, trapezoids, regular polygons, circles, conic sections, spheres, cylinders, pyramids, polyhedra, areas, and volumes.",MATH 1020 - PLANE & SOLID GEOMETRY,,Lecture,Undergraduate,Applied Mathematics
"This course is designed to introduce students to statistical concepts relating to engineering design, inspection, and quality assurance. Topics covered include probability, normality, sampling, regression, correlation, and confidence intervals in reliability.",MATH 1030 - STATISTICS & APPLICATIONS,,"Lecture, Online",Undergraduate,Applied Mathematics
"Topics in college algebra including functions and their graphs, composite and inverse functions, applied functions and variation, quadratic functions, exponential functions, logarithmic functions, systems of equations, and applications.",MATH 1035 - COLLEGE MATH B,"MATH1005, College Math A","Lecture, Online",Undergraduate,Professional Continuing Educ
"Topics in college algebra and trigonometry including the trigonometric functions, inverse trigonometric functions, trigonometric identities, trigonometric equations, and applications.",MATH 1065 - COLLEGE MATH C,"MATH1035, College Math B",Lecture,Undergraduate,Professional Continuing Educ
