title,desc
FR 101: Elementary French I,"A basic foundation in grammar with intensive oral exercises and interactive activities. Appropriate software, videos, films, and laboratory exercises emphasize oral/aural proficiency. Open to students who have had no French. Fall. Group: I."
FR 102: Elementary French II,"Continued emphasis on the development of communication skills (oral, aural, and written). The study of short texts introduces the language, life, and customs of France and francophone countries. Spring.Prerequisite: French 101 or the equivalent. Group: I."
FR 106/206 Language and Culture in France’s Chateaux Country,
FR 201: Intermediate French I,"Achieve oral/aural proficiency through a review of grammar, computerized language assignments, and also the reading and discussion of short texts by francophone writers. Laboratory sessions with appropriate software, tapes, videos, and films facilitate easy communication. Fall.Prerequisite: FR 101, FR 102, or equivalent. Group: I."
FR 202: Intermediate French II,"Written and oral expression through the study of cultural and literary texts by contemporary writers. Selected grammatical constructions and idiomatic expressions add meaningful dimension to language. Laboratory work includes computerized grammar, student recordings, and oral/aural exercises. Spring.Prerequisite: FR 201 or equivalent.Group: I."
FR 204 French for Spoken Communication,
FR 208: The Sounds of French: A Pronunciation Marathon (2 credits),"Within the context of short prose texts, poetry, and one-act plays, a study of simple French vowel sounds and basic intonation enhances oral expression and aural comprehension. This course is suitable for students with some knowledge of French who are eager to improve pronunciation and oral/aural skills. Offered selectively.Prerequisite: FR 101 or permission. This course may not be repeated. Group: I."
FR 211 Contemporary France,
"FR 220 Truth of Love, Love of Truth in French Literature and Cinema",
FR 245: Womens Voices from France and Francophone Countries,"Womens voices are beginning to take on new importance in the world, after centuries of traditional silence. The purpose of this course is to introduce students to the thoughts, concerns, and talents of women like Colette, Simone de Beauvoir, Marguerite Duras, Annie Ernaux from France, Mariama Ba from Senegal, Assia Djebar from Algeria, Marie Claire Blais from Canada, and Maryse Conde from Guadeloupe. Offered selectively.Prerequisite: FR 202 or FR 211, or permission. Students from francophone countries welcome. Group: I."
FR 248 Masterpieces of the French Short Story,
FR 250 French Literature of the Twentieth Century,
FR 259 Great Epochs of French Drama,
FR 284 French for the Professions,
FR 330 Poetic Inspiration: “Sonnet à Hélène” to “La Jolie Rousse”,
HI 111: United States History I,"Examines significant events, movements, and personalities of American national development from 1763 to the Civil War. Emphasis on the relationship between socioeconomic factors and political change. Introduction to the method of historical inquiry by the examination of evidence, the analysis of facts, the development of a narrative and interpretation.Offered selectively. Group: II.HI 112United States History IIExamines significant events, movements, and personalities in American history from 1865 to the present. The goal is to broaden understanding of the methods that historians use and the questions they ask, using the subject of American history.Offered selectively. Group: II.HI 115World History IThis course will identify and explore the development of distinct civilizations in a global context from approximately 1500 B.C.E. to 1400 CE. Our analysis will focus on the principal theme of the evolution of leading civilizations. As we move through history, we will consider topics like the following: the comparative roles of men and women in the major world religions, how women have participated in various societies and economies, and cultural contact and processes of assimilation and dominance. Fall. Group: II.HI 116World History IIThis course will identify and explore the major stages in the interaction between and among different peoples and societies around the globe from approximately 1400 CE to the present day. As we move through history, we will consider topics like the following: the comparative roles of men and women in the major world religions, how women have participated in various societies and economies, cultural contact and processes of assimilation and dominance, and the concept of a global community in the post-modern age. Spring. Group: II.HI 209The Immigrant ExperienceDiaries, memoirs, letters, autobiographies, and histories of immigrants reveal their precarious position in the United States. Expected to aspire to the American Dream of success and happiness, immigrants are often denied access to the means for achieving it. Special attention is given to the experience of first-generation immigrants, and through a community service component, students tutor and interview immigrants who are studying English at Pine Manor College. Offered selectively. Group: II."
HI 210: Voices from the Past: Oral History,"Studies the collection, interpretation, analysis, and use of oral history as a means to reconstruct the past. Oral history is approached as a component of a larger interdisciplinary approach to understanding the past. Examines related disciplines such as oral tradition, folklore, anthropology and gerontology. Offered selectively. Group: II."
HI 218: History of Race and Ethnicity in the Americas,"This course will offer an interdisciplinary approach to understanding the role of race and ethnicity in the development and histories of countries in the Americas. Beginning with theories of these two categories of identity and difference, we will explore the ways in which they evolved through examination of conquest, colonialism, slavery and racism, immigration, processes of assimilation, and defining American. Offered selectively. Group: II."
HI 220: African History,"Surveys African history from early states and ancient kingdoms through colonialism and independence up to the modern state. Emphasis will be on the continents diversity and cultural richness. African historiography from the perspective of interdisciplinary themes including social, economic, political, cultural and communications history will be examined. The role of archaeology and oral traditions in reconstructing the African past will be explored. The significance of African ecology and geography in shaping the continents history will be assessed. Offered selectively. Group: II.HI 221African-American HistoryThis course examines the experiences of peoples of African descent in the United States from the colonial era to the present. We will focus on a series of moments including the following: African cultures, Western European conquest of Africa and the global slave trade, the experience of African slaves throughout the Americas and the development of distinctive slave cultures, the role of slavery in the political, economic and social climate of the U.S., construction of an African-American identity, abolition and political status, the urban experience, the Harlem Renaissance, and the development of distinctively African-American styles of religion, music, art, and literature, political activism, and the Civil Rights Movement, African-American and Afro-Caribbean experiences in contemporary America. Offered selectively. Group: II.HI/HU 231Reflecting on Contemporary EventsExamination and discussion of articles in popular journals. This course encourages critical thought about issues and events shaping our world. Becoming an informed participant in contemporary history, rather than a mere spectator, is central to the course. Offered selectively. Group: I or II"
HI 252: Women in American History,"The story of American women, including the plantation mistress, the Puritan ordinary vs. disorderly woman, pioneer women and the overland journey, the treatment of slave women, the 19th-century industrial working vs. bourgeois woman, and the suffragists.Offered selectively. Group: II.HI 325History of American SexualityThis course examines the social and cultural history of sexual practices, societal and governmental regulation of sexuality, and the changing cultural meaning of sexuality from the 17th century to the present. We discuss the historical literature concerning the gendered meanings attached to sexual experiences, the history of marital sex, same-sex intimacy and homophobia, and the relationships between sexuality and race, disease, science, and religion. We also study sexuality as an important foundation for the social construction of gender and cultural difference.Offered selectively. Group: IIHI 490Senior SeminarThe Senior Seminar focuses on a particular subject or theme. Class discussions and seminar reports develop advanced research and analytical skills. Fall.HI 495Senior Internship: Self-Designed History MajorThe capstone to four years of study in the major, offering the student the opportunity to use her knowledge and skills in the workplace. Each student works 16 hours per week at an appropriate site chosen with regard to career intentions and focus within the major. Requires weekly on-campus meetings of all HI/AH 495 interns. Spring.IDS 389Empire and ResistanceRefer to description in Interdisciplinary Courses"
HI 391: Maritime History of New England,"The sea has shaped New England. This course surveys the seas legacy, from the earliest Indian fishery to the shipbuilding and commerce of today. Course themes include historical, political, and economic developments, with particular attention to insights gleaned from shipwrecks, time capsules of discrete moments from New Englands past. Classes include museum visits, a field session at a marine archeology site, and guest lectures on current research projects. Spring. Prerequisite: One course each in American History and in the Social Sciences, or permission. Group: II"
"HU 251: Time, Change, and Death: The Meanings of Mortality","An examination of various ways in which human beings attempt to come to grips with, and sometimes deny, the awareness of their mortality. Considers such questions as: How do human beings react to the awareness that they are going to die? What are some of the ways human beings express grief? How do dominant cultural attitudes toward aging and death influence individual attitudes toward these phenomena? Readings include philosophical, theological, and psychological material. Offered selectively.Group: I."
HU/HI 231: Reflecting on Contemporary Events,"Examination and discussion of articles in popular journals. This course encourages critical thought about issues and events shaping our world. Becoming an informed participant in contemporary history, rather than a mere spectator, is central to the course. Offered selectively. Group: I or II or IDS."
IDS 100: Special Projects (1 credit),"This 1-credit Special Project provides the student with the opportunity to participate in a Special Project particular to their individual interest(s) and/or career area. Special projects might be similar to a Directed Study, Independent Research or Internship, but are more limited in scope. While the content and structure of these projects will vary with each student and opportunity, all Special Projects must include an academic component and require 45 hours of work."
IDS 105 Environmental Studies from Global Perspectives,"This course includes the basic framework required for a sustainable future, discusses economics, politics and public policy on the environmental topics, and reviews basic ecology of living things.  In addition, it also includes topics relevant to human population and essential resources such as water, soil, crops, etc.  The focus is also in harnessing energy for human societies such as energy from fossil fuels, nuclear power, and renewable energy. The course also discusses global climate change, atmospheric pollution, water pollution, solid waste disposal, and hazardous chemical waste.  Students will learn a few laboratory tests related to water pollution and soil characteristics.  Offered Selectively. Group: IDS."
IDS 123: A World of Patterns: Mathematics in Nature and the Arts,"In this interdisciplinary course, the student examines the connections between the underlying scientific principles of number, ratio, and pattern in nature and how humans have employed them in a variety of ways. This course bridges the study of number, ratio, and pattern with the functional and symbolic numerical relationships underlying art, architecture, music, philosophy, religion, and science. Successful completion of this course fulfills the Pine Manor College quantitative reasoning requirement. Offered selectively. Group: IDS."
"IDS 141: Law, Literature, and Popular Culture","This course introduces students to themes of law and justice, and focuses on ways in which popular culture shapes and reflects our understanding of these themes. Topics include the image of lawyer as hero, villain, or fool; the pursuit of justice in movies and television; and the relationship between popular culture and the courtroom. The course draws from a variety of literary and contemporary works such as To Kill A Mockingbird, Inherit the Wind, Separate But Equal, A Civil Action, My Cousin Vinny, The Accused, The Verdict, The Pelican Brief, and television series such as Perry Mason, Ally McBeal, The Practice, and Judging Amy. Group: IDS."
IDS 145: Alternative Spring Break (2 credits),"In this course, students will engage in a one-week intensive, collaborative learning experience, during Spring Break, providing service for an area struck by either a natural disaster or by grave and on-going social/economic disadvantage (e.g., New Orleans or Appalachia). Prior to the trip, students will gain an understanding of the social, cultural and political context of the area to which they will be traveling and providing service. Students will also gain knowledge of the areas history, as well as its present condition. Following the trip, students will process their experiences and make a presentation to the Pine Manor College community. (Class meets for four weeks prior to and three weeks after Spring Break.). Spring. Application and permission required."
IDS 150: Techniques and Practices of Personal Finance,Each day we are surrounded with new choices and we need some basic tools to help us cope with these situations. This course will help students identify and evaluate these choices. Real-world cases will be studied for actual problem-solving. Materials presented will provide a framework for decision-making and will provide practical and tested tools to measure and/or predict possible outcomes. Group: IDS.
IDS 200: Inclusive Leadership and Social Responsibility (S-L)*,"This course is designed as a conceptual and experiential study of leadership for social change, drawing on concepts from sociology, psychology, and other related disciplines. Students become familiar with traditional and new leadership models, concepts, and skills, with particular emphasis on inclusive leadership processes and how they can be used to promote the common good. Through a variety of readings, discussion, and community projects, students have the opportunity to develop an awareness of their own leadership skills, abilities, and potential. Spring. Prerequisite: Sophomore status. Group: IDS.*Designated as a Service-Learning course. See the Service Learning course section."
IDS 201: Mentoring (2 credits),"This course assists the student in developing mentoring skills. Students will mentor youth in a one on one or group setting. In keeping with the colleges mission of inclusive leadership and social responsibility, the course will focus on developing leadership skill, interpersonal communication and service to the community. Issues related to mentoring will be examined through a combination of readings, discussions, papers, and reflections on field experience. The course can be repeated. Fall and Spring. Group: IDS."
IDS 202: Mentoring Practicum (2 credits) (S-L)*,This course is intended for students who have already successfully completed IDS 201: Mentoring. Students in this course have already been trained as mentors and have learned the skills necessary to be effective mentors. The purpose of this course is to allow students to continue the mentoring relationship they have developed and to provide them with an opportunity to reflect on an on-going mentoring relationship. They will use what they learned in the previous mentoring seminar to deepen their relationship with their mentee and take the relationship to the next level. The course can be repeated. Fall and Spring. Prerequisite: IDS 201 or permission. Group: IDS.*Designated as a Service-Learning course. See the Service Learning course section.
"IDS 222: Murder, She Wrote: Using Science to Solve Crimes","Introduces basic concepts in conventional forensic serology, forensic anthropology, forensic pathology, and bloodstain pattern analysis. In addition, techniques used in autopsy, time of death determination, decomposition, trauma, toxicology, drug identification, and DNA analysis will be considered. Case histories will be presented in order to determine how the pieces of data accumulated by analytical techniques are formulated into a final explanation by forensic scientists. Group: IDS."
IDS 250: Inclusive Leadership and Social Responsibility: Community Applications,"Building on the knowledge and practice of inclusive leadership and social responsibility which students gain in IDS 200, IDS 250 will have students taking a more in-depth look at the concepts of ilsr and, more specifically, how to utilize ilsr in their own lives and how to apply the concepts of ilsr in the service of a community partner, through a semester-long service-learning group project. Students will also explore further the role of diversity and conflict resolution in the practice of ilsr. Discussion topics will include the roles of both diversity and creativity in ilsr, systems thinking, the idea of common good, and challenges to inclusive leadership and strategies to overcome them. Offered Selectively. Prerequisite: IDS 200. Group: IDS."
"IDS 270: Culture, Consumption, and Identity","Focuses on the analysis of physical objects as they reflect and shape the values of society and the way we view our world. Objects are examined within the context of their function, appearance, and effectiveness from a host of different perspectives. Topics covered include: objects and artifacts in everyday life; what is cultural criticism; what is material culture; what is popular culture; the significance of fashion; advertisements and icons; malls and values. Offered selectively. Group: IDS."
IDS 290/390: Boston Through Its Writers,"See and explore Boston as you never have before! This interdisciplinary course focuses on Boston and the various cultural and socio-political forces that have defined it and shaped it over the years. Primary focus is placed upon literary works produced in Boston or which deal with Boston as a theme, including the work of John Winthrop, Phillis Wheatley, Henry Wadsworth Longfellow, Louisa May Alcott, and Henry James. This rich material will be organized into major historical periods, e.g. colonial, nineteenth century, etc., with an extensive analysis of the social and cultural history and art/architecture produced in each period. There will be field trips to various locations throughout Boston. Spring in alternate years. Prerequisite: Any lower-level AH, EN, HI, or SPS course or permission of the instructor. Group: IDS"
IDS 310: Contemporary Issues in Social Responsibility,"This course invites students to consider various aspects of the notion of social responsibility, as well as to identify and reflect upon various contemporary issues that present challenges for those who seek to live socially responsible, civically engaged lives. Offered selectively. Prerequisites: CC 112 and at least sophomore status or permission of the instructor. Group: IDS."
IDS 389: Empire and Resistance,"How are literary works related to the culture in which they are written and read? This general question takes a more particular form when we turn to Britain, the great imperial world power of the nineteenth and twentieth centuries. The course begins with a history of the rise and domination of British imperialism. It then considers several literary works in the historical context of imperialism in the West Indies, India, Africa, and Ireland. Two British novels (Jane Eyre and Heart of Darkness) are paired with later twentieth-century responses to them from Antigua and the Sudan (Wide Sargasso Sea and Season of Migration to the North). We will read each literary work along with historical texts to demonstrate how imperial movements and resistance to them shaped nineteenth- and twentieth-century culture. Offered selectively. Prerequisite: Any EN or HI course or permission of the instructor. Group: IDS"
IDS 390: Boston Through Its Writers,"See and explore Boston as you never have before! This interdisciplinary course focuses on Boston and the various cultural and socio-political forces that have defined it and shaped it over the years. Primary focus is placed upon literary works produced in Boston or which deal with Boston as a theme, including the work of John Winthrop, Phillis Wheatley, Henry Wadsworth Longfellow, Louisa May Alcott, and Henry James. This rich material will be organized into major historical periods, e.g. colonial, nineteenth century, etc., with an extensive analysis of the social and cultural history and art/architecture produced in each period. There will be field trips to various locations throughout Boston. Spring in alternate years. Prerequisite: Any lower-level AH, EN, HI, or SPS course or permission of the instructor. Group: IDS"
IDS 495: Senior Internship for Double Majors (8 credits),"This is a special internship designation for students completing the requirements for two majors simultaneously. A student completing a double major must find an internship site that satisfies the learning objectives of each major. She is required to complete her obligations to the site as she would for a single major internshipsixteen hours per week for twelve weeks. In addition, she must attend the internship seminars in each major and complete all of the work requirements of those seminars, such as papers, journals, etc. Offered as needed. Prerequisite: Senior status and approval by faculty in each major."
IDS/WS 213/313: Women and Detective Fiction,This course presents a critical survey of the history and dynamic nature of the genre of detective fiction using psychological theory as the lens for examining women detective fiction writers and characters of detective fiction through the past two centuries. Special emphasis will be placed on the development of the detective as an archetypal hero or heroine. Offered selectively. Group: IDS.
IN 195: Exploratory Internship (2 credits),"This 2-credit exploratory internship provides the student with the opportunity to investigate a field of work or career area. The internship must include an academic component and a total of 90 hours, between academic work, faculty engagement and supervised on-site hours. Students must submit written proposals outlining their internship one month prior to the start of the experience. Proposals need the approval of the Faculty Sponsor. Copies should be sent to the Director of Career Development. Scheduled as appropriate.IN 295Exploratory Internship (4 credits)An exploratory-level internship that provides an introduction to a field, that links academic studies with the world of work. The student spends a minimum of 8 hours per week for a semester on-site with a work supervisor and participates in a regularly scheduled seminar. Fall, Spring, and Summer. In certain circumstances, local summer internships may be available. Consultation with Dean of the College and the Director of Career Development is required by April 30.Prerequisite: Satisfactory completion of the first semester of the first year and approval from the Faculty Sponsor and the Director of Career Development.IN 495Senior Internships (6 credits)Required senior internships (495) are offered within each major. See appropriate major for specific information.IDS 495Senior Internship for Double Majors (8 credits)This is a special internship designation for students completing the requirements for two majors simultaneously. A student completing a double major must find an internship site that satisfies the learning objectives of each major. The student is required to complete obligations to the site as would be done for a single major internshipsixteen hours per week for twelve weeks. In addition, attendance at internship seminars in each major and completion of the work requirements of those seminars is required. Offered as needed. Prerequisite: Senior status and approval by faculty in both majors."
IR 399: Independent Research (2 credits),"Each student works with one faculty member and carries out a research project under faculty supervision, or works with faculty collaborating on research. Time commitment: 510 hours per week. May be repeated once for credit. Offered as needed. Prerequisite: Set by individual disciplines."
LS 220: Great Ideas in Science and Technology,"This course explores the world of ideas and their relationship to the development of technology. The course covers early ideas in the relationships of the planets and the earth through the modern concepts of computers and atomic technology. The course provides an historical view of the world of science and technology and its role in the advancement of peoples. This course is designed to satisfy the requirements for Massachusetts teacher licensure in elementary education. Offered Selectively.Group: IDS.LS 230World GeographyThis course explores the subject of geography in multidimensional ways. The world is discussed in spatial termshow to use maps to organize information regarding population and region. Physical systems are also discussedthe physical characteristics that affect population, migration, and economic interdependence. Places, regions, and their effect on the culture and experience of peoples are also explored. This course is designed to satisfy the requirements for Massachusetts teacher licensure in elementary education in its coverage of basic geographical principles and concepts, as well as related economic principles and concepts. Offered Selectively.Group: IDS."
LS 230 World Geography,"This course explores the subject of geography in multidimensional ways. The world is discussed in spatial terms—how to use maps to organize information regarding population and region. Physical systems are also discussed—the physical characteristics that affect population, migration, and economic interdependence. Places, regions, and their effect on the culture and experience of peoples are also explored. This course is designed to satisfy the requirements for Massachusetts teacher licensure in elementary education in its coverage of “basic geographical principles and concepts,” as well as related “economic principles and concepts.” Offered Selectively. "
MA 101: Foundations of Mathematics,"This course reinforces basic mathematical concepts and operations through a problem-solving approach. Basic mathematical concepts are illustrated through applications taken from real life and many academic disciplines. Major topics include fractions, decimals, and percents. Students then progress to MA 102, Essential Algebra, or another designated Quantitative Reasoning course, in order to complete the quantitative reasoning requirement. Fall and Spring.Prerequisite: Placement."
MA 102: Essential Algebra,"This course includes the study of exponents, solutions of linear equations, inequalities, factoring, coordinate geometry, and graphing. Emphasis is placed on problem-solving using algebraic techniques and practical applications. Successful completion of this course fulfills the Pine Manor College quantitative reasoning requirement. Fall and Spring. Prerequisite: MA 101 or placement. QR"
MA 103: Geometry and Measurement,"This course includes the study of measurement, lines, planes, angles, triangles, circles, polygons, and three dimensional objects. Emphasis is placed on utilizing intuitive geometric reasoning, visualization techniques, and practical applications. Deductive and inductive reasoning will be utilized, and an understanding of proof and logic is developed. Students will have the opportunity to engage in geometric construction using straightedges, compasses, and protractors. This course fulfills the Pine Manor College quantitative reasoning requirement. Fall and Spring.Prerequisite: MA 101 or placement. QR"
MA 105: Data Matters,"Do you buy lottery tickets? How likely are you to win? Is it true that the life expectancy in poor countries could be increased by giving televisions to the citizens of the countries? This course will prepare students to understand, present and assess statistical information, and to become critical and capable consumers of everyday statistics found in the news and in a variety of disciplines. Students who have completed MA 205 (Introduction to Statistics) may not enroll in MA 105. MA 105 will not replace MA 205 or BI 289 as a required course in the B.S. in Biology. Successful completion of this course fulfills the Pine Manor College quantitative reasoning requirement. Offered selectively.Prerequisite: MA 101 or placement. QR"
MA 108: Algebra II,"This course includes the study of polynomial and rational expressions, radicals, systems of equations, quadratics, and functions. Emphasis is placed on problem-solving using algebraic techniques and practical applications. This course fulfills the Pine Manor College quantitative reasoning requirement. Fall. Prerequisite: MA 102 or placement. Group: III. And QR"
MA 110: Precalculus,"In this course, students explore the basic concept of functions and relations. Topics covered include the properties and graphs of linear, quadratic, polynomial, exponential, logarithmic, and trigonometric functions. This course is strongly recommended for students planning to major in education or science. Spring .Prerequisite: MA 108 or permission. Group: III. And QR."
MA 115: Calculus I,"Students are introduced to the concepts of limits, continuity, differentiation of algebraic and trigonometric functions. The discussion of each of these topics includes the practical application of the mathematical concepts studied. Students have the opportunity to use graphing calculators to help create models and make reasonable predictions. Fall. Prerequisite: MA 110 or permission. Group: III. And QR"
MA 116: Calculus II,"Methods of integration are introduced. Other topics include differentiation and integration of inverse trigonometric, exponential, and logarithmic functions and improper integrals. Spring.Prerequisite: MA 115 or permission. Group: III. And QR"
MA 205: Introduction to Statistics,"The fundamentals of descriptive and inferential statistics, including the normal distribution, sampling distributions, estimation, hypothesis testing, analysis of variance, chi-square tests, and linear correlation and regression. Students learn to use statistical software. Each student completes an independent project involving the collection, presentation, and analysis of data. Offered selectively.Prerequisite: Sophomore standing and MA 102 or equivalent, or permission. Group: III. And QR."
MK 221: Marketing Principles,"Marketing is critical to the growth of any organization. MK 221 explores customer segmentation, product development, pricing, promotion, and distribution of products, services, and ideas. This course introduces students to the importance of the marketing concept and customer focus, as well as socially responsible marketing. Fall.Group: II.MK 322Marketing ResearchStudents learn the qualitative and quantitative tools and techniques used to answer questions about how best to meet the needs of a target audience. Topics includeresearch design, data collection methodologies, questionnaire construction, focus groups, analysis, and interpretation and reporting of research results. Spring, alternate years.Prerequisite: MK 221; Group: II.MK 324AdvertisingStudents study the advertising industry and explore the role of advertising agencies and how businesses use advertising, publicity, and sales promotion. Students study advertising from both an account and creative viewpoint and formulate advertising strategies and campaigns. Fall, alternate years.Prerequisite: MK 221 or permission. Group: II.MK 328Direct and Internet MarketingHow do you sell directly to the customer? Direct mail, catalog, TV home shopping, and the Internet are some direct marketing methods. Students learn to reach selected target markets and understand how to manage direct response programs within the framework of a companys overall marketing strategy. Social networking as a marketing tool will be a course component. Spring, alternate years.Prerequisite: MK 221. It is preferred that students have also completed MK 322 Marketing Research. Group: II.Courses offered selectively:MK 240 Sports MarketingMK 323 International MarketingMK 325 RetailingMK 327 Selling and Sales Management"
MN 101: Understanding Business in a Changing World,"This course provides an opportunity to learn the role business plays in society on a national and international level. Students will have the opportunity to explore their roles as consumers, employees, or investors. They will have the opportunity to learn about corporate socially responsibility. Students will also explore how global politics and economics impacts business strategy and management decisions. This course provides a useful link between liberal arts studies and the business world. Fall and Spring. Group: II"
MN 211: Management Principles,"The managerial activities of planning, organizing, leading, and controlling are examined as they are carried out at various levels in profit, nonprofit, government, and health care organizations. Concepts covered include; understanding the manager's job, strategic and tactical planning, organization design, analyzing and motivating performance, leading versus managing, managing teamwork, and controlling operations. Fall.Prerequisite MN 101 or permission. Group: II."
MN 220: Organizational Change: Strategies and Methods,"Organizational Change: Strategies and Methods is a multi-disciplinary course incorporating organizational change contracting, strategic change analysis and planning, intervention methods, and change skills development. The mission of the course is to introduce students to the world of facilitating organizational change as its actually practiced. There is a mix of course content in the form of change models based on an organizations needs and the methods used by practitioners to achieve planned change goals. There is also an emphasis on inclusive leadership, social responsibility, and communication skills typically required to manage and improve organizational effectiveness. The course would make use of lectures, case analysis, and experiential exercises. The course is specifically intended for students who are majoring, or are seriously considering a major, in Management and Organizational Change. Spring.Prerequisite: MN 101, MN 211, or permission. Group: II."
MN 260: International Business,"The effects of diverse political, economic, and social systems on global business are explored in this course. Students will examine the impact of multinational companies and how international business is managed in small and large organizations.Offered selectively.Group: II."
MN 270: The Nonprofit Organization,"This course exposes students to the role and scope of the nonprofit organization in our country. Specific topics include: voluntary organization management and leadership; inclusive leadership style; the dynamic functions and membership structure of nonprofit organizations, including staff, board, and other volunteer relations; governance and management of nonprofit organizations; resource mobilization; program development, management, and evaluation; scope of philanthropy; and the role of volunteerism in a democratic society. Offered selectively. Group: II."
MN 301: Human Resource Management,"Starting with the critical HR functions of recruitment, selection, training, performance analysis, and compensation in organizations, this course explores the range of behaviors and issues involved in managing an organizations most crucial resourceits employees. Topics covered include behavioral interviewing, mentoring, coaching, performance appraisal, affirmative action, sexual harassment, union/management relations, safety and health issues. Approaches to motivation and leadership in the workplace are explored. Fall, alternate years.Prerequisite: MN 211. Group II"
MN 304: Business Leadership and Organizational Behavior,"Organizations continue to grow more complex as mergers, acquisitions, and increasingly sophisticated technologies tie together far-flung domestic and international operations. This course provides learners with an understanding of the dynamics of organizations, as they explore management practices and new models of leadership, including the inclusive leadership model. Particular emphasis is placed on the importance of the business leaders style and its relationship to the effectiveness of the organization, both from an internal and external customer satisfaction standpoint. Using selected simulations, case studies, experiential exercises and readings, students explore how leaders operate in organizations as they accomplish goals, and adapt to change. Spring.Prerequisite: MN 211. Group: II."
MN 328: Entrepreneurship,"What is involved in starting a new business venture? Students learn about the start-up process, including how to assess opportunities, obtain financing, and plan for launching, managing, and growing a new business. Preparing a detailed, written business plan is a key component of this course. The focus is on starting a small business. Fall, alternate years. Prerequisite: MN 211 Group: II."
MN 341: Business Law,"A variety of legal principles and considerations affecting business operations are explored. Specific areas of the law covered include forms of business organization, contracts, personal injury law (including product liability), labor and employment law, consumer protection, and real estate law. Spring, alternate years.Prerequisite: Sophomore status or permission. Group: II."
MN 351: Methods for Managerial Decision Making,"This course exposes students to the quantitative techniques and qualitative ideas necessary for managerial problem-solving and decision making. In the context of Total Quality Management, students learn managerial concepts, analytical tools, and team skills. MN 351 is a core requirement for the major in Management and Organizational Change. Fall 2011. Spring.Prerequisite: MN 211 or permission Group: II."
MN 490: Senior Seminar in Business and Management,The capstone course in the Management and Organizational Change Program serves to integrate the knowledge and skills gained through the development of managerial and organizational change strategies to ensure the character and success of profit and nonprofit organizations. Fall.Prerequisite: Senior status. Group: II.
MN 495: Senior Internship (6 credits),"The internship provides a carefully selected work experience in an organizational setting related to each students special interests and career goals. Interns work a minimum of 16 hours per week at corporate or nonprofit sites where they acquire and enhance their career skills. A required seminar focuses on issues arising in the workplace. Students keep a journal, read articles related to their work experience, and consolidate their learning in class discussions. Spring.Prerequisite: Senior status or permission of the Department. Group: II."
MU 100: Voice Ensemble (1 credit),"The Pine Manor Voice Ensemble gives students the opportunity to be part of a small choral ensemble on campus.  Members collaborate to learn a program of diverse music from a spectrum of styles and cultures.  Students focus on singing and performance techniques, while preparing for the presentation of choral music; there will be several opportunities to perform throughout the academic year.   Prerequisite:  Audition or permission."
MU 101: Introduction to Music,"Emphasizing informed and perceptive listening, this course introduces students to the elements of music: melody, rhythm, harmony, texture, color, and form. In addition, students explore repertoire and musical styles representing a variety of cultures and their historical, social and political contexts. Fall. Group: IV. "
MU 121: Music in Live Performance,"Students will prepare for and attend seven concerts in the Boston area, each representing different styles and forms of music from classical, musical theater, world and jazz repertories. Class time is devoted to the acquisition of background information about various types of music, preparation for concerts, and discussion of past performances. Minimal ticket and transportation fee. Spring. Group: IV. "
MU 141: Singing I (2 credits),"Students learn the fundamentals of good singing, from breathing and posture to the basics of sight-reading. The class will prepare and perform appropriate ensemble works ranging from classical and folk, to gospel and popular styles. Fall. Group: IV.** "
MU 142: Singing II (2 credits),This is a continuation of MU 141 Singing I. Spring. Prerequisite: MU 141 or permission of the instructor. Group: IV.** 
MU 153-154: Vocal Performance (First year’s study),"Students in the first year of Vocal Performance class will master a set of vocal exercises and learn the basics of vocal production including breathing, posture, intonation, and diction. They will learn to blend their voices in a section and balance their section with others when singing harmony. A vocabulary of musical terms and symbols will be covered, and students will begin the process of learning to read music. They will also learn choral discipline. "
MU 200: Making Music,"Through this introduction to the language of music, students will learn the basics of rhythm and pitch, music notation, the structure of the keyboard, the nature of intervals, major and minor scales and keys, and the structure and relationships of diatonic triads. A primary goal will be ear-training through performance exercises and creative activities. Students will also learn to create music through Garage Band, a program for Mac computers. MU 200 is designed for singers, instrumentalists, future teachers who may use music to work with children, would-be composers and music minors who wish to become musically literate. The course is open as well to any other students who would like to increase their appreciation of all styles of music through a greater understanding of the basics. Spring, alternate years. Group: IV. "
MU 250: American Popular Music,"American Popular Music is a historical survey covering the most important popular styles of music beginning in the early 20th century to the present.  Blues, rock n roll, pop, disco, country, folk, heavy metal, rap, and hip-hop will all be explored along with important composers and performers.  Critical listening skills will also be developed.  The course further investigates how popular music, as an art form, has been a creative outlet for musicians/poets and has brought specific genres of music to the masses.  Group: IV. "
MU 253-254: Vocal Performance (Second year’s study),"Students in the second year of Vocal Per-formance class will continue to build on the skills gained the previous year. They will begin to take a leadership role within their section, sharing their knowledge and setting an example for new students. "
MU 353-354: Vocal Performance (Third year’s study),Students in the third year of Vocal Per-formance class will continue to build on skills and knowledge gained in previous years. They will be expected to become leaders within their sections by leading sectional rehearsals and helping and encouraging newer students. 
MU 453-454: Vocal Performance (Fourth year’s study),"Students in the fourth year of Vocal Performance class will continue to build on skills and knowledge gained the previous years. They may take a leadership role within the entire group. Some ways in which the student might exercise their leadership role might be to work with the director to plan a program, teach a song to the class, or learn to conduct a song in the concert. "
