Course Title,Course Description,Course Area,Credit,Course Num
 Modeling and Simulation of the Physical World ,"This course provides an introduction to mathematical modeling and computer simulation of physical systems. Working with a broad range of examples, students practice the steps involved in modeling and analyzing a physical system, learn the role of models in explaining and predicting the behavior of the physical world, and develop skills with the programming and computational tools necessary for simulation. Students work in a studio environment on increasingly open-ended projects, and learn how to present their results, with an emphasis on visual and oral communication.  (This course is taken with SCI1111.)",MTH1,"
2 MTH ",111 
 Discrete Math  ,"Topics for this course include combinatorics, number theory, graph theory, an emphasis on creative problem solving, and the ability to read and write rigorous proofs.",MTH2,"
4 MTH ",110 
 Probability and Statistics  ,"An introduction to probability and statistics, with applications to science, engineering, and social science. Topics include discrete and continuous probability distributions; moments; conditional probability; Bayes' Rule; point and interval estimation; hypothesis testing.",MTH2,"
2 MTH ",130 
 Data Science  ,"Data Science lies at the intersection of statistics, machine learning, database design, and data visualization. The goal of this class is to prepare students to work on data science projects that involve collecting data or finding data sources, exploratory data analysis and interactive visualization, statistical analysis and machine learning, predictive analytics, model selection, and validation. Class work includes a substantial project on a real world application of the students' choice; projects might involve work with a social change organization like those on DataKind, or participating in a competition like those on Kaggle.",MTH2,"
2 MTH ",131 
 Bayesian Inference and Reasoning ,"This course is an introduction to probability and statistics, with applications to mathematics, science, and engineering. The approach is Bayesian and emphasizes making decisions based on incomplete information. Topics include discrete and continuous probability distributions, conditional probability, prior and posterior probabilities, hypothesis testing, Shannon information, decision making, history of the Bayesian approach, and its advantages over the orthodox (frequentist) approach. Applications include: p values and confidence intervals, statistical mechanics and entropy, the Monty Hall problem, code breaking, plausible reasoning in mathematics, how Laplace estimated the mass of Saturn, and playing games of imperfect information such as blackjack or Mastermind.",MTH2,"
2 MTH ",132 
 Computational Bayesian Statistics ,"Bayesian statistics provide a powerful toolkit for modeling random processes and making predictions. The ideas behind these tools are simple, but expressing them mathematically can make them hard to learn and apply. This class takes a computational approach, which allows students with programming experience to use that knowledge as leverage. Students will work through a series of exercises in the book, Think Bayes, and help develop new material.",MTH2,"
2 MTH ",133 
 Regional Analysis in Development  ,This course provides valuable preparation for students planning to enroll in ENGR 3290/4290 Affordable Design and Entrepreneurship (ADE) or perform research or work in international development. Wellesley and Babson students are encouraged to enroll.,MTH2,"
2 MTH ",134 
 Introduction to Mathematical Modeling ,"Through this codependency, knowledge of the specific discipline is better understood through the development of a mathematical description and its solution. Often, these descriptions are appropriate over a wide range of disciplines well beyond the original context of the first problem. Over the seven-week session, we look at individual cases in biology, chemistry, physics, fields of engineering and business to see how to formulate a mathematical description, and the techniques used for its solution. The course follows a case-study format, with modeling subjects chosen from the media (for example, the Science Times section of the New York Times).",MTH2,"
2 MTH ",160 
 Designated Alternative in Mathematics ,Designated Alternatives in Mathematics courses (MTH X188) typically cover mathematical topics in a required subject.  Offerings under this title provide approved substitions for an Olin requirement. They vary from semester to semester and are intended to expand the selection of offerings.,MTH2,"
4 MTH ",188 
 Designated Alternative in Mathematics ,Designated Alternatives in Mathematics courses (MTH X188) typically cover mathematical topics in a required subject.  Offerings under this title provide approved substitions for an Olin requirement. They vary from semester to semester and are intended to expand the selection of offerings.,MTH2,"
Variable Credits MTH ",188A
 Designated Alternative in Mathematics ,This course provides valuable preparation for students planning to enroll in ENGR 3290/4290 Affordable Design and Entrepreneurship (ADE) or perform research or work in international development. Wellesley and Babson students are encouraged to enroll. This course is taken in conjunction with ENGR2199B: Special Topics in Engineering and Mathematics: Regional Analysis for Development; 2 credits (Mur-Miranda).,MTH2,"
Variable Credits MTH ",188B
 Special Topics in Mathematics  ,"An intriguing phenomenon in mathematics is the occurrence of patterns and order in situations that seem inherently disordered. Within any large network, there are clusters that show uniform behavior; among the prime numbers, we can find arbitrarily long sequences that are evenly spaced; even chaotic dynamical systems, such as those giving rise to fractal images, are fundamentally deterministic. In this course we will survey some mathematical results that illustrate the phenomenon of structure in randomness', and explore their causes and applications. There are no prerequisites for taking the course except curiosity about the subject matter. Student input is strongly encouraged; if you have questions or suggestions, please email the instructor.",MTH2,"
Variable Credits MTH ",199 
 Linearity I  ,"The fundamentals of linear algebra and differential equations are taught through the lens of discrete- and continuous-time dynamical systems.  Applications such as population ecology, mechanics and dynamics, circuits, networks, information processing and/or other areas relevant to engineering will be stressed.",MTH2,"
4 MTH ",210 
 Linearity II  ,"An intradisciplinary approach that builds upon material covered in Linearity 1 to address topics in vector calculus and introductory partial differential equations.  Topics include functions of more than one variable; vector-valued functions; gradient, divergence, and curl; boundaryvalue problems; and solutions to common partial differential equations.  Emphasis on both numerical and analytical approaches.  Note: students who have previously taken multi-variable calculus should consult with mathematics faculty to determine whether taking Linearity 2 is appropriate for their needs.",MTH2,"
4 MTH ",220 
 Linearity II Project Based Approach with Electricity and Magnetism,"and Magnetism using a project based approach. Linearity II is intradisciplinary in nature and builds upon material covered in Linearity I to address topics in vector calculus and introductory partial differential equations.  Topics include functions of more than one variable; vector-valued functions; gradient, divergence, and curl; boundaryvalue problems; and solutions to common partial differential equations.  Emphasis on both numerical and analytical approaches.",MTH2,"
2 MTH ",220A
 Partial Differential Equations  ,"An introduction to the solution methods of partial differential equations that arise in describing a wide variety of problems in engineering, such as in fluid dynamics, elasticity, electromagnetic wave propagation, and transport phenomena. The course begins with the solution of boundary-value problems in ordinary differential equations (Sturm-Liouville theory), and then develops into the fundamentals of Fourier analysis and the solutions to the heat, wave, and Laplace's equations on finite and infinite domains. Additional topics will be addressed at the discretion of the instructor(s), examples of which include systems of hyperbolic equations, similarity solutions in infinite domains, or a brief introduction to numerical solutions.",MTH3,"
4 MTH ",120 
 Mathematical Analysis  ,"An introduction to real analysis; construction of the real number system; metric spaces and metric topology; compactness; connectedness; functions. Emphasis on mathematical rigor, logic, and proof.",MTH3,"
2 MTH ",130 
 Error Control Codes  ,"Error-control codes are used to detect and correct errors that occur when data are transmitted across a noisy channel. This course provides an introduction to error-control codes, including linear, cyclic, binary, and non-binary codes. Mathematics such as modular arithmetic and introductory ring and field theory will be introduced and used extensively. Students must simultaneously enroll in MTH 3140 and ENGR 3140 for a total of 4 credit hours.",MTH3,"
2 MTH ",140 
 Numerical Methods and Scientific Computing ,"The speed of modern computers has allowed simulation to become a very powerful tool in the design and analysis of systems in science and engineering. This power is easily misused and scientific computing is full of pitfalls. This course introduces students to methods useful for accurately simulating complex systems in the physical sciences and engineering. The first half of the course focuses on iterative techniques for solving algebraic systems, interpolation of functions, and advanced techniques for solutions to ordinary differential equations. The second half of the course focuses on an introduction to solutions to boundary-value problems and solutions to partial differential equations, with the students required to choose an application in science and engineering to solve in detail.",MTH3,"
4 MTH ",150 
 Intro to Complex Variables  ,"This course provides an introduction to the analysis of functions in the complex plane. Topics include the Cauchy-Riemann equations, conformal mapping, Cauchy-Goursat theorem, Taylor-Laurent series, the residue theorem, Nyquist criterion, continuation of analytic functions, and applications in science and engineering.",MTH3,"
4 MTH ",160 
 Nonlinear Dynamics and Chaos  ,"This course will focus on the modern theory of dynamical systems including both discrete and continuous processes. The course will emphasize both theory and applications. Theory topics might include, for example, linear and nonlinear stability theory, periodic solutions, bifurcation theory, chaos, and strange attractors. Applications discussed might include, for example, mechanical oscillators and biological oscillators.",MTH3,"
4 MTH ",170 
 Special Topics in Mathematics  ,Special Topics in Mathematics classes (MTH X199) typically cover a specific topic in Mathematics and are intended to enhance and expand the selection of offerings from semester to semester.,MTH3,"
Variable Credits MTH ",199 
 The Olin Internship Practicum  ,"Students get the best preparation for their career by obtaining real life experience, preferably in a work setting. This course would require an international student (F-1 visa status) seeking this type of meaningful, career-building internship to receive the necessary career preparation by way of PGP workshops, obtaining the necessary internal authorizations, and completing, along with their employer, a final work experience evaluation. At least 100 work hours would be required at the internship. In addition, the student must participate in at least two Post Graduate Planning workshops. If two of these are not available, the student may take similar, related workshops, or meet with PGP individually to cover the required material.",OIP1,"
1 ADMN",000 
 Olin Introductory Experience  ,"This course aims to introduce and develop skills that facilitate a successful transition into Olin. This course will cultivate critical and creative thinking skills, self reflection, teamwork, leadership, and intrapersonal relationships with peers, faculty, and staff. This course is required.",OIE1,"
1 OIE ",000 
 Modeling and Simulation of the Physical World ,"This course provides an introduction to mathematical modeling and computer simulation of physical systems. Working with a broad range of examples, students practice the steps involved in modeling and analyzing a physical system, learn the role of models in explaining and predicting the behavior of the physical world, and develop skills with the programming and computational tools necessary for simulation. Students work in a studio environment on increasingly open-ended projects, and learn how to present their results, with an emphasis on visual and oral communication.  (This course is taken with MTH1111.)",SCI1,"
2 SCI ",111 
 Electricity and Magnetism  ,"Electricity and magnetism, including electric charges, forces, and fields, Gauss's Law, potential, electrostatic energy and capacitors, magnetic fields and energy, mutual and self-induction, Ampere's Law, Maxwell's Equations and electromagnetic waves.",SCI1,"
4 SCI ",121 
 Electricity and Magnetism with Laboratory ,see information under SCI1121,SCI1,"
4 SCI ",121A
 Mechanics  ,"This class is intended to help improve command of mechanics in the realm of ""big"" and ""slow"" stuff (i.e, the world of things that are larger than 10-10 meters and slower than 107 meters per second, which covers pretty much everything we deal with on a daily basis). We'll also be reinforcing some of the skills introduced in ModSim (abstracting models, implementing, validating, and using the models to do work). On the communication front, this flavor will focus on technical writing skills  so expect to be doing some writing! The mixture of work will include some relatively focused problem solving, some more ambiguous open-ended diagnostics, some writing practice, some reflecting and mind mapping, and a major project at the end of the course. Because students generally come in with a wide range of backgrounds, and a wide range of interests, this class will be designed to allow students customize their learning while, at the same time, making sure that everyone gets the core knowledge that will be needed in future courses.",SCI1,"
4 SCI ",130 
 Foundation Topic in Physics  ,Special Topics in Physics classes (SCI X199) typically cover a specific topic in Physics and are intended to enhance and expand the selection of offerings from semester to semester.,SCI1,"
4 SCI ",199 
 Principles of Modern Biology (with laboratory) ,"In this survey course we learn fundamental principles of biology in a journey through the field from themolecular to systems levels. We examine different classes of biological problems and interactions acrossmultiple scales through reading and discussion of primary and secondary literature from the field. We drawon examples from the environment, microbiology, biomimicry, and current events. Through analysis ofnumerous examples we uncover key principles of biology, a toolkit of which can be applied towardsexamining and solving multifaceted problems. Projects include examination of biology in the context ofsystems and exploration of ways in which biology informs interdisciplinary problem solving. Through projectsand work in the laboratory students develop a practical and foundational understanding of biologicalprinciples and practice.",SCI1,"
4 SCI ",210 
 Principles of Modern Biology with Lab ,"Six Microbes that Changed the World is an interdisciplinary course taught by Jean Huang and Rob Martello this fall.We will use six influential microbes as a window into a rich study of the interactions between science and societal context.This course will connect biological and historical knowledge through discussions, integrated assignments, presentations, and hands-on laboratory activities.We are looking for a motivated group of students to join us in this experimental course; lets explore the thrill of biology and history, together.",SCI1,"
4 SCI ",210A
 The Olin Conductorless Orchestra ,"The Olin Conductorless Orchestra (OCO) - an ensemble, minus conductor - features instrumentalists in leadership and collaborative roles. Dedicated to orchestral performance in the concerted spirit of chamber music, the orchestra forges individual participation, active listening,and group-motivation into performances that have established it as the only conductorless orchestra of its kind at an American college. (A student can apply up to 4 OCO credits to the 28 required credits in AHSE, or can petition to apply up to 4 OCO credits to the AHS concentration. Any additional credits, i.e., more than 4, earned by a student enrolling in OCO will show up as additional AHS credits, but will not count toward satisfying the requisite 28 credits in AHSE.)",AHSE,"
1 AHSE",0112
 Human Genetics and Genomics with Laboratory ,"While the core concepts amongst the versions of Principles of Modern Biology are held in common, the emphasis in this section is on human genetics and genomics. We will explore how the mechanisms of evolution unite all of biology and this will be a common theme throughout the semester. The classical mechanisms and molecular underpinnings of genetic inheritance will be investigated as well as an in-depth study more complex events that influence the outward expression of genes. Ethical implications of genetic manipulations such as CRISPR technology and diagnostic testing will be discussed in depth. Genomics examples from the human, and canine genomes including the latest breaking findings in genetics and genomics will be studied. How geneticists think and work in the laboratory as professionals is explicitly demonstrated through actual student laboratory experience and discovered implicitly through selected case studies.",SCI1,"
4 SCI ",220 
 Think Like a Biologist with Laboratory ,"In this survey course we learn fundamental principles of biology through a journey through the field from the molecular to systems levels.   We examine different classes of biological problems and interactions across multiple scales through reading and discussion of primary and secondary literature in the field.  We draw on examples from the environment, microbiology, biomimicry, and current events.  Through analysis of numerous examples we uncover key principles of biology, a toolkit of which can be applied towards examining and solving multifaceted problems.  Projects include examination of biology in the context of systems and exploration of ways in which biology informs interdisciplinary problem solving.  Through projects and work in the laboratory students develop a practical and foundational understanding of biological principles and practice.",SCI1,"
4 SCI ",230 
 Designing Better Drugs with Laboratory ,"This class addresses the engineering grand challenge of 'Engineering Better Medicines'.  In this class, students will learn to apply concepts and laboratory skills that are currently used in biological research to solve problems in health and disease and drug discovery and development. Students will also develop skills in technical writing and oral communication, and they will gain experience with the basics of designing, conducting and evaluating laboratory experiments. Students will demonstrate an understanding of the larger societal context in which biological concepts, tools and research play a role in everyday life and medicine, and how societal context shapes the advancement of research in biology and medicine.",SCI1,"
4 SCI ",240 
 Six Microbes that Changed the World with Laboratory ,"Penicillium.  Vibrio cholerae.  Escherichia coli.  Yeast.  The Archaea.  Microbes surround us, and impact our lives, our health, our societies, and our environment.  Research with microbes, the smallest of all living creatures, has enabled discovery and understanding of the fundamental workings of life, opens up rich historical narratives of diseases and cures, and may provide sustainable solutions to problems we face from bioremediation to bioenergy.  We will use six influential microbes as a window into a rich study of the interactions between science and societal context.  This course connects biological concepts and historical knowledge through discussions, integrated assignments, presentations, and hands-on laboratory activities. Let's explore the thrill of biology and history, together.",SCI1,"
4 SCI ",250 
 Introduction to Chemistry (with laboratory) ,"People, institutions, and cultures are intricately connected with the natural environment, and these connections are the source of profound scientific and historical insights. Certain combinations of values, technologies, and policies lead to a symbiotic relationship benefiting humans and the natural world. But this relationship often takes a darker turn into natural resource exploitation and environmental degradation, with the potential for catastrophic results. In this course, we will take a holistic look at anthropogenic (humanderived) impacts on the environment, considering the historical, social, and political context surrounding environmental disasters and opportunities at local and global scales, while using chemistry, physics, and engineering to understand the fundamental physical basis of the humanenvironment relationship (giving particular emphasis to aqueous and gasphase chemical processes). Chemistry in Context is being developed and offered for the first time by Rob Martello and Scott Hersey as an eight credit course (4 SCI + 4 AHS credits) that satisfies Olins chemistry and materials science requirement. The pioneering students who enroll in Chemistry in Context will participate in the course design process by helping us locate readings, choose different assignments (including at least one project), and design laboratory exercises that you will then carry out. If you join us, you will not merely witness history and science you will make it!",SCI1,"
4 SCI ",310 
 Special Topics in Chemistry  ,Special Topics in Chemistry classes (SCI X399) typically cover a specific topic in Chemistry and are intended to enhance and expand the selection of offerings from semester to semester.,SCI1,"
Variable Credits SCI ",399 
 Materials Science and Solid State Chemistry (with laboratory),Course flavors will be differentiated by the appropriate letter as a prefix to the section. The course number will be SCI 1410 for all versions.,SCI1,"
4 SCI ",410 
 Materials Science and Solid State Chemistry with lab ,"

",SCI1,"
4 SCI ",410A
 Bayesian Inference and Reasoning ,"This course is an introduction to probability and statistics, with applications to mathematics, science, and engineering. The approach is Bayesian and emphasizes making decisions based on incomplete information. Topics include discrete and continuous probability distributions, conditional probability, prior and posterior probabilities, hypothesis testing, Shannon information, decision making, history of the Bayesian approach, and its advantages over the orthodox (frequentist) approach. Applications include: p values and confidence intervals, statistical mechanics and entropy, the Monty Hall problem, code breaking, plausible reasoning in mathematics, how Laplace estimated the mass of Saturn, and playing games of imperfect information such as blackjack or Mastermind.",SCI2,"
2 SCI ",032 
 Art of Approximation in Science and Engineering ,"For historical reasons, our courses are organized by disciplinary area, be it mechanics, calculus, differential equations, or molecular biology.  However, there are modes of reasoning that span many areas of science or engineering.  Nine such crosscutting modes of reasoning are the focus of the proposed course.  The nine modes group themselves into three approaches to the complexity of the world:  (1) organizing the complexity (for example, with divide-and-conquer reasoning); (2) discarding apparent complexity (for example, with symmetry or dimensional analysis); and (3) discarding actual complexity (for example, by approximating with spring models or lumping).",SCI2,"
4 SCI ",050 
