description,title,Notes,Cross Listed Courses,credits,college,Corequisite,department,Prerequisite
"A capstone course for Expressive Arts therapy students where students produce a culminating project demonstrating their ability to integrate artistic modalities, research an expressive arts therapy theme of their choice, apply the knowledge gained to a method of practice, and then present their research through both a paper and a performance art presentation. Readings, group discussions, studio practice and processing of the art-making experiences will be utilized. Student must achieve a minimum grade of ""C"" to fulfill the requirements of the major.",CEXTH 4623 Arts-Based Research and Performance in Expressive Arts Therapy,,,3,College of Liberal Arts and Sciences,,CEXTH - Expressive Arts Therapy,"CEXTH 2623 , CEXTH 3506 , CEXTH 3623 , Senior standing "
"The student works under the supervision of an experienced professional in an approved clinical site with an expressive arts therapy focus for 180 hours throughout the semester or summer term. This experience is supported by a faculty led professional development seminar to reflect on the practice issues observed over several internships and to relate student experiences to relate these issues to principles of expressive arts therapy and social policy. Summer internship seminars are conducted on-line. Students must secure an approved internship site, by working with the Internship Office, before the first class. NOTE: A minimum grade of ""C"" is required to fulfill the requirements of the Expressive Arts Therapy major.",CEXTH 4801 Expressive Arts Therapy Internship and Seminar II,,,6,College of Liberal Arts and Sciences,,CEXTH - Expressive Arts Therapy,"Minimum grade of ""C"" in CEXTH 3801 , a 2.3 cumulative grade point average in your major, an overall cumulative grade point average of 2.0 or permission of the Internship Coordinator "
"An independent study offers students an opportunity to explore a topic not available through the current course offerings, or to explore a subject in greater depth than is possible in a regular course. For more information, see Independent Study guidelines.",CEXTH 4999 Independent Study,,,1-9,College of Liberal Arts and Sciences,,CEXTH - Expressive Arts Therapy,"30 credit hours, 3.0 cumulative GPA and permission of the instructor and Division Chair. "
"A student identifies field work that complements his/her major and his/her own educational and professional objectives. Students meet in seminar groups to examine issues growing out of the field experiences, explore ways which their major informs their work and begin the development of their professional portfolio. An average of 8 hours per week is spent in the field.",CFDWK 3100 Field Work and Seminar I,,,3-4,College of Liberal Arts and Sciences,,CFDWK - Field Work,Cumulative grade point average of 2.0 overall. 
"A student identifies field work that complements his/her major and his/her own educational and professional objectives. Students meet in seminar groups to examine issues growing out of the field experiences, explore ways which their major informs their work and further develop their professional portfolio. An average of 10, 13, or 16 hours per week is spent in the field, depending on the number of credits chosen.",CFDWK 4100 Field Work and Seminar II,,,4-6,College of Liberal Arts and Sciences,,CFDWK - Field Work,Cumulative grade point average of 2.0 overall. 
"Geography is the study of the relationship between humans and the environment - addressing both the impact of the people on the earth, and the influence that the physical environment has had on the development of societies, political systems, and cultures. The course will focus on the human and natural composition of the world's great geographic realms, focusing on their location, their make-up, and their likely future in this changing world. Students will be introduced to the range of topical (systematic) fields of geography, including cultural geography, environmental geography, urban geography, economical geography, political geography, and historical geography.",CGEOG 1001 World Geography,,,3,College of Liberal Arts and Sciences,,CGEOG - Geography,
This course focuses on a specific topic in geography.,CGEOG 1888 Selected Topics: Geography,,,3,College of Liberal Arts and Sciences,,CGEOG - Geography,
"This course examines core concepts and issues compromising the emerging field of global studies, and addresses the challenges they pose to the global community and its citizens. Using an interdisciplinary approach, the course incorporates the perspectives of related fields, including political science, economics, geography, sociology, history, biology and ecology. The course also addresses the interplay of a wide range of global actors with processes of contemporary global affairs. Students will engage in research on selected global issues and investigate prospective career options as they consider their personal and professional identity and engagement in the field of global studies.",CGLST 1200 Global Issues and Challenges,,,3,College of Liberal Arts and Sciences,,CGLST - Global Studies,
This course focuses on a specific topic in global studies.,CGLST 1888 Selected Topics: Global Studies,,,3,College of Liberal Arts and Sciences,,CGLST - Global Studies,
"This course presents the basic conceptual vocabularies that we use to study the perspectives, institutions, and ideas that are shaping the world around us. Students will deepen their understanding of how the social sciences and the humanities study and compare distinct cultures by examining the interrelationship between humans and their physical, political, cultural, and economic environments. The course stresses the overall importance of geographical and political literacy, and of the ongoing dialogues among the past, the present, and the future in the disciplines that shape cultural studies.",CGLST 2200 Introduction to Globalization,,,3,College of Liberal Arts and Sciences,,CGLST - Global Studies,Prerequisite for Global Studies majors: CGLST 1200 or permission of instructor. 
"The student works for the full semester in a global studies-oriented or political science-oriented setting under the supervision of an experienced professional. Field placements take place in public and private settings, such as: government agencies, advocacy organizations, legal offices, media organizations, and international service agencies. The student meets with her/his instructor and fellow students in a weekly seminar to examine the personal and professional issues that emerge from the field experience, and to relate them to the broader theory and content issues of global studies/political science and professional life. Students must complete a minimum of 180 hours in placement for six credits and a minimum of 90 hours in placement for three credits.",CGLST 3100 Global Studies Internship and Seminar,"A minimum grade of ""C"" is required to progress in the major.",,3,College of Liberal Arts and Sciences,,CGLST - Global Studies,
"The course will focus on the study, presentation, and research of the United Nations structure and issues facing the U.N., its member countries, and the international community. The student's work will be divided into three components: 1) research and training in preparation for participation in the Harvard National Model United Nations; 2) four-day full-time participation as a U.N. delegate representing the Lesley country selection at the HNMUN Conference; 3) analysis, reflection, and assessment of the conference and delegate experience.",CGLST 3305 Model United Nations Seminar and Conference,"a minimum grade of ""C"" is required to progress in the major.",,4,College of Liberal Arts and Sciences,,CGLST - Global Studies,CPOLS 1101 or CECON 1101 or permission of the instructor.
"The student serves as a course assistant to the faculty member who has accepted them. The course includes both studying the process of planning, implementing, and evaluating the course curriculum, and assisting with the preparation and teaching of the course. This course is recommended for students interested in studying a particular subject in more depth, and for those wishing to participate in the planning and teaching process.",CGLST 4089 Practicum in Curriculum and Procedures,,,3,College of Liberal Arts and Sciences,,CGLST - Global Studies,
"The student works for the full semester in a global studies-oriented or political science-oriented setting under the supervision of an experienced professional. Field placements take place in public and private settings, such as: government agencies, advocacy organizations, legal offices, media organizations, and international service agencies. The student meets with her/his instructor and fellow students in a weekly seminar to examine the personal and professional issues that emerge from the field experience, and to relate them to the broader theory and content issues of global studies/political science and professional life. Students must complete a minimum of 180 hours in placement for six credits and a minimum of 90 hours in placement for three credits.",CGLST 4100 Global Studies Internship and Seminar,"a minimum grade of ""C"" is required to progress in the major.",,6,College of Liberal Arts and Sciences,,CGLST - Global Studies,
"In this integrative seminar, students will read and analyze current scholarship in social science and history and, as appropriate, natural sciences and humanities, that focus on unfolding issues that will give shape to the new century. Each student will also develop and pursue an appropriate and original research, scholarly, or creative project.",CGLST 4400 Senior Capstone Seminar: Global Social Change,"a minimum grade of ""C"" is required to progress in the major. Fulfills Global Perspectives requirement. ",,3,College of Liberal Arts and Sciences,,CGLST - Global Studies,CPOLS 3131 or permission of the instructor.
"An independent study offers students an opportunity to explore a topic not available through the current course offerings, or to explore a subject in greater depth than is possible in a regular course. For more information, see Independent Study guidelines.",CGLST 4999 Independent Study,,,1-9,College of Liberal Arts and Sciences,,CGLST - Global Studies,"30 credit hours, 3.0 cumulative GPA and permission of the instructor and division director. "
This course is designed to encourage personal awareness and responsibility for the maintenance of health and physical well being through physical activity. Students will expand their knowledge base of health and wellness. Practical implementation and behavior change exercises are presented to assist students in applying the information to their life. Students will gain experience in self-assessment and personal program development. The above components are part of a total package of tools the course will provide the student to maintain health and wellness.,CHLTH 1112 Lifetime Fitness,,,1,College of Liberal Arts and Sciences,,CHLTH - Health,
This course focuses on a specific topic in health.,CHLTH 1888 Selected Topics: Health,,,3,College of Liberal Arts and Sciences,,CHLTH - Health,
"This course is designed as an introduction to the overall health and wellness of the athletic population. Exercise guidelines including proper lifting techniques, program design and implementation will be addressed. Nutrition, performance enhancing substances, disordered eating and pre/post-exercise meals will be discussed as they relate to athletes and the governing bodies (NCAA, USOC, etc.). Other topics, such as careers in health training and conditioning will demonstrate the range of possibilities in which the students can further their education in the field. Basic anatomy and sports psychology will be also be mentioned as they relate to the above topics.",CHLTH 2112 Lifetime Fitness II,,,1,College of Liberal Arts and Sciences,,CHLTH - Health,CHLTH 1112 
"This course provides an introduction to the concepts of health and nutrition in childhood and early adolescence. Through the use of text and journal readings, films, and case studies, students will explore illness and health promotion, protection, and disease prevention strategies related to these populations. Topic areas will include but are not limited to chronic conditions affecting children; the identification and management of communicable and acute illness; vaccine-preventable diseases and immunization regulations; childhood and adolescent stressors and stress management; nutritional needs and health risks influenced by diet; dental and oral problems; and the effects of environment on child health. Some background in health or human biology preferred but not required.",CHLTH 3300 Child and Adolescent Health,,,3,College of Liberal Arts and Sciences,,CHLTH - Health,
"This course provides an introduction to complementary and alternative medicine and the treatment modalities that are increasingly being used by Americans. Students will explore the conceptual differences between the biomedical approach and alternative systems of healthcare, some of which are being used in conjunction with allopathic medicine by conventional medical practitioners. Topics will include but are not limited to mind-body interventions, biologically based treatments, and energy based therapies.","CHLTH 3310 Complementary, Integrative and Alternative Medicine",,,3,College of Liberal Arts and Sciences,,CHLTH - Health,Some background in health or human biology preferred but not required 
This course introduces students to a number of health issues which affect the lives of people in the developing nations. Topics will include definitions of health and disease; identification and etiology of major diseases; issues related to maternal and child health; the relationship between nutrition and health; changing patterns of morbidity and mortality with modernization; use of traditional and western health care; and strategies for disease prevention and control.,CHLTH 3400 Health in the Developing World,,,3,College of Liberal Arts and Sciences,,CHLTH - Health,"Any CBIOL, CPHYS, or CHLTH class. Some background in health or human biology preferred but not required. Fulfills Global Perspectives requirement "
This course focuses on a specific topic in health.,CHLTH 3888 Selected Topics in Health,,,3,College of Liberal Arts and Sciences,,CHLTH - Health,
"This course examines the environmental challenges that face the human population and affect its health. Through the use of a textbook, journals, and selected internet website readings, films, guest speakers, and community site visits, students will explore a number of environmentally related issues and how human-altered environments can influence human health and disease. Topics include but are not limited to fundamentals of environmental health; population growth and environmental health priorities; the impact of climate change, air, and water quality on disease; the effects of industrial exposure and global conflict on environmental health; barriers and solutions to the prevention of environmental disease; and environmental politics and ethics.",CHLTH 4410 Health and the Environment,,,3,College of Liberal Arts and Sciences,,CHLTH - Health,Any laboratory science course 
"The First-Year Seminar (FYS) seeks to elevate the intellectual curiosity of first-year students and to help them integrate into the academic community of the University. From the Armenian Genocide in 1915 to systematic atrocities against civilians in Darfur, murder on a mass scale is one of the most troubling crimes against humanity, and one of the only crimes that the international community is legally obligated to prevent and punish. Yet, since the signing of the Convention on the Prevention and Punishment of Genocide in 1948, the number of times the international community did not intervene to prevent genocide are as numerous as these events themselves. This course examines the history of mass killings and international (non)intervention from 1914 to the present from the perspective of perpetrators, victims, bystanders. Using historical documents, memoirs, and films, we will interrogate the political, social, and cultural reasons behind why people kill, why no one stops them, and what more could have been done.",CHIST 1150 FYS: Genocide and the International Community,,,3,College of Liberal Arts and Sciences,,CHIST - History,
"Survey of world civilizations from pre-historic times until 1500. Emphasis is on understanding and interpreting social, cultural, intellectual, economic, and political developments in ancient classical and medieval Europe, the Middle East, Asia, Africa, and the Americas.",CHIST 1501 World History I,,,3,College of Liberal Arts and Sciences,,CHIST - History,
"An extension of World Civilizations I: 4000 B.C.E. to 1500 C.E., this course carries forward introductory enquiry into institutions, thought, and patterns of change in Africa, the Americas, Asia, Europe, the Middle East, and Oceania from approximately 1500 to the present. Particular emphasis will be on the shaping influence of civilizational commonalties within and across continental settings, and on the ubiquitous dynamics of modernization and globalization.",CHIST 1502 World History II,,,3,College of Liberal Arts and Sciences,,CHIST - History,
This course focuses on a specific topic in history.,CHIST 1888 Selected Topics in History,,,3,College of Liberal Arts and Sciences,,CHIST - History,
"This course examines major themes and events in the history of America from European colonization to the Civil War. The interaction among the cultural, political, economic, and social forces that shaped America during this period will be given special emphasis. We shall also search for possible parallels between past events and current circumstances. Topics to be covered include: the pre-Columbian settlements; Europe on the eve of colonization; cultural encounters in colonial North America; the formation of colonial society; revolutionary America and the framing of the Constitution; the growth of the party system; emerging industrialism and its impact on American society; cultural, intellectual and reform currents of the Early Republic; westward expansion; slavery; sectionalism; and the coming of the Civil War.",CHIST 2121 American History from the Colonial Period to the Civil War,,,3,College of Liberal Arts and Sciences,,CHIST - History,
"An introduction to the major institutional developments in Europe from approximately 1789 to present, e.g.: the French Revolution; the onset of industrialization; nineteenth- and twentieth-century nationalism; colonization and the exercise of League mandate power; comparisons between Western and Eastern Europe; communist and fascist dictatorships; socialism; feminism; World Wars; the movement toward a united, cosmopolitan Europe; challenges and opportunities presented by Muslim immigration; and emerging approaches to national and European citizenship. Considerable attention will be given to significant thought systems, cultural movements, and innovative historiographies.",CHIST 2316 Modern European History,,,3,College of Liberal Arts and Sciences,,CHIST - History,"CLITR 1100 , or one 1000- or 2000-level CHIST or CHUMS course "
"This course examines major themes and events in the history of America from the Civil War to the present. The interaction among the cultural, political, economic, and social forces that shaped America during this period will be given special emphasis. We shall also search for possible parallels between past events and current circumstances. Topics to be covered include: the legacy of the Civil War and Reconstruction; the growth of industrial America; America's emergence as a world power; prosperity, depression, and the New Deal; World War II and the post-war world; sixties radicalism and the declining liberal consensus; the end of the Cold War; and America in the global economy.",CHIST 2330 American History from the Civil War to the Present,,,3,College of Liberal Arts and Sciences,,CHIST - History,
"This course inquires into the important preoccupations, developments, and calamities of the last sixty or seventy years from which the meaning of the twentieth century can be considered. Special attention is given to the aftermath of World War I; the emergence of Communist Russia and Fascist totalitarian states in the 1920s and 1930s; the causes, dimensions, and consequences of World War II; the Cold War; the emerging aspirations of non-Western societies; and the many forces (national, regional, international, economic, technological, and ideological) that have shaped the possibilities and the dangers of the world for the last two decades.",CHIST 2338 20th Century World History,,,3,College of Liberal Arts and Sciences,,CHIST - History,
"The meaning and scope of rights conferred under the American Constitution have been widely debated over the course of American History. The history of these debates will be studied in founding documents, landmark Supreme Court decisions and readings in legal and ethical theory. The Constitution will be viewed as a public text whose meaning has been subject to conflicting interpretations and interpretive philosophies. Topics will include freedom of expression, religious freedom, the right to bear arms, the right to life, race and gender, the rights of criminal suspects, Constitutional rights in wartime, and shifting currents of judicial opinion on the topics being examined.","CHIST 3200 Human Rights, Social Justice, and the Constitution in America",,,3,College of Liberal Arts and Sciences,,CHIST - History,"CLITR 1100 , OR one 1000- or 2000-level CHIST or CHUMS course "
"This course attempts to identify the factors that led to the rise of Hitler and the implementation of the Nazi genocide against the Jews. The roots of modern Anti-Semitism; the political, cultural and psychological factors that helped propel the Nazis to power; the relationship of ordinary Germans to the Nazi state; the evolution of the ""Final Solution""; and the problem of determining individual and collective guilt for the Nazi genocide will be addressed and explored.",CHIST 3315 Nazi Germany and the Holocaust,,,3,College of Liberal Arts and Sciences,,CHIST - History,"CLITR 1100 , or one 1000- or 2000-level CHUMS or CHIST course "
"A comparative analysis of the historical experience and interaction of diverse ethnic groups in America, viewed in the context of major themes and events in American history. The course will explore such topics as the differences and similarities in the way various ethnic and racial groups have interacted with the American environment and with one another; the different ways Americans have answered the question of what it means to have an ""American"" identity; the evolution of immigration policy and its socio-economic underpinnings; and contemporary debates about the role of multicultural perspectives in shaping curricula in America's schools and colleges.",CHIST 3320 Immigration and Ethnicity in American History,,,3,College of Liberal Arts and Sciences,,CHIST - History,
"This course examines the black experience of, and contributions to, American life. The inquiry begins with a brief overview of African institutions and culture in the early modern period and proceeds to explore a number of important issues, such as the genesis of African-American culture in the eighteenth and nineteenth centuries; Reconstruction; the emergence of ""Jim Crow"" citizenship; and patterns of urbanization, segregation, and integration in the twentieth century. The variety of black responses to American life and the philosophies of liberation and change that have been espoused by blacks will be emphasized.",CHIST 3322 African-American History,,,3,College of Liberal Arts and Sciences,,CHIST - History,"CLITR 1100 , OR one 1000- or 2000-level CHIST or CHUMS course. "
"This course will highlight the people, ideas, events, and developments that shaped the history of America since World War II. Sources of disquiet at home, e.g., the McCarthy Era; the Civil Rights Movement; Sixties Radicalism; the revived Women's Movement; the Reagan ""Revolution;"" the post-industrial economy; persisting inequality; and increasing voter apathy will be explored along with important challenges that the United States has faced abroad, e.g., the Cold War; the conflict in Vietnam; the collapse of Communist regimes in Russia and Eastern Europe; the global economy; genocide and ethnic cleansing; crises in the Middle East; and the threat of international terrorism.",CHIST 3328 America Since World War II,,,3,College of Liberal Arts and Sciences,,CHIST - History,"CLITR 1100 , OR one 1000- or 2000-level CHIST or CHUMS course "
"This course will examine the historical experience of women in the nineteenth and twentieth centuries in an effort to understand the rise of the women's movement and of feminist consciousness. Attention will also be given to the emergence of women's movements throughout the world. How have the family, work-life, sexual politics, societal expectations, and economic conditions contributed to the emerging feminist consciousness and to the struggles of women to redefine and reshape their identity? Critical periods in the history of the women's movement will be studied in depth, e.g., the rebellion against Victorianism, the suffrage movement, and the rebirth of feminism in the late 1960s. Sources will be drawn from historical studies, literature, film, diaries, biographies, and the social sciences.",CHIST 3340 The Women's Movement: A Historical Perspective,,,3,College of Liberal Arts and Sciences,,CHIST - History,"CLITR 1100 , OR one 1000- or 2000-level CHIST or CHUMS course"
"This course examines key persons and events in Latin America since 1900. It is designed to give students an introduction to contemporary Latin America from a historical perspective. Of special interest will be questions of historical memory and social mobilization, ethnic and racial conflicts of nationhood, and regional and political diversity.",CHIST 3350 Latin America Since 1900,,,3,College of Liberal Arts and Sciences,,CHIST - History,"CLITR 1100 , OR one 1000- or 2000-level CHIST or CHUMS course. Fulfills Global Perspectives requirement "
"This course will focus on the historical growth and development of India - a diverse and complex political entity - under two centuries of British rule and a half century of independence in all its spheres of politics, society, economy, culture, and religion. Considerable attention will be given to the meanings of colonialism, mercantilism, imperialism, nationalism, and socialism in the historical context of India's transition from colony to republic. Course materials will range across primary and secondary sources, fiction, and films.",CHIST 3355 Modern India: From Colony to Republic,,,3,College of Liberal Arts and Sciences,,CHIST - History,"CLITR 1100 , OR one 1000- or 2000-level CHIST or CHUMS course. Fulfills Global Perspectives requirement"
"The primary goal of this course is to introduce students to the wide spectrum of the history of Africa from 1800 through the end of the millennium. It will pay special attention to some of the decisive changes in African social and cultural lives caused by colonial intervention, and the impact of those changes on nation building in the post-independence decades. The course will also explore crucial historiographical questions.",CHIST 3360 Africa Since 1800,,,3,College of Liberal Arts and Sciences,,CHIST - History,"CLITR 1100 , OR one 1000- or 2000-level CHIST or CHUMS course. Fulfills Global Perspectives requirement "
"This course studies the Declaration of Independence, the Constitution, and the deliberations that surrounded these founding documents. Topics include how Americans in later generations debated the meaning of these documents for African-Americans and women, how the Constitution was amended to extend them equal rights, and how the founding principles apply to the twenty-first century.",CHIST 3400 Founders' History and State Constitutions,,,3,College of Liberal Arts and Sciences,,CHIST - History,"CLITR 1100 , or one 1000- or 2000- level CHIST or CHUMS course "
"What does it mean to bring humanity to times of crisis and conflict? From the protection of prisoners of war during the First World War, to relief for Syrian refugees today, humanitarian aid has had a profound effect on the social,legal, and ethical development of the modern world. This advanced seminar examines the history of international humanitarian organizations like the International Committee of the Red Cross and Doctors Without Borders from 1863 to the present.We will interrogate a set of tensions that continue to characterize humanitarian relief today: the conflict between traditional principles and contemporary human rights; the role of governments in the provision of foreign aid; and the difficulties of enforcing the humanitarian protections of international law during sectarian conflicts.",CHIST 3450 History of International Humanitarian Organizations,Offered entirely online for 8 weeks.,,3,College of Liberal Arts and Sciences,,CHIST - History,"CLITR 1100 , OR one 1000- or 2000-level CHIST or CHUMS course, OR a 4 or 5 on the AP History test, OR permission of the instructor"
"Surveys Boston as a case study in American History from 1630 to the present including study of physical growth, ethnic groups, cultural and social developments, architecture, and contemporary issues. Course requires individualized projects and site visits.",CHIST 3500 History of Boston,,,3,College of Liberal Arts and Sciences,,CHIST - History,CLITR 1100 or one 1000- or 2000-level CHIST or CHUMS course 
"This course critically examines the history of Africa in film as represented through a wide variety of eras and film genres: early twentieth-century historical epics and biopics; ""jungle,"" empire, and adventure films of the 1930s-1950s; mid-twentieth-century newsreels, documentaries, and ethnographic films; the rise of indigenous African cinema in the 1960s-1980s, and its more recent rebirth in ""Nollywood""; as well as twenty-first-century Hollywood ""broken Africa"" dramas. These films will be analyzed not only in terms of the African histories and subjects they encompass, but also with respect to the historical and geographical contexts in which they were produced, and the broader impact they had on perceptions of Africa and its past.",CHIST 3600 Africa in Film,,,3,College of Liberal Arts and Sciences,,CHIST - History,CLITR 1100 
"This course focuses on the tools and techniques that historians use to study the past. Students will learn about the process of modern historical inquiry, gain a better understanding of the diverse resources that historians use to conduct research, and develop the skills necessary to identify relevant sources in archives and libraries. In directed stages, students will conduct historical research and write a major paper utilizing both primary and secondary sources. The topical focus of the course will alternate each academic year.",CHIST 3800 Junior Writing Seminar in History,,,3,College of Liberal Arts and Sciences,,CHIST - History,6 credits in courses with CHIST prefix 
This course focuses on a specific topic in history.,CHIST 3888 Selected Topics in History,,,3,College of Liberal Arts and Sciences,,CHIST - History,"CLITR 1100 , OR one 1000- or 2000-level CHIST or CHUMS course "
"This course is a multi-dimensional overview of the Middle East region from the mid-nineteenth through the early twenty-first centuries with particular attention to the most dominant religious, colonial, national, ideological, material, social, and individual forces which have been shaping it. Although more than a dozen national settings will be addressed, primary focus will be on Egypt, Iran, Israel, Saudi Arabia, and Turkey.",CHIST 4030 Modern Middle East History,,,3,College of Liberal Arts and Sciences,,CHIST - History,6 credits of CHIST or CHUMS at the 3000-level. Fulfills Global Perspectives requirement 
"A close and primary source-informed exploration of Great Britain in its century of most dramatic transformation. Focuses will be: the onset of the factory system and its social, economic, demographic and welfare consequences; confrontations with slavery and the slave trade; pressures to expand the voting franchise by class and gender; the tensions between science and religion; the blossoming of English literature; ""Victorian"" respectability and morality; Liberals, Conservatives, Marxists and Fabians on domestic and imperial policies; the Arts and Crafts critique of Modernity; the Irish Question; and, overall, an assessment of the degree to which Britain and British identity in 1900 were different than they had been seventy years earlier.",CHIST 4049 Great Britain in the Victorian Age,,,3,College of Liberal Arts and Sciences,,CHIST - History,6 credits of CHIST or CHUMS at the 3000-level 
"This course is a chronologically arranged exploration of topics in the political, economic, social, and intellectual history of China since 1800. It emphasizes both the internal dynamics in Chinese society and its complicated interactions with the outside world since the 1840s. The course's central theme is the different attempts to realize the Chinese people's dream of being rich and strong (Fuquiang) in the later imperial era, the republican era, and the socialist era.",CHIST 4055 The History of Modern China,,,3,College of Liberal Arts and Sciences,,CHIST - History,6 credits of CHIST or CHUMS at the 3000-level. Fulfills Global Perspectives requirement
"The student serves as a course assistant to the faculty member who has accepted them. The course includes both studying the process of planning, implementing, and evaluating the course curriculum, and assisting with the preparation and teaching of the course. The course is recommended for students interested in studying a particular subject in more depth, and for those wishing to participate in the planning and teaching process. See Course Assistantships on page xx for details.",CHIST 4089 Practicum in Curriculum and Procedures,,,3,College of Liberal Arts and Sciences,,CHIST - History,
"This course will consider the achievements and limitations of Roosevelt's New Deal in meeting the challenge of the worst economic crisis in American history. Within the broad cultural, social and political setting of the Depression Era, the course will inquire into the economic forces that led to the Great Depression, the personality and leadership of President Roosevelt, the major programs and policies of his administration, the impact of the Great Depression on the lives of ordinary Americans, the views of critics and detractors, and the ongoing debates about the legacy of the New Deal and its relevance to our understanding of current economic crises. Students will engage in a significant research project on an aspect of New Deal history.",CHIST 4200 America in the Great Depression,,,3,College of Liberal Arts and Sciences,,CHIST - History,"CLITR 1100 , OR one 1000- or 2000-level CHIST or CHUMS course "
"The student chooses a subject for investigation and writes an extensive essay of about forty pages, working individually with the guidance of an appropriate faculty member. A thesis proposal, including project description and preliminary bibliography, must be submitted to the department for approval in the semester previous to enrollment.",CHIST 4349 Senior Thesis in History,"The thesis project is available only to History majors who have normally completed 90 credits, and at least 6 credits of CHIST or CHUMS courses at the 3000 level.This course may not be selected in the same semester as CHIST 4800: Senior Seminar, unless prior approval of the thesis director has been given.For more detailed guidelines, contact the Humanities Division. ",,4,College of Liberal Arts and Sciences,,CHIST - History,6 credits in 3000-level CHIST or CHUMS prefix courses
"This seminar is required of all history majors and will be taken typically in the senior year. It is also available as an upper level elective to students in the College of Liberal Arts and Sciences and the College of Art and Design. Students will deepen their engagement with key issues in contemporary historiography, use the resources of area libraries, and undertake a significant research project.",CHIST 4800 Senior Seminar in History,,,3,College of Liberal Arts and Sciences,,CHIST - History,6 credits of CHIST or CHUMS 3000-level courses OR permission of instructor 
"An independent study offers students an opportunity to explore a topic not available through the current course offerings, or to explore a subject in greater depth than is possible in a regular course. For more information, see Independent Study guidelines.",CHIST 4999 Independent Study,,,1-9,College of Liberal Arts and Sciences,,CHIST - History,"30 credit hours, 3.0 cumulative GPA and permission of the instructor and Division Chair "
This course focuses on a specific topic in history.,CHIST 5888 Selected Topics in History,,,3,College of Liberal Arts and Sciences,,CHIST - History,
"This course introduces students to a wide range of human service professions, with particular attention paid to the fields of art therapy, counseling, expressive arts therapy, holistic psychology, human services, and psychology. Students will get an overview of the history and methods of the human service professions. Career opportunities are explored through guest presentations and assignments in community settings. The values and ethical issues facing human service professionals are introduced. A minimum grade of ""C"" is required to move on in the student's major.",CHMSR 1551 Foundations and Systems in the Helping Professions,,,3,College of Liberal Arts and Sciences,,CHMSR - Human Services,
This course focuses on a specific topic in Human Services.,CHMSR 1888 Selected Topics: Human Services,,,3,College of Liberal Arts and Sciences,,CHMSR - Human Services,
"This course focuses on the development of communication skills and the clinical skills of interviewing, case analysis, and professional conduct. Critical thinking about professional practice is emphasized through exploring the philosophical and values bases inherent in public policy that shape human service delivery. Students are exposed to the ethics governing the delivery of professional services within agencies and communities. A one-day per week internship is required of all students at an approved site.",CHMSR 2551 Concepts and Skills in Professional Practice,,,4,College of Liberal Arts and Sciences,,CHMSR - Human Services,Prerequisite. 
,CHMSR 2888 Course in development,,,3,College of Liberal Arts and Sciences,,CHMSR - Human Services,
"The provision of human services often involves many conflicts such as the conflict between good practice and the demands of the institution for which you work, the conflict between the needs/rights of the client or group of clients and the public good, between workers, due to differences in training, profession, job responsibility, or approach to clients; or between research needs and the needs/rights of the client or group of clients. Utilizing readings and case studies, this course will explore the ethical issues human service professionals encounter, sources of unethical human service interventions, and the evaluation and development of ethical intervention approaches. Students will gain specialized knowledge and skill in applying ethical theory and decision-making to professional practice in human services.",CHMSR 3553 Practical Ethics in Human Services,,,3,College of Liberal Arts and Sciences,,CHMSR - Human Services,CHMSR 2551 or permission of instructor
"In this course the student works in a human services setting for an average of 12-15 hours per week for the full semester under the supervision of an experienced professional. Internship placement settings include community service organizations, courts, residential group homes, and recreation agencies. Students meet with a College of Liberal Arts and Sciences supervisor for a two-hour seminar to examine issues arising from the student's internship and to relate these issues to clinical principles and theories of human development and social policy.",CHMSR 3701 Human Services Internship and Seminar I,,,6,College of Liberal Arts and Sciences,,CHMSR - Human Services,"CHMSR 2551 and CSOCS 3444 ; and a 2.3 cumulative grade point average in Human Services and Liberal Arts support courses, and overall cumulative grade point average of 2.0 or permission of the internship coordinator. A grade of ""C"" or better is required to progress into the senior seminar. "
,CHMSR 3888 Course in Development,,,3,College of Liberal Arts and Sciences,,CHMSR - Human Services,
"The student serves as a course assistant to the faculty member. The course includes both studying the process of planning, implementing, and evaluating the course curriculum, and assisting with the preparation and teaching of a particular subject in depth. The course is recommended for those wishing to participate in the planning and teaching process. See Course Assistantships on page xx for details.",CHMSR 4089 Practicum in Curriculum and Procedures,,,3-4,College of Liberal Arts and Sciences,,CHMSR - Human Services,
"This course is designed as a senior capstone course for both Human Services majors and Counseling majors. Students critically examine selected contemporary issues related to the development of public policy and legislation. Topic explorations include study of the ethical issues related to service delivery and how political, economic, and social pressures impact policy development. Through analysis of targeted contemporary issues (e.g., teenage pregnancy, child abuse, AIDS, homelessness), students will examine the connections between social policy, the human service worker, and the delivery of human services.",CHMSR 4551 Senior Capstone Seminar: Human Services and Counseling,"a minimum grade of ""C"" is required to meet the requirements of the major.",,3,College of Liberal Arts and Sciences,,CHMSR - Human Services,"CHMSR 2551 , CPLCY 3552 , CCOUN 3601 , OR CHMSR 3701 and senior status."
